,,CHLA= NASA-combo satellite Chlorophyll (mg/m3)
1998,1,5.155
,2,5.323
,3,4.506
,4,4.669
,5,4.883
,6,6.412
,9,5.019
,10,8.138
,11,5.859
,12,4.043
1999,1,3.166
,2,3.85
,3,3.161
,4,4.431
,5,4.68
,8,8.357
,9,8.247
,10,4.605
,11,6.875
,12,4.664
2000,1,4.776
,2,5.045
,3,5.706
,4,5.384
,5,5.753
,8,5.491
,9,4.871
,10,3.976
,11,4.334
,12,4.701
2001,1,3.777
,2,4.131
,3,3.677
,4,5.273
,5,7.388
,8,4.964
,9,4.11
,10,7.358
,11,5.954
,12,4.604
2002,1,4.634
,2,5.917
,3,4.979
,4,6.178
,5,7.545
,6,11.257
,7,9.749
,9,4.105
,10,8.128
,11,6.326
,12,7.261
2003,1,6.327
,2,5.239
,3,6.63
,4,6.117
,5,8.781
,6,11.628
,8,14.31
,9,14.706
,10,7.4
,11,6.219
,12,6.608
2004,1,5.894
,2,6.091
,3,6.491
,4,7.266
,5,10
,6,15.845
,7,10.418
,8,8.342
,9,12.653
,10,11.953
,11,7.353
,12,6.97
2005,1,7.432
,2,5.639
,3,6.563
,4,7.04
,5,7.329
,6,7.377
,7,11.844
,8,6.616
,9,11.159
,10,14.338
,11,9.742
,12,10.839
2006,1,5.868
,2,4.6
,3,5.414
,4,6.146
,5,5.266
,6,5.432
,8,7.064
,9,6.306
,10,10.435
,11,8.753
,12,7.707
2007,1,6.126
,2,5.654
,3,5.271
,4,5.728
,5,6.597
,6,9.639
,7,11.006
,8,11.36
,9,12.431
,10,7.542
,11,7.537
,12,4.91
2008,1,5.105
,2,5.041
,3,21.079
,4,4.182
,5,5.463
,6,7.335
,7,5.326
,8,5.279
,9,9.826
,10,9.655
,11,7.513
,12,8.9
2009,1,6.597
,2,5.068
,3,6.259
,4,8.278
,5,10.563
,6,9.345
,7,14.123
,9,9
,10,10.252
,11,11.602
,12,6.889
2010,1,7.337
,2,6.628
,3,7.359
,4,9.802
,5,8.687
,6,8.887
,8,13.366
,9,14.822
,10,15.928
,11,11.041
,12,9.681
2011,1,9.174
,2,12.518
,3,9.807
,4,12.099
,5,11.313
,6,11.541
,7,22.702
,8,12.032
,9,12.078
,10,8.194
,11,6.082
,12,6.913
2012,1,12.67
,2,7.971
,3,8.176
,4,6.567
,5,6.707
,6,8.649
,8,18.61
,9,10.251
,10,10.206
,11,7.257
,12,6.998
2013,1,5.934
,2,7.113
,3,5.018
,4,5.587
,5,6.712
,6,8.968
,7,17.778
,8,19.03
,9,11.868
,10,8.568
,11,8.912
,12,18.756
2014,1,8.895
,2,4.949
,3,4.797
,4,6.127
,5,7.122
,6,12.565
,7,5.793
,8,6.514
,9,10.985
,10,11.6
,11,10.305
,12,10.448
2015,1,16.898
,2,6.265
,3,7.386
,4,7.808
,5,6.044
,6,9.495
,7,6.804
,8,9.991
,9,13.306
,10,15.911
,11,14.403
,12,11.095
2016,1,7.798
,2,7.265
,3,6.229
,4,6.739
,5,10.208
,6,9.695
,7,7.944
,8,12.879
,9,17.145
,10,11.407
,11,12.239
,12,10.434
2017,1,10.024
,2,9.409
,3,6.558
,4,5.533
,5,8.795
,6,7.945
,7,9.73
,9,7.827
,10,30.879
,11,17.017
,12,10.986
2018,1,8.576
,2,5.57
,3,5.377
,4,7.945
,5,7.15
,6,9.304
,8,13.436
,9,8.833
,10,20.622
,11,10.589
,12,16.126
2019,1,12.562
,2,10.358
,3,6.932
,4,7.168
,5,10.951
,6,6.578
,7,8.197
,9,8.122
,10,26.503
,11,7.938
,12,8.957
2020,1,9.529
,2,10.829
,3,12.139
,4,9.322
,5,9.279
,7,13.32
,9,8.39
,10,15.891
,11,14.316
,12,14.486
2021,1,7.978
,2,11.956
,3,13.506
,4,11.186
,5,10.272
,8,7.569
,9,12.065
,10,18.297
,11,22.888
,12,13.826
