,,HSST= HadISST Temperature (C)
1900,1,20.02
,2,19.23
,3,19.32
,4,18.815
,5,18.765
,6,19.56
,7,21.745
,8,23.455
,9,23.725
,10,22.955
,11,21.89
,12,19.91
1901,1,19.025
,2,19.105
,3,19.435
,4,19.315
,5,19.68
,6,20.275
,7,22.805
,8,24.05
,9,24.195
,10,23.04
,11,21.765
,12,20.6
1902,1,19.465
,2,19.065
,3,19.315
,4,19.04
,5,19.18
,6,19.83
,7,21.775
,8,23.93
,9,24.485
,10,23.4
,11,22.06
,12,20.52
1903,1,19.4
,2,19.055
,3,18.155
,4,19.51
,5,18.595
,6,19.97
,7,21.945
,8,23.675
,9,23.425
,10,22.68
,11,21.945
,12,20.2
1904,1,18.52
,2,18.425
,3,18.875
,4,18.525
,5,18.605
,6,20.17
,7,21.87
,8,24.705
,9,24.63
,10,23.795
,11,22.82
,12,20.86
1905,1,19.295
,2,18.255
,3,18.645
,4,18.88
,5,19.1
,6,20.11
,7,21.865
,8,24.745
,9,24.4
,10,23.625
,11,21.84
,12,19.93
1906,1,19.565
,2,18.285
,3,18.39
,4,18.98
,5,19.105
,6,21.215
,7,23.6
,8,25.385
,9,25.325
,10,23.845
,11,22.555
,12,21.21
1907,1,19.165
,2,18.005
,3,17.98
,4,18.32
,5,19.155
,6,19.95
,7,22.19
,8,23.895
,9,24.925
,10,23.715
,11,21.885
,12,20.22
1908,1,18.685
,2,18.14
,3,17.89
,4,18.02
,5,18.655
,6,19.945
,7,22.13
,8,23.735
,9,24.605
,10,23.525
,11,23.25
,12,21.7
1909,1,19.23
,2,18.55
,3,18.975
,4,19.16
,5,19.865
,6,20.21
,7,22.44
,8,25.025
,9,24.785
,10,23.975
,11,22.645
,12,21.405
1910,1,19.465
,2,18.205
,3,17.875
,4,18.68
,5,18.935
,6,19.43
,7,21.91
,8,24.16
,9,25.88
,10,24.45
,11,23.93
,12,20.905
1911,1,18.755
,2,18.025
,3,17.905
,4,19.195
,5,19.19
,6,19.42
,7,21.695
,8,23.825
,9,24.86
,10,23.89
,11,22.225
,12,20.69
1912,1,19.78
,2,19.58
,3,19.63
,4,19.31
,5,19.45
,6,20.245
,7,21.805
,8,23.25
,9,25.025
,10,23.295
,11,22.41
,12,19.55
1913,1,18.525
,2,18.54
,3,18.85
,4,18.835
,5,18.92
,6,19.85
,7,22.72
,8,23.33
,9,22.855
,10,22.725
,11,22.145
,12,20.28
1914,1,19.2
,2,18.225
,3,18.45
,4,18.515
,5,19.095
,6,19.955
,7,22.385
,8,24.91
,9,24.205
,10,23.76
,11,22
,12,20.82
1915,1,19.155
,2,18.235
,3,19.365
,4,19.13
,5,19.97
,6,20.77
,7,23.41
,8,25.56
,9,25.425
,10,23.685
,11,22.895
,12,21.23
1916,1,19.4
,2,18.235
,3,18.585
,4,18.645
,5,19.45
,6,20.14
,7,22.395
,8,24.83
,9,25.355
,10,24.07
,11,21.91
,12,20.08
1917,1,19.64
,2,18.235
,3,18.725
,4,19.305
,5,19.585
,6,20.645
,7,22.755
,8,24.18
,9,24.375
,10,23.31
,11,22.025
,12,21.36
1918,1,19.85
,2,19.005
,3,18.85
,4,19.205
,5,19.535
,6,20.46
,7,22.305
