DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1950-01-15,      35.890,
1950-02-15,      35.889,
1950-03-15,      35.853,
1950-04-15,      35.833,
1950-05-15,      35.848,
1950-06-15,      35.877,
1950-07-15,      35.939,
1950-08-15,      35.948,
1950-09-15,      35.898,
1950-10-15,      35.852,
1950-11-15,      35.487,
1950-12-15,      35.541,
1951-01-15,      35.603,
1951-02-15,      35.633,
1951-03-15,      35.623,
1951-04-15,      35.632,
1951-05-15,      35.668,
1951-06-15,      35.714,
1951-07-15,      35.793,
1951-08-15,      35.821,
1951-09-15,      35.787,
1951-10-15,      35.748,
1951-11-15,      35.730,
1951-12-15,      35.760,
1952-01-15,      35.802,
1952-02-15,      35.927,
1952-03-15,      35.881,
1952-04-15,      35.866,
1952-05-15,      35.879,
1952-06-15,      35.903,
1952-07-15,      35.963,
1952-08-15,      35.982,
1952-09-15,      35.929,
1952-10-15,      35.875,
1952-11-15,      35.842,
1952-12-15,      35.861,
1953-01-15,      35.893,
1953-02-15,      35.890,
1953-03-15,      35.854,
1953-04-15,      35.843,
1953-05-15,      35.863,
1953-06-15,      35.891,
1953-07-15,      35.952,
1953-08-15,      35.966,
1953-09-15,      35.919,
1953-10-15,      35.866,
1953-11-15,      35.836,
1953-12-15,      35.855,
1954-01-15,      35.887,
1954-02-15,      35.887,
1954-03-15,      35.851,
1954-04-15,      35.839,
1954-05-15,      35.853,
1954-06-15,      35.882,
1954-07-15,      35.942,
1954-08-15,      35.953,
1954-09-15,      35.905,
1954-10-15,      35.854,
1954-11-15,      35.826,
1954-12-15,      35.847,
1955-01-15,      35.880,
1955-02-15,      35.879,
1955-03-15,      35.844,
1955-04-15,      35.832,
1955-05-15,      35.848,
1955-06-15,      35.878,
1955-07-15,      35.940,
1955-08-15,      35.965,
1955-09-15,      35.916,
1955-10-15,      35.864,
1955-11-15,      35.834,
1955-12-15,      35.854,
1956-01-15,      35.883,
1956-02-15,      35.880,
1956-03-15,      35.845,
1956-04-15,      35.834,
1956-05-15,      35.850,
1956-06-15,      35.879,
1956-07-15,      35.940,
1956-08-15,      35.952,
1956-09-15,      35.911,
1956-10-15,      35.861,
1956-11-15,      35.832,
1956-12-15,      35.851,
1957-01-15,      35.883,
1957-02-15,      35.780,
1957-03-15,      35.763,
1957-04-15,      35.759,
1957-05-15,      35.859,
1957-06-15,      35.887,
1957-07-15,      35.933,
1957-08-15,      35.848,
1957-09-15,      35.692,
1957-10-15,      35.792,
1957-11-15,      35.742,
1957-12-15,      35.703,
1958-01-15,      35.641,
1958-02-15,      35.658,
1958-03-15,      35.881,
1958-04-15,      35.805,
1958-05-15,      35.814,
1958-06-15,      35.745,
1958-07-15,      35.829,
1958-08-15,      35.856,
1958-09-15,      35.441,
1958-10-15,      35.174,
1958-11-15,      34.878,
1958-12-15,      35.458,
1959-01-15,      35.847,
1959-02-15,      35.866,
1959-03-15,      35.834,
1959-04-15,      35.824,
1959-05-15,      35.816,
1959-06-15,      35.818,
1959-07-15,      35.832,
1959-08-15,      35.955,
1959-09-15,      35.944,
1959-10-15,      35.803,
1959-11-15,      35.658,
