,,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3)
1998,1,7
,2,5.242
,3,5.097
,4,6.157
,5,4.777
,6,6.116
,9,8.93
,10,5.388
,11,5.554
,12,3.872
1999,1,4.294
,2,4.332
,3,3.07
,4,4.387
,5,4.873
,8,8.717
,9,10.558
,10,5.918
,11,5.642
,12,4.883
2000,1,4.853
,2,3.742
,3,6.015
,4,5.231
,5,9.519
,6,8.488
,8,6.674
,9,4.285
,10,6.458
,11,4.743
,12,5.34
2001,1,4.069
,2,4.367
,3,4.177
,4,5.099
,5,6.396
,8,4.935
,9,6.725
,10,6.495
,11,5.614
,12,4.002
2002,1,4.415
,2,5.378
,3,4.846
,4,5.834
,5,6.805
,6,7.841
,7,7.391
,8,6.615
,9,5.734
,10,5.387
,11,5.192
,12,4.673
2003,1,4.502
,2,4.126
,3,4.715
,4,5.176
,5,5.061
,6,6.457
,7,7.526
,8,7.991
,9,8.597
,10,5.009
,11,4.491
,12,4.539
2004,1,4.115
,2,4.425
,3,4.223
,4,4.826
,5,5.868
,6,6.435
,7,8.123
,8,9.154
,9,7.208
,10,7.608
,11,5.465
,12,4.861
2005,1,4.629
,2,4.278
,3,5.382
,4,5.613
,5,5.77
,6,6.495
,7,7.903
,8,10.084
,9,14.635
,10,7.238
,11,6.487
,12,6.104
2006,1,4.505
,2,4.06
,3,4.711
,4,4.09
,5,4.215
,6,5.702
,7,8.458
,8,6.616
,9,7.855
,10,6.339
,11,5.876
,12,5.05
2007,1,3.997
,2,4.147
,3,4.137
,4,4.612
,5,6.713
,6,7.572
,7,14.194
,8,9.709
,9,7.571
,10,4.817
,11,4.964
,12,3.958
2008,1,3.342
,2,3.684
,3,4.755
,4,4.843
,5,4.344
,6,5.395
,7,8.246
,8,8.019
,9,7.47
,10,6.183
,11,4.824
,12,4.51
2009,1,4.231
,2,4.083
,3,4.551
,4,5.664
,5,6.406
,6,8.243
,7,11.833
,8,7.944
,9,7.419
,10,6.086
,11,6.135
,12,5.308
2010,1,4.773
,2,5.406
,3,5.967
,4,6.842
,5,7.291
,6,8.923
,7,10.94
,8,13.219
,9,11.284
,10,8.375
,11,7.95
,12,9.108
2011,1,7.115
,2,7.781
,3,7.289
,4,8.5
,5,10.005
,6,9.463
,7,8.187
,8,10.506
,9,6.718
,10,6.858
,11,4.283
,12,4.126
2012,1,8.022
,2,6.716
,3,8.577
,4,4.384
,5,4.544
,6,5.75
,7,7.525
,8,5.756
,9,6.365
,10,6.15
,11,5.6
,12,5.164
2013,1,4.475
,2,4.948
,3,5.689
,4,5.924
,5,6.076
,6,5.08
,7,4.865
,8,6.674
,9,6.165
,10,5.527
,11,5.847
,12,5.277
2014,1,4.82
,2,4.833
,3,5.072
,4,6.527
,5,5.294
,6,5.804
,7,5.114
,8,5.064
,9,5.175
,10,6.121
,11,5.949
,12,5.776
2015,1,8.119
,2,5.578
,3,6.395
,4,7.747
,5,5.319
,6,5.449
,7,6.672
,8,6.929
,9,5.056
,10,6.785
,11,6.73
,12,5.406
2016,1,5.155
,2,5.59
,3,5.247
,4,7.353
,5,6.02
,6,5.916
,7,5.601
,8,6.997
,9,6.504
,10,5.727
,11,5.943
,12,5.36
2017,1,5.028
,2,5.421
,3,5.432
,4,7.018
,5,5.489
,6,4.885
,7,7.379
,8,5.353
,9,7.076
,10,6.47
,11,6.322
,12,6.137
2018,1,4.692
,2,4.338
,3,5.04
,4,5.61
,5,5.101
,6,4.977
,7,4.819
,8,5.645
,9,5.592
,10,6.69
,11,6.392
,12,6.59
2019,1,4.738
,2,5.33
,3,5.507
,4,6.197
,5,5.588
,6,4.678
,7,6.484
,8,6.276
,9,6.675
,10,6.377
,11,5.323
,12,4.324
2020,1,4.249
,2,4.929
,3,6.792
,4,6.893
,5,5.971
,6,5.491
,7,2.531
,8,10.041
,9,6.361
,10,5.088
,11,5.311
,12,5.073
2021,1,3.887
,2,5.313
,3,6.5
,4,5.554
,5,5.527
,6,5.928
,7,8.708
,8,24.188
,9,5.078
,10,4.828
,11,4.381
,12,5.307
