,,CHLA= NASA-combo satellite Chlorophyll (mg/m3)
1998,1,3.111
,2,3.351
,3,3.583
,4,3.439
,5,3.945
,6,3.942
,8,4.111
,9,3.991
,10,4.264
,11,3.922
,12,3.689
1999,1,2.932
,2,2.635
,3,2.86
,4,4.062
,5,4.507
,8,4.447
,9,4.31
,10,4.103
,11,5.465
,12,4.431
2000,1,3.294
,2,3.471
,3,4.523
,4,3.858
,5,4.33
,7,6.162
,8,4.551
,9,4.26
,10,3.623
,11,3.977
,12,4.153
2001,1,3.608
,2,3.478
,3,3.351
,4,5.34
,5,5.193
,8,4.392
,9,4.201
,10,3.712
,11,3.57
,12,4.903
2002,1,3.626
,2,3.064
,3,3.671
,4,4.22
,5,4.075
,7,5.903
,9,10.735
,10,11.818
,11,10.365
,12,8.477
2003,1,5.005
,2,3.241
,3,3.88
,4,3.983
,5,4.956
,6,3.664
,8,5.336
,9,5.988
,10,3.817
,11,3.467
,12,6.068
2004,1,4.217
,2,3.794
,3,3.671
,4,3.562
,5,4.33
,6,5.633
,7,14.333
,8,10.487
,9,12.171
,10,12.265
,11,13.303
,12,10.75
2005,1,11.523
,2,3.901
,3,3.102
,4,3.526
,5,3.913
,6,6.644
,8,10.449
,9,9.061
,10,9.646
,11,6.816
,12,7.729
2006,1,5.28
,2,3.776
,3,4.034
,4,4.387
,5,4.672
,6,6.65
,8,10.555
,9,8.589
,10,11.271
,11,10.851
,12,6.574
2007,1,6.004
,2,5.786
,3,7.346
,4,8.405
,5,9.825
,6,11.165
,7,12.383
,8,11.524
,9,10.125
,10,6.702
,11,4.37
,12,3.834
2008,1,10.991
,2,5.498
,3,6.238
,4,4.672
,5,4.333
,6,4.412
,8,4.297
,9,4.502
,10,2.858
,11,3.143
,12,3.161
2009,1,2.96
,2,2.612
,3,3.091
,4,2.89
,5,4.212
,7,4.952
,8,6.856
,9,5.049
,10,3.558
,11,3.468
,12,2.72
2010,1,3.08
,2,3.372
,3,3.164
,4,9.795
,5,9.259
,6,10.809
,8,16.367
,9,12.451
,10,9.676
,11,13.095
,12,16.675
2011,1,20.095
,2,12.558
,3,11.491
,4,13.705
,5,14.717
,6,9.728
,8,10.781
,9,5.984
,10,8.577
,11,6.077
,12,7.523
2012,1,7.188
,2,7.578
,3,6.926
,4,5.045
,5,5.026
,6,9.306
,9,7.014
,10,4.355
,11,3.689
,12,8.129
2013,1,3.29
,2,3.053
,3,2.565
,4,2.83
,5,4.077
,8,7.73
,9,5.429
,10,4.322
,11,3.311
,12,3.984
2014,1,2.821
,2,2.732
,3,2.313
,4,2.241
,5,2.358
,7,4.209
,8,3.408
,10,3.444
,11,2.764
,12,3.542
2015,1,4.45
,2,2.746
,3,2.56
,4,3.001
,5,3.002
,6,3.09
,7,5.119
,8,4.97
,10,3.903
,11,3.556
,12,3.989
2016,1,3.208
,2,2.937
,3,3.099
,4,2.966
,5,3.37
,6,3.376
,8,5.365
,9,4.473
,10,3.441
,11,3.26
,12,3.981
2017,1,3.06
,2,2.937
,3,2.926
,4,2.881
,5,3.083
,6,3.354
,7,4.185
,9,3.856
,10,4.485
,11,4.016
,12,3.919
2018,1,3.476
,2,2.679
,3,2.171
,4,2.834
,5,3.147
,6,3.516
,8,7.438
,9,6.116
,10,5.176
,11,6.992
,12,10.724
2019,1,4.851
,2,4.359
,3,3.043
,4,3.001
,5,4.241
,6,7.183
,7,5.129
,9,3.428
,10,6.247
,11,7.374
,12,8.054
2020,1,5.9
,2,4.238
,3,3.227
,4,3.007
,5,3.285
,7,5.601
,9,5.655
,10,4.993
,11,4.403
,12,4.093
2021,1,3.765
,2,2.966
,3,2.797
,4,2.84
,5,3.17
,8,6.136
,9,6.557
,10,6.074
,11,4.398
,12,6.469
