,,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3)
1998,1,2.883
,2,3.364
,3,3.661
,4,3.277
,5,4.423
,6,4.512
,8,4.969
,9,3.481
,10,3.461
,11,3.312
,12,3.218
1999,1,2.669
,2,2.354
,3,2.339
,4,2.939
,5,5.465
,8,4.284
,9,5.707
,10,4.159
,11,5.083
,12,4.197
2000,1,3.099
,2,3.035
,3,4.531
,4,4.522
,5,4.076
,9,3.76
,10,3.166
,11,3.597
,12,3.816
2001,1,3.463
,2,3.136
,3,3.014
,4,6.199
,5,5.707
,8,5.138
,9,4.213
,10,3.115
,11,3.313
,12,4.019
2002,1,3.531
,2,2.826
,3,3.623
,4,5.028
,5,5.875
,6,6.797
,7,8.614
,8,12.47
,9,13.402
,10,8.829
,11,8.163
,12,4.974
2003,1,3.372
,2,2.934
,3,3.499
,4,4.111
,5,3.958
,6,5.918
,7,10.025
,8,10.832
,9,5.973
,10,3.874
,11,3.302
,12,4.816
2004,1,3.404
,2,3.389
,3,3.743
,4,3.299
,5,4.203
,6,4.875
,7,11.603
,8,10.299
,9,11.186
,10,9.079
,11,9.512
,12,7.537
2005,1,5.687
,2,3.36
,3,3.206
,4,3.509
,5,3.694
,6,6.235
,7,8.499
,8,12.016
,9,10.507
,10,6.741
,11,5.189
,12,5.312
2006,1,5.087
,2,3.579
,3,4.23
,4,5.311
,5,5.182
,6,7.679
,7,8.682
,8,11.077
,9,11.848
,10,8.406
,11,7.272
,12,4.803
2007,1,4.043
,2,4.584
,3,6.28
,4,7.608
,5,7.818
,6,9.726
,7,13.766
,8,12.248
,9,8.28
,10,5.331
,11,3.762
,12,3.409
2008,1,4.585
,2,3.218
,3,4.766
,4,5.483
,5,4.127
,6,5.011
,7,7.193
,8,7.02
,9,4.727
,10,2.425
,11,2.897
,12,2.754
2009,1,2.736
,2,2.552
,3,3.098
,4,3.316
,5,3.843
,6,5.576
,7,5.053
,8,8.576
,9,5.157
,10,3.259
,11,3.196
,12,2.541
2010,1,3.404
,2,3.163
,3,3.173
,4,7.193
,5,8.6
,6,9.819
,7,15.458
,8,16.348
,9,11.36
,10,6.401
,11,9.264
,12,10.79
2011,1,9.584
,2,6.435
,3,6.47
,4,8.916
,5,12.224
,6,8.811
,7,7.494
,8,9.383
,9,4.994
,10,5.287
,11,4.266
,12,4.227
2012,1,3.948
,2,5.108
,3,6.714
,4,4.084
,5,4.622
,6,6.163
,7,6.125
,8,6.701
,9,4.153
,10,3.373
,11,3.145
,12,3.689
2013,1,2.461
,2,2.167
,3,2.468
,4,3.526
,5,3.618
,6,3.204
,7,3.279
,8,4.073
,9,3.606
,10,2.97
,11,2.765
,12,2.654
2014,1,2.366
,2,2.171
,3,2.003
,4,2.148
,5,2.449
,6,2.526
,7,2.799
,8,2.728
,9,3.006
,10,2.603
,11,2.361
,12,2.623
2015,1,2.758
,2,2.241
,3,2.211
,4,2.262
,5,2.613
,6,2.671
,7,3.374
,8,3.447
,9,2.933
,10,2.855
,11,2.532
,12,2.363
2016,1,2.275
,2,2.452
,3,2.31
,4,2.628
,5,2.644
,6,2.754
,7,3.716
,8,3.723
,9,3.355
,10,2.48
,11,2.651
,12,2.78
2017,1,2.297
,2,2.244
,3,2.048
,4,2.532
,5,2.921
,6,3.021
,7,3.293
,8,3.508
,9,2.733
,10,2.429
,11,2.629
,12,2.853
2018,1,2.494
,2,2.008
,3,1.781
,4,2.43
,5,2.491
,6,3.445
,7,6.438
,8,4.29
,9,3.888
,10,3.678
,11,3.987
,12,4.11
2019,1,2.858
,2,2.338
,3,2.154
,4,2.504
,5,3.11
,6,4.358
,7,4.099
,8,3.207
,9,3.531
,10,3.342
,11,3.979
,12,3.545
2020,1,3.096
,2,2.429
,3,2.585
,4,2.457
,5,2.817
,6,4.413
,7,5.993
,8,5.829
,9,4.177
,10,3.264
,11,3.083
,12,2.694
2021,1,2.446
,2,2.073
,3,2.161
,4,2.237
,5,2.516
,6,4.065
,7,4.835
,8,4.012
,9,3.569
,10,2.779
,11,3.016
,12,3.109
