,,HSST= HadISST Temperature (C)
1900,1,20.03
,2,19.2
,3,19.28
,4,18.74
,5,18.68
,6,19.59
,7,22.01
,8,23.77
,9,24.01
,10,23.13
,11,22.01
,12,19.97
1901,1,19.02
,2,19.06
,3,19.39
,4,19.23
,5,19.59
,6,20.3
,7,23.08
,8,24.36
,9,24.5
,10,23.23
,11,21.89
,12,20.69
1902,1,19.48
,2,19.03
,3,19.28
,4,18.95
,5,19.09
,6,19.87
,7,22.03
,8,24.24
,9,24.78
,10,23.59
,11,22.18
,12,20.61
1903,1,19.41
,2,19.02
,3,18.11
,4,19.45
,5,18.5
,6,20.02
,7,22.2
,8,24
,9,23.72
,10,22.87
,11,22.07
,12,20.3
1904,1,18.51
,2,18.39
,3,18.85
,4,18.44
,5,18.49
,6,20.2
,7,22.09
,8,25.01
,9,24.91
,10,23.98
,11,22.93
,12,20.96
1905,1,19.3
,2,18.21
,3,18.62
,4,18.8
,5,19.01
,6,20.13
,7,22.08
,8,25.06
,9,24.69
,10,23.8
,11,21.96
,12,19.99
1906,1,19.57
,2,18.25
,3,18.35
,4,18.91
,5,19.02
,6,21.23
,7,23.88
,8,25.72
,9,25.63
,10,24
,11,22.66
,12,21.32
1907,1,19.19
,2,17.98
,3,17.93
,4,18.25
,5,19.07
,6,19.96
,7,22.45
,8,24.18
,9,25.19
,10,23.88
,11,21.99
,12,20.3
1908,1,18.67
,2,18.09
,3,17.84
,4,17.94
,5,18.54
,6,19.93
,7,22.36
,8,24.02
,9,24.91
,10,23.71
,11,23.38
,12,21.81
1909,1,19.24
,2,18.5
,3,18.93
,4,19.09
,5,19.78
,6,20.24
,7,22.7
,8,25.37
,9,25.12
,10,24.19
,11,22.78
,12,21.51
1910,1,19.48
,2,18.16
,3,17.81
,4,18.58
,5,18.84
,6,19.44
,7,22.17
,8,24.49
,9,26.2
,10,24.64
,11,24.07
,12,20.96
1911,1,18.71
,2,17.95
,3,17.83
,4,19.13
,5,19.12
,6,19.43
,7,21.93
,8,24.13
,9,25.16
,10,24.08
,11,22.36
,12,20.78
1912,1,19.8
,2,19.54
,3,19.6
,4,19.24
,5,19.36
,6,20.26
,7,22.03
,8,23.53
,9,25.34
,10,23.48
,11,22.52
,12,19.59
1913,1,18.51
,2,18.49
,3,18.81
,4,18.77
,5,18.84
,6,19.89
,7,22.98
,8,23.61
,9,23.08
,10,22.85
,11,22.24
,12,20.34
1914,1,19.2
,2,18.18
,3,18.4
,4,18.42
,5,19
,6,19.98
,7,22.65
,8,25.25
,9,24.45
,10,23.92
,11,22.1
,12,20.92
1915,1,19.16
,2,18.19
,3,19.34
,4,19.07
,5,19.88
,6,20.8
,7,23.66
,8,25.87
,9,25.7
,10,23.84
,11,23.01
,12,21.32
1916,1,19.4
,2,18.18
,3,18.54
,4,18.54
,5,19.36
,6,20.16
,7,22.65
,8,25.16
,9,25.69
,10,24.28
,11,22.04
,12,20.13
1917,1,19.64
,2,18.19
,3,18.68
,4,19.22
,5,19.48
,6,20.67
,7,23.03
,8,24.52
,9,24.68
,10,23.51
,11,22.17
,12,21.46
1918,1,19.87
,2,18.97
,3,18.8
,4,19.13
,5,19.45
,6,20.5
,7,22.54
,8,24.16
,9,23.59
,10,22.71
,11,21.75
,12,20.33
1919,1,19.35
,2,19.07
,3,19.57
,4,19.21
,5,19.33
,6,20.34
,7,21.97
,8,24.67
,9,25.49
,10,24.51
,11,23.35
,12,20.75
1920,1,18.58
,2,18.14
,3,18.91
,4,19.07
,5,19.57
,6,20.01
,7,21.48
,8,24.18
,9,24.77
,10,24.27
,11,21.98
,12,20.39
1921,1,19.16
,2,18.39
,3,18.65
,4,18.77
,5,18.68
,6,19.64
,7,22.69
,8,24.17
,9,23.93
,10,24.09
,11,22.32
,12,20.25
1922,1,18.86
,2,18.7
,3,18.27
,4,18.12
,5,18.75
,6,19.88
,7,22.33
,8,24.2
,9,24.33
,10,24.18
,11,23.36
,12,21.57
1923,1,18.78
,2,17.9
,3,18.52
,4,18.26
,5,18.65
,6,19.29
,7,22.5
,8,24.98
,9,25.85
,10,23.98
,11,22.63
,12,21.19
1924,1,19.75
,2,18.67
,3,19.68
,4,19.01
,5,19.05
,6,20.4
,7,23.09
,8,24.18
,9,24.41
,10,23.43
,11,22.4
,12,20.51
1925,1,18.88
,2,18.04
,3,18.87
,4,18.44
,5,19.03
,6,19.62
,7,22.33
,8,24.68
