,,CHLA= NASA-combo satellite Chlorophyll (mg/m3)
1998,1,3.407
,2,3.32
,3,4.021
,4,3.796
,5,3.388
,6,3.411
,8,3.277
,9,3.615
,10,4.997
,11,5.703
,12,3.4
1999,1,3.206
,2,3.25
,3,2.943
,4,3.202
,5,3.28
,8,3.418
,9,5.374
,10,3.74
,11,3.963
,12,3.391
2000,1,2.889
,2,3.178
,3,3.136
,4,3.687
,5,3.704
,8,4.928
,9,4.859
,10,3.728
,11,3.518
,12,3.245
2001,1,3.232
,2,3.59
,3,3.271
,4,4.29
,5,3.086
,8,4.334
,9,4.628
,10,4.574
,11,3.5
,12,3.392
2002,1,3.613
,2,3.763
,3,3.767
,4,3.845
,5,3.574
,6,4.563
,7,6.321
,8,16.584
,9,6.809
,10,11.139
,11,8.139
,12,6.268
2003,1,5.018
,2,3.682
,3,3.735
,4,3.51
,5,3.952
,6,11.896
,8,7.872
,9,10.837
,10,5.939
,11,4.398
,12,4.177
2004,1,4.064
,2,4.003
,3,4.031
,4,3.831
,5,4.206
,6,9.859
,7,8.503
,8,9.457
,9,12.346
,10,9.673
,11,8.749
,12,9.169
2005,1,7.545
,2,3.683
,3,3.504
,4,3.85
,5,3.86
,6,3.65
,7,4.925
,8,6.759
,9,11.964
,10,9.634
,11,5.237
,12,6.378
2006,1,4.458
,2,3.591
,3,3.616
,4,3.395
,5,3.411
,7,4.824
,8,5.868
,9,5.827
,10,7.93
,11,5.363
,12,4.129
2007,1,4.678
,2,5.501
,3,5.473
,4,4.068
,5,4.387
,6,4.797
,7,7.006
,8,6.364
,9,7.536
,10,6.084
,11,5.066
,12,5.075
2008,1,7.322
,2,5.691
,3,6.583
,4,4.337
,5,3.728
,6,3.449
,7,3.803
,8,4.117
,9,10.646
,10,4.635
,11,4.894
,12,5.062
2009,1,3.982
,2,3.487
,3,3.781
,4,3.743
,5,3.539
,7,5.798
,8,7.556
,9,7.373
,10,5.062
,11,4.885
,12,3.658
2010,1,4.125
,2,4.169
,3,4.3
,4,5.544
,5,6.006
,6,6.643
,7,3.69
,8,8.863
,9,7.603
,10,8.339
,11,8.598
,12,9.591
2011,1,11.449
,2,6.502
,3,5.805
,4,7.238
,5,7.102
,6,5.213
,7,4.063
,8,4.695
,9,5.733
,10,8.379
,11,5.272
,12,5.982
2012,1,9.332
,2,7.079
,3,6.843
,4,4.455
,5,3.579
,6,5.365
,8,8.661
,9,5.881
,10,6.197
,11,4.553
,12,4.311
2013,1,4.568
,2,4.24
,3,3.408
,4,3.803
,5,4.462
,6,4.114
,7,3.97
,8,5.523
,9,10.212
,10,6.483
,11,4.512
,12,5.235
2014,1,3.718
,2,3.482
,3,3.362
,4,3.45
,5,3.219
,6,8.869
,7,4.602
,8,4.493
,9,4.538
,10,6.141
,11,4.514
,12,4.573
2015,1,3.973
,2,3.847
,3,3.568
,4,3.521
,5,3.719
,6,4.17
,7,4.04
,8,6.071
,9,5.58
,10,5.25
,11,6.029
,12,5.265
2016,1,4.758
,2,3.798
,3,4.142
,4,3.453
,5,4.098
,6,4.666
,8,6.293
,9,8.872
,10,4.473
,11,6.195
,12,5.657
2017,1,4.946
,2,3.504
,3,4.082
,4,3.665
,5,3.828
,6,5.403
,7,7.033
,8,1.027
,9,6.582
,10,10.193
,11,6.409
,12,4.934
2018,1,4.297
,2,3.04
,3,3.508
,4,3.544
,5,3.276
,6,4.399
,8,7.918
,9,5.936
,10,5.72
,11,4.221
,12,6.851
2019,1,5.364
,2,6.379
,3,4.706
,4,3.624
,5,3.592
,6,3.962
,7,5.282
,8,6.687
,9,4.361
,10,6.817
,11,6.368
,12,5.385
2020,1,6.092
,2,5.72
,3,4.231
,4,3.706
,5,3.907
,7,4.638
,9,6.958
,10,8.168
,11,7.597
,12,5.229
2021,1,4.49
,2,3.927
,3,5.359
,4,4.019
,5,4.284
,8,3.299
,9,13.081
,10,8.04
,11,6.031
,12,5.925
