,,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3)
1998,1,3.316
,2,3.371
,3,4.326
,4,3.802
,5,3.739
,6,3.12
,8,3.16
,9,3.792
,10,4.769
,11,4.152
,12,3.124
1999,1,3.012
,2,3.464
,3,2.845
,4,3.426
,5,3.19
,8,3.613
,9,4.201
,10,3.428
,11,3.629
,12,3.133
2000,1,2.643
,2,3.415
,3,3.349
,4,4.905
,5,4.081
,9,3.977
,10,3.448
,11,3.084
,12,3.144
2001,1,3.243
,2,4.418
,3,3.357
,4,5.806
,5,3.072
,8,4.239
,9,4.398
,10,3.949
,11,3.462
,12,3.161
2002,1,3.434
,2,3.677
,3,3.827
,4,4.208
,5,3.894
,6,4.839
,7,6.896
,8,8.193
,9,9.774
,10,7.557
,11,6.717
,12,4.533
2003,1,4.017
,2,3.613
,3,3.627
,4,3.818
,5,3.371
,6,4.336
,7,6.618
,8,7.505
,9,6.336
,10,4.792
,11,3.873
,12,3.478
2004,1,3.459
,2,3.61
,3,3.873
,4,3.703
,5,3.759
,6,4.512
,7,7.444
,8,8.062
,9,9.645
,10,7.636
,11,5.961
,12,5.706
2005,1,4.488
,2,3.434
,3,3.872
,4,3.659
,5,4.203
,6,3.803
,7,5.309
,8,8.153
,9,9.983
,10,6.23
,11,3.946
,12,4.119
2006,1,3.878
,2,3.476
,3,3.669
,4,3.437
,5,3.262
,6,4.598
,7,6.191
,8,6.701
,9,6.97
,10,5.724
,11,4.15
,12,3.624
2007,1,3.814
,2,4.498
,3,4.282
,4,3.665
,5,4.159
,6,4.083
,7,6.532
,8,7.242
,9,5.611
,10,4.381
,11,3.806
,12,3.574
2008,1,3.507
,2,3.558
,3,3.938
,4,4.575
,5,3.583
,6,3.985
,7,5.142
,8,6.078
,9,7.782
,10,4.131
,11,4.044
,12,3.427
2009,1,3.382
,2,3.616
,3,3.855
,4,3.734
,5,3.589
,6,4.819
,7,5.261
,8,5.463
,9,5.975
,10,4.625
,11,3.866
,12,3.498
2010,1,3.652
,2,3.98
,3,4.409
,4,5.055
,5,5.384
,6,5.703
,7,6.89
,8,7.481
,9,8.815
,10,6.337
,11,6.324
,12,6.818
2011,1,6.467
,2,4.81
,3,4.719
,4,5.211
,5,5.806
,6,4.748
,7,5.41
,8,7.805
,9,4.667
,10,5.146
,11,3.86
,12,4.068
2012,1,5.9
,2,6.155
,3,6.117
,4,4.004
,5,3.093
,6,3.926
,7,3.558
,8,6.514
,9,5.039
,10,4.571
,11,3.729
,12,3.296
2013,1,3.609
,2,3.148
,3,3.308
,4,3.722
,5,3.804
,6,3.161
,7,3.599
,8,5.466
,9,5.704
,10,4.643
,11,3.536
,12,3.242
2014,1,3.208
,2,3.016
,3,3.038
,4,3.263
,5,3.046
,6,3.402
,7,3.622
,8,4.15
,9,4.768
,10,4.356
,11,3.638
,12,3.332
2015,1,3.17
,2,3.167
,3,3.205
,4,2.864
,5,3.59
,6,4.105
,7,3.636
,8,4.84
,9,4.871
,10,4.754
,11,3.924
,12,3.457
2016,1,3.183
,2,3.489
,3,3.166
,4,3.201
,5,3.283
,6,3.679
,7,4.111
,8,4.747
,9,5.912
,10,3.766
,11,3.615
,12,3.621
2017,1,3.194
,2,2.916
,3,3.104
,4,3.145
,5,3.33
,6,3.27
,7,3.833
,8,4.596
,9,4.816
,10,3.959
,11,3.923
,12,3.546
2018,1,3.109
,2,2.687
,3,3.156
,4,3.046
,5,2.837
,6,3.385
,7,6.923
,8,5.382
,9,4.731
,10,4.208
,11,3.395
,12,3.548
2019,1,3.086
,2,3.304
,3,3.12
,4,2.943
,5,2.887
,6,3.084
,7,4.069
,8,4.58
,9,5.115
,10,4.397
,11,3.845
,12,3.46
2020,1,3.119
,2,3.133
,3,3.126
,4,3.068
,5,3.228
,6,4.965
,7,4.816
,8,7.057
,9,5.984
,10,4.444
,11,3.449
,12,3.19
2021,1,3.106
,2,2.91
,3,3.447
,4,3.094
,5,3.049
,6,4.281
,7,4.128
,8,4.985
,9,5.024
,10,3.852
,11,3.355
,12,3.258
