,,HSST= HadISST Temperature (C)
1900,1,20.25
,2,19.38
,3,19.45
,4,18.94
,5,18.94
,6,20.05
,7,22.63
,8,24.36
,9,24.66
,10,23.8
,11,22.53
,12,20.31
1901,1,19.24
,2,19.24
,3,19.56
,4,19.43
,5,19.86
,6,20.77
,7,23.69
,8,24.95
,9,25.15
,10,23.89
,11,22.41
,12,21.03
1902,1,19.7
,2,19.21
,3,19.45
,4,19.15
,5,19.35
,6,20.33
,7,22.64
,8,24.82
,9,25.43
,10,24.25
,11,22.7
,12,20.95
1903,1,19.62
,2,19.2
,3,18.28
,4,19.65
,5,18.77
,6,20.49
,7,22.81
,8,24.58
,9,24.37
,10,23.54
,11,22.59
,12,20.64
1904,1,18.73
,2,18.57
,3,19.02
,4,18.65
,5,18.76
,6,20.67
,7,22.7
,8,25.59
,9,25.56
,10,24.64
,11,23.45
,12,21.3
1905,1,19.52
,2,18.39
,3,18.8
,4,19
,5,19.28
,6,20.59
,7,22.69
,8,25.64
,9,25.34
,10,24.47
,11,22.48
,12,20.33
1906,1,19.78
,2,18.44
,3,18.52
,4,19.11
,5,19.28
,6,21.69
,7,24.49
,8,26.31
,9,26.28
,10,24.66
,11,23.19
,12,21.66
1907,1,19.41
,2,18.16
,3,18.1
,4,18.46
,5,19.34
,6,20.42
,7,23.07
,8,24.76
,9,25.83
,10,24.55
,11,22.51
,12,20.64
1908,1,18.88
,2,18.27
,3,18.01
,4,18.14
,5,18.8
,6,20.39
,7,22.97
,8,24.61
,9,25.56
,10,24.37
,11,23.9
,12,22.15
1909,1,19.46
,2,18.68
,3,19.11
,4,19.29
,5,20.05
,6,20.7
,7,23.32
,8,25.95
,9,25.77
,10,24.86
,11,23.3
,12,21.85
1910,1,19.7
,2,18.34
,3,17.99
,4,18.78
,5,19.1
,6,19.91
,7,22.79
,8,25.07
,9,26.85
,10,25.31
,11,24.59
,12,21.3
1911,1,18.93
,2,18.13
,3,18
,4,19.33
,5,19.39
,6,19.89
,7,22.54
,8,24.71
,9,25.81
,10,24.75
,11,22.88
,12,21.12
1912,1,20.01
,2,19.72
,3,19.77
,4,19.44
,5,19.63
,6,20.73
,7,22.65
,8,24.11
,9,25.99
,10,24.14
,11,23.04
,12,19.94
1913,1,18.73
,2,18.67
,3,18.98
,4,18.98
,5,19.11
,6,20.36
,7,23.59
,8,24.2
,9,23.73
,10,23.52
,11,22.77
,12,20.68
1914,1,19.41
,2,18.37
,3,18.57
,4,18.62
,5,19.26
,6,20.45
,7,23.26
,8,25.83
,9,25.1
,10,24.59
,11,22.62
,12,21.26
1915,1,19.38
,2,18.37
,3,19.51
,4,19.27
,5,20.14
,6,21.26
,7,24.28
,8,26.45
,9,26.34
,10,24.51
,11,23.53
,12,21.66
1916,1,19.61
,2,18.36
,3,18.71
,4,18.75
,5,19.62
,6,20.62
,7,23.27
,8,25.74
,9,26.34
,10,24.95
,11,22.56
,12,20.47
1917,1,19.86
,2,18.37
,3,18.86
,4,19.42
,5,19.74
,6,21.14
,7,23.65
,8,25.11
,9,25.33
,10,24.18
,11,22.69
,12,21.8
1918,1,20.09
,2,19.15
,3,18.97
,4,19.34
,5,19.71
,6,20.96
,7,23.15
,8,24.75
,9,24.24
,10,23.38
,11,22.27
,12,20.67
1919,1,19.57
,2,19.25
,3,19.75
,4,19.41
,5,19.59
,6,20.81
,7,22.58
,8,25.25
,9,26.14
,10,25.17
,11,23.87
,12,21.09
1920,1,18.8
,2,18.33
,3,19.08
,4,19.27
,5,19.84
,6,20.47
,7,22.09
,8,24.77
,9,25.42
,10,24.94
,11,22.5
,12,20.73
1921,1,19.38
,2,18.57
,3,18.82
,4,18.98
,5,18.95
,6,20.11
,7,23.31
,8,24.75
,9,24.58
,10,24.76
,11,22.84
,12,20.6
1922,1,19.08
,2,18.88
,3,18.44
,4,18.32
,5,19.02
,6,20.34
