DATE-YMD,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3),
1998-01-15,       4.962,
1998-02-15,       4.709,
1998-03-15,       4.440,
1998-04-15,       5.524,
1998-05-15,       5.433,
1998-06-15,       6.116,
1998-09-15,       5.175,
1998-10-15,       5.388,
1998-11-15,       4.363,
1998-12-15,       3.694,
1999-01-15,       3.530,
1999-02-15,       4.112,
1999-03-15,       3.033,
1999-04-15,       4.223,
1999-05-15,       4.965,
1999-08-15,       8.717,
1999-09-15,      10.558,
1999-10-15,       3.962,
1999-11-15,       5.011,
1999-12-15,       4.139,
2000-01-15,       4.411,
2000-02-15,       4.660,
2000-03-15,       6.015,
2000-04-15,       5.501,
2000-05-15,       6.692,
2000-06-15,       8.488,
2000-08-15,       6.674,
2000-09-15,       4.285,
2000-10-15,       3.660,
2000-11-15,       3.773,
2000-12-15,       4.228,
2001-01-15,       3.696,
2001-02-15,       3.910,
2001-03-15,       3.748,
2001-04-15,       5.652,
2001-05-15,       7.557,
2001-08-15,       4.935,
2001-09-15,       3.496,
2001-10-15,       6.244,
2001-11-15,       4.837,
2001-12-15,       4.142,
2002-01-15,       4.318,
2002-02-15,       5.695,
2002-03-15,       5.018,
2002-04-15,       6.199,
2002-05-15,       6.953,
2002-06-15,       7.862,
2002-07-15,       6.481,
2002-08-15,       5.761,
2002-09-15,       4.167,
2002-10-15,       4.492,
2002-11-15,       4.536,
2002-12-15,       5.108,
2003-01-15,       4.725,
2003-02-15,       3.918,
2003-03-15,       4.317,
2003-04-15,       4.936,
2003-05-15,       4.962,
2003-06-15,       6.854,
2003-07-15,       6.647,
2003-08-15,       7.784,
2003-09-15,       7.623,
2003-10-15,       5.324,
2003-11-15,       4.699,
2003-12-15,       5.114,
2004-01-15,       4.521,
2004-02-15,       4.681,
2004-03-15,       4.042,
2004-04-15,       5.055,
2004-05-15,       6.033,
2004-06-15,       6.147,
2004-07-15,       6.850,
2004-08-15,       8.791,
2004-09-15,       6.196,
2004-10-15,       6.615,
2004-11-15,       5.616,
2004-12-15,       5.196,
2005-01-15,       5.522,
2005-02-15,       4.581,
2005-03-15,       5.465,
2005-04-15,       5.843,
2005-05-15,       5.783,
2005-06-15,       5.889,
2005-07-15,       7.611,
2005-08-15,       9.434,
2005-09-15,      12.103,
2005-10-15,       6.896,
2005-11-15,       6.310,
2005-12-15,       6.123,
2006-01-15,       4.840,
2006-02-15,       4.028,
2006-03-15,       4.906,
2006-04-15,       4.468,
2006-05-15,       4.811,
2006-06-15,       5.763,
2006-07-15,       7.432,
2006-08-15,       7.580,
2006-09-15,       6.335,
2006-10-15,       6.295,
2006-11-15,       5.817,
2006-12-15,       5.153,
2007-01-15,       4.594,
2007-02-15,       4.352,
2007-03-15,       4.161,
2007-04-15,       4.802,
2007-05-15,       6.831,
2007-06-15,       6.969,
2007-07-15,      12.659,
2007-08-15,       9.122,
2007-09-15,       6.673,
2007-10-15,       4.800,
2007-11-15,       4.691,
2007-12-15,       3.686,
2008-01-15,       3.342,
2008-02-15,       3.616,
2008-03-15,       4.416,
2008-04-15,       4.418,
2008-05-15,       4.368,
2008-06-15,       4.914,
2008-07-15,       5.904,
2008-08-15,       6.898,
2008-09-15,       7.981,
2008-10-15,       6.574,
2008-11-15,       4.959,
2008-12-15,       4.749,
2009-01-15,       4.302,
2009-02-15,       4.046,
2009-03-15,       4.725,
2009-04-15,       5.877,
2009-05-15,       6.304,
2009-06-15,       6.963,
2009-07-15,       8.711,
2009-08-15,       7.123,
2009-09-15,       6.202,
2009-10-15,       5.743,
2009-11-15,       5.669,
2009-12-15,       5.301,
2010-01-15,       4.795,
2010-02-15,       5.310,
2010-03-15,       5.488,
2010-04-15,       6.496,
2010-05-15,       7.267,
2010-06-15,       7.776,
2010-07-15,       8.968,
2010-08-15,      10.462,
2010-09-15,       9.607,
2010-10-15,       7.617,
2010-11-15,       6.868,
2010-12-15,       7.589,
2011-01-15,       6.439,
2011-02-15,       6.071,
2011-03-15,       5.407,
2011-04-15,       6.558,
2011-05-15,       9.831,
2011-06-15,       8.627,
2011-07-15,       7.370,
2011-08-15,       7.744,
2011-09-15,       5.708,
2011-10-15,       4.356,
2011-11-15,       4.178,
2011-12-15,       4.901,
2012-01-15,       7.956,
2012-02-15,       5.971,
2012-03-15,       7.289,
2012-04-15,       3.967,
2012-05-15,       4.258,
2012-06-15,       5.140,
2012-07-15,       5.799,
2012-08-15,       5.079,
2012-09-15,       5.443,
2012-10-15,       5.754,
2012-11-15,       5.153,
2012-12-15,       5.146,
2013-01-15,       4.581,
2013-02-15,       4.149,
2013-03-15,       4.206,
2013-04-15,       4.480,
2013-05-15,       5.345,
2013-06-15,       3.869,
2013-07-15,       3.829,
2013-08-15,       6.220,
2013-09-15,       5.394,
2013-10-15,       5.239,
2013-11-15,       4.608,
2013-12-15,       4.347,
2014-01-15,       4.293,
2014-02-15,       3.535,
2014-03-15,       3.685,
2014-04-15,       4.852,
2014-05-15,       5.209,
2014-06-15,       4.631,
2014-07-15,       4.307,
2014-08-15,       5.031,
2014-09-15,       4.604,
2014-10-15,       4.501,
2014-11-15,       4.965,
2014-12-15,       4.624,
2015-01-15,       5.852,
2015-02-15,       3.904,
2015-03-15,       3.702,
2015-04-15,       4.499,
2015-05-15,       4.883,
2015-06-15,       4.928,
2015-07-15,       4.708,
2015-08-15,       6.676,
2015-09-15,       4.389,
2015-10-15,       4.557,
2015-11-15,       6.027,
2015-12-15,       4.578,
2016-01-15,       4.527,
2016-02-15,       4.659,
2016-03-15,       3.763,
2016-04-15,       4.315,
2016-05-15,       5.290,
2016-06-15,       5.666,
2016-07-15,       4.805,
2016-08-15,       5.921,
2016-09-15,       5.407,
2016-10-15,       4.739,
2016-11-15,       4.278,
2016-12-15,       4.877,
2017-01-15,       4.747,
2017-02-15,       4.167,
2017-03-15,       3.925,
2017-04-15,       5.596,
2017-05-15,       5.491,
2017-06-15,       4.110,
2017-07-15,       5.349,
2017-08-15,       5.192,
2017-09-15,       5.807,
2017-10-15,       4.441,
2017-11-15,       3.902,
2017-12-15,       4.314,
2018-01-15,       3.901,
2018-02-15,       3.300,
2018-03-15,       3.771,
2018-04-15,       4.189,
2018-05-15,       4.654,
2018-06-15,       4.830,
2018-07-15,       5.060,
2018-08-15,       5.101,
2018-09-15,       4.856,
2018-10-15,       5.572,
2018-11-15,       4.558,
2018-12-15,       4.554,
2019-01-15,       4.129,
2019-02-15,       4.051,
2019-03-15,       3.724,
2019-04-15,       4.839,
2019-05-15,       4.672,
2019-06-15,       4.051,
2019-07-15,       4.736,
2019-08-15,       4.574,
2019-09-15,       5.221,
2019-10-15,       4.621,
2019-11-15,       4.151,
2019-12-15,       3.838,
2020-01-15,       3.607,
2020-02-15,       3.816,
2020-03-15,       3.929,
2020-04-15,       5.124,
2020-05-15,       5.112,
2020-06-15,       4.585,
2020-07-15,       4.884,
2020-08-15,       7.135,
2020-09-15,       5.541,
2020-10-15,       4.839,
2020-11-15,       3.965,
2020-12-15,       4.006,
2021-01-15,       3.691,
2021-02-15,       3.614,
2021-03-15,       4.425,
2021-04-15,       4.143,
2021-05-15,       4.591,
2021-06-15,       6.439,
2021-07-15,       6.377,
2021-08-15,       4.524,
2021-09-15,       3.791,
2021-10-15,       3.691,
2021-11-15,       4.001,
2021-12-15,       4.642,
