DATE-YMD,OTHR= CMEMS Mixed Layer Depth (m),
1993-01-15,       9.813,
1993-02-15,       9.550,
1993-03-15,       9.603,
1993-04-15,       9.745,
1993-05-15,       9.782,
1993-06-15,       9.356,
1993-07-15,       8.703,
1993-08-15,       8.792,
1993-09-15,       9.429,
1993-10-15,       9.471,
1993-11-15,       9.834,
1993-12-15,      10.597,
1994-01-15,      10.355,
1994-02-15,       9.624,
1994-03-15,      10.061,
1994-04-15,       9.487,
1994-05-15,       9.861,
1994-06-15,       9.124,
1994-07-15,       8.656,
1994-08-15,       8.714,
1994-09-15,       8.787,
1994-10-15,       9.313,
1994-11-15,       9.024,
1994-12-15,       9.555,
1995-01-15,      10.650,
1995-02-15,      10.213,
1995-03-15,       9.792,
1995-04-15,       9.682,
1995-05-15,       9.598,
1995-06-15,       9.061,
1995-07-15,       8.871,
1995-08-15,       8.635,
1995-09-15,       9.224,
1995-10-15,       8.877,
1995-11-15,       9.103,
1995-12-15,       9.608,
1996-01-15,      10.466,
1996-02-15,      10.518,
1996-03-15,       9.603,
1996-04-15,       9.745,
1996-05-15,       9.440,
1996-06-15,       9.250,
1996-07-15,       8.703,
1996-08-15,       8.735,
1996-09-15,       9.377,
1996-10-15,       9.266,
1996-11-15,       9.940,
1996-12-15,      10.455,
1997-01-15,      10.318,
1997-02-15,       9.887,
1997-03-15,       9.934,
1997-04-15,       9.655,
1997-05-15,       9.413,
1997-06-15,       9.066,
1997-07-15,       9.103,
1997-08-15,       8.666,
1997-09-15,       8.982,
1997-10-15,       8.787,
1997-11-15,       9.050,
1997-12-15,       9.455,
1998-01-15,       9.903,
1998-02-15,       9.245,
1998-03-15,       9.571,
1998-04-15,      10.618,
1998-05-15,       9.629,
1998-06-15,       9.229,
1998-07-15,       8.887,
1998-08-15,       8.614,
1998-09-15,       9.066,
1998-10-15,       9.340,
1998-11-15,       8.987,
1998-12-15,      10.092,
1999-01-15,      10.555,
1999-02-15,      10.718,
1999-03-15,       9.776,
1999-04-15,       9.676,
1999-05-15,       9.771,
1999-06-15,       9.382,
1999-07-15,       8.782,
1999-08-15,       8.582,
1999-09-15,       8.777,
1999-10-15,       9.340,
1999-11-15,       9.419,
1999-12-15,      10.229,
2000-01-15,      10.424,
2000-02-15,       9.345,
2000-03-15,       9.287,
2000-04-15,      10.271,
2000-05-15,       9.734,
2000-06-15,       8.956,
2000-07-15,       9.019,
2000-08-15,       8.956,
2000-09-15,       9.261,
2000-10-15,       9.682,
2000-11-15,       9.487,
2000-12-15,       9.555,
2001-01-15,      10.492,
2001-02-15,       9.455,
2001-03-15,       9.655,
2001-04-15,      10.018,
2001-05-15,       9.840,
2001-06-15,       9.135,
2001-07-15,       8.808,
2001-08-15,       8.977,
