DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1950-01-15,      36.095,
1950-02-15,      36.081,
1950-03-15,      36.045,
1950-04-15,      36.060,
1950-05-15,      36.057,
1950-06-15,      36.069,
1950-07-15,      36.105,
1950-08-15,      36.107,
1950-09-15,      36.104,
1950-10-15,      36.108,
1950-11-15,      35.814,
1950-12-15,      35.840,
1951-01-15,      35.872,
1951-02-15,      35.887,
1951-03-15,      35.871,
1951-04-15,      35.869,
1951-05-15,      35.886,
1951-06-15,      35.914,
1951-07-15,      35.966,
1951-08-15,      35.989,
1951-09-15,      36.003,
1951-10-15,      36.011,
1951-11-15,      35.994,
1951-12-15,      36.002,
1952-01-15,      36.022,
1952-02-15,      36.106,
1952-03-15,      36.063,
1952-04-15,      36.046,
1952-05-15,      36.045,
1952-06-15,      36.056,
1952-07-15,      36.093,
1952-08-15,      36.116,
1952-09-15,      36.117,
1952-10-15,      36.110,
1952-11-15,      36.083,
1952-12-15,      36.082,
1953-01-15,      36.093,
1953-02-15,      36.079,
1953-03-15,      36.043,
1953-04-15,      36.029,
1953-05-15,      36.037,
1953-06-15,      36.052,
1953-07-15,      36.090,
1953-08-15,      36.104,
1953-09-15,      36.107,
1953-10-15,      36.104,
1953-11-15,      36.078,
1953-12-15,      36.077,
1954-01-15,      36.088,
1954-02-15,      36.077,
1954-03-15,      36.041,
1954-04-15,      36.026,
1954-05-15,      36.024,
1954-06-15,      36.040,
1954-07-15,      36.077,
1954-08-15,      36.086,
1954-09-15,      36.090,
1954-10-15,      36.089,
1954-11-15,      36.064,
1954-12-15,      36.065,
1955-01-15,      36.079,
1955-02-15,      36.066,
1955-03-15,      36.032,
1955-04-15,      36.016,
1955-05-15,      36.019,
1955-06-15,      36.036,
1955-07-15,      36.076,
1955-08-15,      36.106,
1955-09-15,      36.108,
1955-10-15,      36.105,
1955-11-15,      36.079,
1955-12-15,      36.079,
1956-01-15,      36.085,
1956-02-15,      36.069,
1956-03-15,      36.035,
1956-04-15,      36.020,
1956-05-15,      36.029,
1956-06-15,      36.043,
1956-07-15,      36.082,
1956-08-15,      36.091,
1956-09-15,      36.099,
1956-10-15,      36.097,
1956-11-15,      36.072,
1956-12-15,      36.071,
1957-01-15,      36.082,
1957-02-15,      35.987,
1957-03-15,      35.965,
1957-04-15,      35.957,
1957-05-15,      36.007,
1957-06-15,      36.024,
1957-07-15,      36.056,
1957-08-15,      35.987,
1957-09-15,      35.917,
1957-10-15,      36.030,
1957-11-15,      35.951,
1957-12-15,      35.916,
1958-01-15,      35.869,
1958-02-15,      35.873,
1958-03-15,      36.060,
1958-04-15,      35.998,
1958-05-15,      35.997,
1958-06-15,      35.942,
1958-07-15,      35.997,
1958-08-15,      36.021,
1958-09-15,      35.764,
1958-10-15,      35.609,
1958-11-15,      35.444,
1958-12-15,      35.835,
1959-01-15,      36.097,
1959-02-15,      36.085,
1959-03-15,      36.050,
1959-04-15,      36.030,
1959-05-15,      36.011,
1959-06-15,      36.008,
1959-07-15,      35.988,
1959-08-15,      36.073,
1959-09-15,      36.119,
1959-10-15,      36.013,
1959-11-15,      35.813,
1959-12-15,      35.930,
1960-01-15,      35.825,
1960-02-15,      35.840,
1960-03-15,      35.826,
1960-04-15,      35.790,
1960-05-15,      35.775,
1960-06-15,      35.823,
1960-07-15,      35.873,
1960-08-15,      35.914,
1960-09-15,      35.940,
1960-10-15,      35.978,
1960-11-15,      35.947,
1960-12-15,      35.950,
1961-01-15,      35.977,
1961-02-15,      36.103,
1961-03-15,      35.900,
1961-04-15,      35.892,
1961-05-15,      35.792,
1961-06-15,      35.956,
1961-07-15,      36.101,
1961-08-15,      36.078,
1961-09-15,      36.086,
1961-10-15,      36.084,
1961-11-15,      36.034,
1961-12-15,      36.039,
1962-01-15,      36.066,
1962-02-15,      36.048,
1962-03-15,      36.011,
1962-04-15,      35.998,
1962-05-15,      35.999,
1962-06-15,      36.045,
1962-07-15,      36.010,
1962-08-15,      36.051,
1962-09-15,      35.945,
1962-10-15,      35.867,
1962-11-15,      36.069,
1962-12-15,      36.018,
1963-01-15,      36.118,
1963-02-15,      36.149,
1963-03-15,      36.108,
1963-04-15,      36.111,
1963-05-15,      36.114,
1963-06-15,      36.118,
1963-07-15,      36.006,
1963-08-15,      35.933,
1963-09-15,      36.065,
1963-10-15,      36.013,
1963-11-15,      35.913,
1963-12-15,      35.940,
1964-01-15,      36.055,
1964-02-15,      36.048,
1964-03-15,      36.022,
1964-04-15,      36.023,
1964-05-15,      35.973,
1964-06-15,      35.899,
1964-07-15,      35.942,
1964-08-15,      35.950,
1964-09-15,      35.959,
1964-10-15,      35.941,
1964-11-15,      35.949,
1964-12-15,      35.904,
1965-01-15,      35.908,
1965-02-15,      36.023,
1965-03-15,      36.079,
1965-04-15,      35.894,
1965-05-15,      35.887,
1965-06-15,      35.883,
1965-07-15,      35.818,
1965-08-15,      35.870,
1965-09-15,      35.898,
1965-10-15,      35.807,
1965-11-15,      35.808,
1965-12-15,      35.863,
1966-01-15,      35.718,
1966-02-15,      35.960,
1966-03-15,      36.031,
1966-04-15,      35.915,
1966-05-15,      35.923,
1966-06-15,      35.935,
1966-07-15,      35.988,
1966-08-15,      35.914,
1966-09-15,      35.729,
1966-10-15,      35.471,
1966-11-15,      35.842,
1966-12-15,      35.907,
1967-01-15,      35.966,
1967-02-15,      35.921,
1967-03-15,      35.889,
1967-04-15,      35.876,
1967-05-15,      35.808,
1967-06-15,      35.890,
1967-07-15,      36.097,
1967-08-15,      36.079,
1967-09-15,      36.039,
1967-10-15,      35.751,
1967-11-15,      35.953,
1967-12-15,      36.044,
1968-01-15,      35.952,
1968-02-15,      35.908,
1968-03-15,      35.876,
1968-04-15,      35.820,
1968-05-15,      35.896,
1968-06-15,      35.889,
1968-07-15,      35.864,
1968-08-15,      35.768,
1968-09-15,      35.959,
1968-10-15,      36.055,
1968-11-15,      35.956,
1968-12-15,      35.878,
1969-01-15,      35.881,
1969-02-15,      36.025,
1969-03-15,      35.949,
1969-04-15,      35.854,
1969-05-15,      35.895,
1969-06-15,      35.937,
1969-07-15,      35.975,
1969-08-15,      35.808,
1969-09-15,      35.702,
1969-10-15,      35.974,
1969-11-15,      35.956,
1969-12-15,      35.998,
1970-01-15,      35.898,
1970-02-15,      35.698,
1970-03-15,      35.835,
1970-04-15,      35.827,
1970-05-15,      35.761,
1970-06-15,      36.000,
1970-07-15,      36.056,
1970-08-15,      36.028,
1970-09-15,      35.937,
1970-10-15,      35.988,
1970-11-15,      35.843,
1970-12-15,      35.846,
1971-01-15,      35.981,
1971-02-15,      36.105,
1971-03-15,      35.953,
1971-04-15,      35.790,
1971-05-15,      35.839,
1971-06-15,      35.894,
1971-07-15,      35.983,
1971-08-15,      36.017,
1971-09-15,      36.018,
1971-10-15,      36.111,
1971-11-15,      36.074,
1971-12-15,      35.890,
1972-01-15,      35.957,
1972-02-15,      35.871,
1972-03-15,      35.751,
1972-04-15,      35.927,
1972-05-15,      35.910,
1972-06-15,      35.942,
1972-07-15,      36.077,
1972-08-15,      36.070,
1972-09-15,      36.244,
