DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1960-01-15,       5.470,
1960-02-15,       5.350,
1960-03-15,       6.840,
1960-04-15,       7.710,
1960-05-15,       8.080,
1960-06-15,       7.990,
1960-07-15,       7.410,
1960-08-15,       4.880,
1960-09-15,       6.950,
1960-10-15,       6.320,
1960-11-15,       7.200,
1960-12-15,       6.680,
1961-01-15,       7.790,
1961-02-15,       5.850,
1961-03-15,       5.460,
1961-04-15,       8.130,
1961-05-15,       6.980,
1961-06-15,       8.290,
1961-07-15,       6.580,
1961-08-15,       5.740,
1961-09-15,       7.320,
1961-10-15,       7.260,
1961-11-15,       5.530,
1961-12-15,       4.230,
1962-01-15,       5.610,
1962-02-15,       7.660,
1962-03-15,       7.580,
1962-04-15,       7.980,
1962-05-15,       7.430,
1962-06-15,       9.410,
1962-07-15,       8.180,
1962-08-15,       6.530,
1962-09-15,       6.400,
1962-10-15,       6.000,
1962-11-15,       5.660,
1962-12-15,       5.220,
1963-01-15,       4.460,
1963-02-15,       9.170,
1963-03-15,       7.450,
1963-04-15,       8.050,
1963-05-15,       8.170,
1963-06-15,       6.310,
1963-07-15,       7.090,
1963-08-15,       7.450,
1963-09-15,       7.690,
1963-10-15,       4.740,
1963-11-15,       5.040,
1963-12-15,       5.810,
1964-01-15,       4.390,
1964-02-15,       5.120,
1964-03-15,       6.420,
1964-04-15,       6.960,
1964-05-15,       7.430,
1964-06-15,      12.100,
1964-07-15,       7.300,
1964-08-15,       7.110,
1964-09-15,       6.780,
1964-10-15,       6.120,
1964-11-15,       5.410,
1964-12-15,       6.170,
1965-01-15,       6.480,
1965-02-15,       7.810,
1965-03-15,      10.620,
1965-04-15,       9.920,
1965-05-15,       5.420,
1965-06-15,       7.450,
1965-07-15,       8.470,
1965-08-15,       7.920,
1965-09-15,       6.720,
1965-10-15,       5.120,
1965-11-15,       4.990,
1965-12-15,       7.200,
1966-01-15,       4.290,
1966-02-15,       6.360,
1966-03-15,       6.150,
1966-04-15,       8.700,
1966-05-15,       6.980,
1966-06-15,      11.340,
1966-07-15,       9.160,
1966-08-15,       6.850,
1966-09-15,       7.300,
1966-10-15,       5.600,
1966-11-15,       4.320,
1966-12-15,       5.260,
1967-01-15,       5.280,
1967-02-15,       7.930,
1967-03-15,       9.600,
1967-04-15,       5.300,
1967-05-15,       7.990,
1967-06-15,      11.480,
1967-07-15,       7.390,
1967-08-15,       7.320,
1967-09-15,       5.830,
1967-10-15,       3.040,
1967-11-15,       6.560,
1967-12-15,       5.110,
1968-01-15,       6.110,
1968-02-15,       6.390,
1968-03-15,       6.490,
1968-04-15,       6.780,
1968-05-15,       8.810,
1968-06-15,       7.910,
1968-07-15,       6.190,
1968-08-15,       6.880,
1968-09-15,       5.570,
1968-10-15,       5.540,
1968-11-15,       3.610,
1968-12-15,       4.970,
1969-01-15,       2.090,
1969-02-15,       8.820,
1969-03-15,       4.440,
1969-04-15,       3.530,
1969-05-15,       9.180,
1969-06-15,       6.730,
1969-07-15,       6.930,
1969-08-15,       7.370,
1969-09-15,       6.340,
1969-10-15,       5.230,
1969-11-15,       4.270,
1969-12-15,       6.040,
1970-01-15,       6.000,
1970-02-15,       5.480,
1970-03-15,       2.080,
1970-04-15,       9.810,
1970-05-15,       9.330,
1970-06-15,       9.210,
1970-07-15,       7.720,
1970-08-15,       7.840,
1970-09-15,       6.340,
1970-10-15,       6.770,
1970-11-15,       5.610,
1970-12-15,       6.640,
1971-01-15,       3.700,
1971-02-15,       7.010,
1971-03-15,       8.420,
1971-04-15,       7.500,
1971-05-15,       7.320,
1971-06-15,       8.280,
1971-07-15,       7.970,
1971-08-15,       8.120,
1971-09-15,      10.550,
1971-10-15,       9.210,
1971-11-15,       3.660,
1971-12-15,       5.420,
1972-01-15,       9.270,
1972-02-15,       9.240,
1972-03-15,       6.750,
1972-04-15,       7.390,
1972-05-15,       7.600,
1972-06-15,      10.220,
1972-07-15,       9.300,
1972-08-15,       4.150,
1972-09-15,       5.140,
1972-10-15,       6.180,
1972-11-15,       5.360,
1972-12-15,       7.880,
1973-01-15,       5.950,
1973-02-15,       4.910,
1973-03-15,       7.410,
1973-04-15,       5.700,
1973-05-15,       9.290,
1973-06-15,       5.950,
1973-07-15,       8.500,
1973-08-15,       7.940,
1973-09-15,       8.370,
1973-10-15,       7.070,
1973-11-15,       5.850,
1973-12-15,       6.570,
1974-01-15,       8.950,
1974-02-15,       7.750,
1974-03-15,       8.740,
1974-04-15,       9.200,
1974-05-15,       8.700,
1974-06-15,       9.310,
1974-07-15,       8.040,
1974-08-15,       5.770,
1974-09-15,       7.780,
1974-10-15,       7.440,
1974-11-15,       7.170,
1974-12-15,       6.710,
1975-01-15,       6.110,
1975-02-15,       7.630,
1975-03-15,       8.080,
1975-04-15,       7.180,
1975-05-15,       9.000,
1975-06-15,       8.920,
1975-07-15,       5.740,
1975-08-15,       8.520,
1975-09-15,       7.240,
1975-10-15,       7.360,
1975-11-15,       6.480,
1975-12-15,       3.900,
1976-01-15,       9.930,
1976-02-15,       7.110,
1976-03-15,       7.310,
1976-04-15,       8.680,
1976-05-15,       8.450,
1976-06-15,       8.200,
1976-07-15,       5.690,
1976-08-15,       4.890,
1976-09-15,      12.470,
1976-10-15,       8.830,
1976-11-15,       5.310,
1976-12-15,       5.060,
1977-01-15,       6.420,
1977-02-15,       7.870,
1977-03-15,       7.160,
1977-04-15,       5.640,
1977-05-15,       8.920,
1977-06-15,       9.970,
1977-07-15,       9.700,
1977-08-15,       8.940,
1977-09-15,       8.200,
1977-10-15,       7.990,
1977-11-15,       5.060,
1977-12-15,       6.430,
1978-01-15,       6.720,
1978-02-15,       4.570,
1978-03-15,       7.920,
1978-04-15,       6.650,
1978-05-15,       7.520,
1978-06-15,       9.400,
