DATE-YMD,OTHR= OSCAR surface currents u-EW-component (m/s),
1993-01-15,       0.107,
1993-02-15,       0.036,
1993-03-15,       0.066,
1993-04-15,       0.003,
1993-05-15,       0.097,
1993-06-15,       0.013,
1993-07-15,       0.163,
1993-08-15,      -0.009,
1993-09-15,       0.076,
1993-10-15,       0.069,
1993-11-15,       0.124,
1993-12-15,      -0.005,
1994-01-15,       0.085,
1994-02-15,       0.004,
1994-03-15,       0.105,
1994-04-15,       0.008,
1994-05-15,       0.083,
1994-06-15,       0.073,
1994-07-15,       0.179,
1994-08-15,       0.055,
1994-09-15,       0.147,
1994-10-15,      -0.012,
1994-11-15,       0.065,
1994-12-15,       0.025,
1995-01-15,       0.035,
1995-02-15,       0.061,
1995-03-15,       0.056,
1995-04-15,       0.020,
1995-05-15,       0.051,
1995-06-15,       0.098,
1995-07-15,       0.054,
1995-08-15,       0.095,
1995-09-15,       0.029,
1995-10-15,       0.087,
1995-11-15,      -0.026,
1995-12-15,       0.040,
1996-01-15,      -0.061,
1996-02-15,       0.122,
1996-03-15,      -0.010,
1996-04-15,       0.088,
1996-05-15,      -0.004,
1996-06-15,       0.040,
1996-07-15,       0.060,
1996-08-15,       0.115,
1996-09-15,      -0.067,
1996-10-15,       0.132,
1996-11-15,       0.001,
1996-12-15,      -0.035,
1997-01-15,      -0.046,
1997-02-15,       0.094,
1997-03-15,      -0.067,
1997-04-15,       0.080,
1997-05-15,       0.014,
1997-06-15,       0.115,
1997-07-15,      -0.011,
1997-08-15,       0.173,
1997-09-15,      -0.054,
1997-10-15,       0.086,
1997-11-15,      -0.012,
1997-12-15,       0.107,
1998-01-15,       0.063,
1998-02-15,       0.140,
1998-03-15,      -0.062,
1998-04-15,       0.007,
1998-05-15,       0.050,
1998-06-15,       0.037,
1998-07-15,       0.117,
1998-08-15,       0.118,
1998-09-15,       0.090,
1998-10-15,       0.083,
1998-11-15,       0.029,
1998-12-15,       0.028,
1999-01-15,       0.045,
1999-02-15,      -0.009,
1999-03-15,       0.067,
1999-04-15,       0.035,
1999-05-15,       0.048,
1999-06-15,       0.075,
1999-07-15,       0.079,
1999-08-15,       0.077,
1999-09-15,       0.043,
1999-10-15,      -0.065,
1999-11-15,       0.059,
1999-12-15,      -0.065,
2000-01-15,       0.103,
2000-02-15,      -0.014,
2000-03-15,       0.039,
2000-04-15,      -0.083,
2000-05-15,      -0.002,
2000-06-15,      -0.067,
2000-07-15,       0.088,
2000-08-15,      -0.002,
2000-09-15,       0.052,
2000-10-15,      -0.116,
2000-11-15,       0.059,
2000-12-15,       0.038,
2001-01-15,      -0.002,
2001-02-15,      -0.019,
2001-03-15,      -0.030,
2001-04-15,      -0.075,
2001-05-15,      -0.052,
2001-06-15,       0.034,
2001-07-15,       0.004,
2001-08-15,      -0.002,
2001-09-15,       0.074,
2001-10-15,       0.028,
2001-11-15,       0.108,
2001-12-15,       0.047,
2002-01-15,       0.089,
2002-02-15,      -0.037,
2002-03-15,       0.022,
2002-04-15,      -0.031,
2002-05-15,       0.075,
2002-06-15,      -0.049,
2002-07-15,       0.075,
2002-08-15,      -0.037,
2002-09-15,       0.073,
2002-10-15,      -0.012,
2002-11-15,      -0.028,
2002-12-15,      -0.030,
2003-01-15,       0.023,
