DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
1982-01-15,      18.797,
1982-02-15,      17.923,
1982-03-15,      17.951,
1982-04-15,      18.353,
1982-05-15,      17.587,
1982-06-15,      21.031,
1982-07-15,      22.821,
1982-08-15,      23.839,
1982-09-15,      23.681,
1982-10-15,      23.029,
1982-11-15,      20.661,
1982-12-15,      18.446,
1983-01-15,      18.495,
1983-02-15,      18.316,
1983-03-15,      19.654,
1983-04-15,      17.909,
1983-05-15,      17.521,
1983-06-15,      20.628,
1983-07-15,      24.171,
1983-08-15,      25.007,
1983-09-15,      25.484,
1983-10-15,      25.152,
1983-11-15,      22.081,
1983-12-15,      20.206,
1984-01-15,      17.501,
1984-02-15,      17.820,
1984-03-15,      18.323,
1984-04-15,      18.402,
1984-05-15,      18.122,
1984-06-15,      20.673,
1984-07-15,      23.466,
1984-08-15,      23.485,
1984-09-15,      24.204,
1984-10-15,      22.688,
1984-11-15,      20.157,
1984-12-15,      19.424,
1985-01-15,      17.865,
1985-02-15,      18.060,
1985-03-15,      17.029,
1985-04-15,      17.460,
1985-05-15,      16.853,
1985-06-15,      19.278,
1985-07-15,      22.657,
1985-08-15,      24.905,
1985-09-15,      25.805,
1985-10-15,      24.870,
1985-11-15,      21.692,
1985-12-15,      19.610,
1986-01-15,      17.254,
1986-02-15,      16.840,
1986-03-15,      17.219,
1986-04-15,      17.150,
1986-05-15,      17.655,
1986-06-15,      20.106,
1986-07-15,      23.368,
1986-08-15,      25.805,
1986-09-15,      26.759,
1986-10-15,      24.416,
1986-11-15,      20.742,
1986-12-15,      19.065,
1987-01-15,      17.631,
1987-02-15,      17.609,
1987-03-15,      18.900,
1987-04-15,      18.980,
1987-05-15,      19.233,
1987-06-15,      21.391,
1987-07-15,      23.306,
1987-08-15,      25.175,
1987-09-15,      25.368,
1987-10-15,      23.952,
1987-11-15,      21.801,
1987-12-15,      20.670,
1988-01-15,      18.358,
1988-02-15,      17.563,
1988-03-15,      19.383,
1988-04-15,      18.181,
1988-05-15,      18.112,
1988-06-15,      20.058,
1988-07-15,      23.030,
1988-08-15,      25.224,
1988-09-15,      26.506,
1988-10-15,      23.701,
1988-11-15,      21.435,
1988-12-15,      20.185,
1989-01-15,      19.134,
1989-02-15,      18.743,
1989-03-15,      18.204,
1989-04-15,      17.301,
1989-05-15,      17.947,
1989-06-15,      19.904,
1989-07-15,      24.870,
1989-08-15,      26.845,
1989-09-15,      26.437,
1989-10-15,      23.665,
1989-11-15,      22.234,
1989-12-15,      20.421,
1990-01-15,      18.037,
1990-02-15,      19.090,
1990-03-15,      19.171,
1990-04-15,      18.628,
1990-05-15,      17.918,
1990-06-15,      19.317,
1990-07-15,      23.288,
1990-08-15,      26.142,
1990-09-15,      26.177,
1990-10-15,      25.143,
1990-11-15,      21.819,
1990-12-15,      19.646,
1991-01-15,      17.838,
1991-02-15,      17.495,
1991-03-15,      17.683,
1991-04-15,      17.928,
1991-05-15,      17.745,
1991-06-15,      19.434,
1991-07-15,      22.596,
1991-08-15,      24.787,
1991-09-15,      26.363,
1991-10-15,      25.138,
1991-11-15,      23.723,
1991-12-15,      21.261,
1992-01-15,      20.387,
1992-02-15,      19.237,
1992-03-15,      18.062,
1992-04-15,      17.409,
1992-05-15,      17.879,
1992-06-15,      19.505,
1992-07-15,      22.972,
1992-08-15,      25.039,
1992-09-15,      25.860,
1992-10-15,      22.936,
1992-11-15,      21.254,
1992-12-15,      19.883,
1993-01-15,      17.881,
1993-02-15,      17.384,
1993-03-15,      17.883,
1993-04-15,      18.067,
1993-05-15,      18.063,
1993-06-15,      20.146,
1993-07-15,      23.709,
1993-08-15,      26.170,
1993-09-15,      25.379,
1993-10-15,      22.999,
1993-11-15,      20.524,
1993-12-15,      18.946,
1994-01-15,      17.351,
1994-02-15,      17.623,
1994-03-15,      17.385,
1994-04-15,      18.455,
1994-05-15,      18.212,
1994-06-15,      19.984,
1994-07-15,      23.257,
1994-08-15,      25.479,
1994-09-15,      24.916,
1994-10-15,      24.979,
