DATE-YMD,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3),
1998-01-15,       3.432,
1998-02-15,       4.093,
1998-03-15,       2.137,
1998-04-15,       3.911,
1998-05-15,       3.838,
1998-06-15,       4.221,
1998-08-15,       2.720,
1998-09-15,       3.488,
1998-10-15,       4.520,
1998-11-15,       3.736,
1998-12-15,       1.911,
1999-01-15,       2.373,
1999-02-15,       2.618,
1999-03-15,       2.082,
1999-04-15,       2.972,
1999-05-15,       3.007,
1999-08-15,       1.750,
1999-09-15,       3.637,
1999-10-15,       3.380,
1999-11-15,       2.999,
1999-12-15,       1.643,
2000-01-15,       1.559,
2000-02-15,       2.999,
2000-03-15,       3.784,
2000-04-15,       3.854,
2000-05-15,       4.364,
2000-08-15,       2.073,
2000-09-15,       4.128,
2000-10-15,       3.103,
2000-11-15,       2.617,
2000-12-15,       2.065,
2001-01-15,       2.348,
2001-02-15,       2.593,
2001-03-15,       2.808,
2001-04-15,       3.556,
2001-05-15,       3.817,
2001-08-15,       2.775,
2001-09-15,       1.890,
2001-10-15,       4.084,
2001-11-15,       2.132,
2001-12-15,       1.492,
2002-01-15,       2.087,
2002-02-15,       3.841,
2002-03-15,       3.237,
2002-04-15,       3.276,
2002-05-15,       5.313,
2002-06-15,       6.481,
2002-07-15,       5.695,
2002-08-15,       6.906,
2002-09-15,       4.520,
2002-10-15,       3.694,
2002-11-15,       2.635,
2002-12-15,       3.175,
2003-01-15,       2.764,
2003-02-15,       2.770,
2003-03-15,       2.920,
2003-04-15,       3.899,
2003-05-15,       4.293,
2003-06-15,       4.974,
2003-07-15,       5.345,
2003-08-15,       3.073,
2003-09-15,       5.759,
2003-10-15,       3.114,
2003-11-15,       3.372,
2003-12-15,       2.783,
2004-01-15,       2.949,
2004-02-15,       3.252,
2004-03-15,       3.123,
2004-04-15,       4.504,
2004-05-15,       4.071,
2004-06-15,       3.726,
2004-07-15,       3.179,
2004-08-15,       4.965,
2004-09-15,       4.578,
2004-10-15,       4.054,
2004-11-15,       2.564,
2004-12-15,       2.923,
2005-01-15,       2.752,
2005-02-15,       3.394,
2005-03-15,       3.540,
2005-04-15,       3.587,
2005-05-15,       4.032,
2005-06-15,       4.422,
2005-07-15,       3.090,
2005-08-15,       4.120,
2005-09-15,       4.966,
2005-10-15,       3.437,
2005-11-15,       2.801,
2005-12-15,       2.160,
2006-01-15,       2.858,
2006-02-15,       2.619,
2006-03-15,       2.877,
2006-04-15,       4.268,
2006-05-15,       4.988,
2006-06-15,       4.069,
2006-07-15,       3.488,
2006-08-15,       3.932,
2006-09-15,       3.595,
2006-10-15,       2.899,
2006-11-15,       2.917,
2006-12-15,       2.156,
2007-01-15,       2.543,
2007-02-15,       2.491,
2007-03-15,       2.863,
2007-04-15,       3.213,
2007-05-15,       4.221,
2007-06-15,       5.002,
2007-07-15,       6.421,
2007-08-15,       5.064,
2007-09-15,       4.677,
2007-10-15,       4.043,
2007-11-15,       2.767,
2007-12-15,       3.399,
2008-01-15,       1.853,
2008-02-15,       2.840,
2008-03-15,       4.408,
2008-04-15,       4.120,
2008-05-15,       3.838,
2008-06-15,       3.964,
2008-07-15,       3.523,
2008-08-15,       2.598,
2008-09-15,       4.687,
2008-10-15,       4.116,
2008-11-15,       3.218,
2008-12-15,       2.426,
2009-01-15,       2.547,
2009-02-15,       2.932,
2009-03-15,       2.922,
2009-04-15,       4.243,
2009-05-15,       3.725,
2009-06-15,       5.072,
2009-07-15,       5.692,
2009-08-15,       2.506,
2009-09-15,       2.394,
2009-10-15,       3.576,
2009-11-15,       3.740,
2009-12-15,       2.477,
2010-01-15,       3.291,
2010-02-15,       4.053,
2010-03-15,       3.577,
2010-04-15,       2.908,
2010-05-15,       4.939,
2010-06-15,       3.575,
2010-07-15,       3.757,
2010-08-15,       2.173,
2010-09-15,       2.699,
2010-10-15,       3.714,
2010-11-15,       2.888,
2010-12-15,       2.729,
2011-01-15,       3.243,
2011-02-15,       2.528,
2011-03-15,       2.436,
2011-04-15,       3.088,
2011-05-15,       5.273,
2011-06-15,       5.945,
2011-07-15,       3.175,
2011-08-15,       3.879,
2011-09-15,       3.134,
2011-10-15,       3.782,
2011-11-15,       2.889,
2011-12-15,       2.245,
2012-01-15,       2.652,
2012-02-15,       2.870,
2012-03-15,       3.423,
2012-04-15,       3.843,
2012-05-15,       3.091,
2012-06-15,       3.293,
2012-07-15,       1.096,
2012-08-15,       2.761,
2012-09-15,       3.081,
2012-10-15,       4.136,
2012-11-15,       3.790,
2012-12-15,       2.327,
2013-01-15,       2.389,
2013-02-15,       3.021,
2013-03-15,       3.041,
2013-04-15,       3.574,
2013-05-15,       3.920,
2013-06-15,       3.099,
2013-07-15,       3.716,
2013-08-15,       3.206,
2013-09-15,       3.690,
2013-10-15,       2.970,
2013-11-15,       3.030,
2013-12-15,       2.718,
2014-01-15,       2.492,
2014-02-15,       2.337,
2014-03-15,       2.861,
2014-04-15,       2.993,
2014-05-15,       3.518,
2014-06-15,       3.382,
2014-07-15,       3.028,
2014-08-15,       1.629,
2014-09-15,       3.061,
2014-10-15,       3.821,
2014-11-15,       3.443,
2014-12-15,       2.684,
2015-01-15,       3.199,
2015-02-15,       2.195,
2015-03-15,       2.351,
2015-04-15,       2.727,
2015-05-15,       3.655,
2015-06-15,       3.999,
2015-07-15,       2.777,
2015-08-15,       2.336,
2015-09-15,       3.317,
2015-10-15,       2.829,
2015-11-15,       3.251,
2015-12-15,       2.057,
2016-01-15,       2.569,
2016-02-15,       2.614,
2016-03-15,       2.615,
2016-04-15,       3.423,
2016-05-15,       4.304,
2016-06-15,       3.901,
2016-07-15,       2.835,
2016-08-15,       3.582,
2016-09-15,       3.578,
2016-10-15,       2.754,
2016-11-15,       3.067,
2016-12-15,       3.121,
2017-01-15,       2.331,
2017-02-15,       2.978,
2017-03-15,       2.996,
2017-04-15,       3.520,
2017-05-15,       3.397,
2017-06-15,       3.636,
2017-07-15,       2.243,
2017-08-15,       2.196,
2017-09-15,       3.398,
2017-10-15,       2.882,
2017-11-15,       2.504,
2017-12-15,       2.084,
2018-01-15,       2.276,
2018-02-15,       1.871,
2018-03-15,       2.489,
2018-04-15,       2.521,
2018-05-15,       3.247,
2018-06-15,       3.390,
2018-07-15,       4.382,
2018-08-15,       3.695,
2018-09-15,       4.351,
2018-10-15,       3.735,
2018-11-15,       3.251,
2018-12-15,       3.032,
2019-01-15,       2.677,
2019-02-15,       2.851,
2019-03-15,       2.637,
2019-04-15,       3.479,
2019-05-15,       3.686,
2019-06-15,       3.685,
2019-07-15,       2.958,
2019-08-15,       2.538,
2019-09-15,       2.190,
2019-10-15,       2.876,
2019-11-15,       2.360,
2019-12-15,       2.429,
2020-01-15,       2.105,
2020-02-15,       2.724,
2020-03-15,       2.848,
2020-04-15,       3.751,
2020-05-15,       3.726,
2020-06-15,       3.258,
2020-07-15,       2.161,
2020-08-15,       2.277,
2020-09-15,       2.295,
2020-10-15,       2.465,
2020-11-15,       1.803,
2020-12-15,       2.217,
2021-01-15,       2.279,
2021-02-15,       2.257,
2021-03-15,       2.489,
2021-04-15,       2.357,
2021-05-15,       3.174,
2021-06-15,       6.192,
2021-07-15,       2.327,
2021-08-15,       2.412,
2021-09-15,       2.433,
2021-10-15,       1.705,
2021-11-15,       1.477,
2021-12-15,       2.313,
