DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      20.235,
1900-02-15,      19.445,
1900-03-15,      19.530,
1900-04-15,      19.055,
1900-05-15,      19.015,
1900-06-15,      19.845,
1900-07-15,      22.090,
1900-08-15,      23.850,
1900-09-15,      24.200,
1900-10-15,      23.470,
1900-11-15,      22.295,
1900-12-15,      20.155,
1901-01-15,      19.225,
1901-02-15,      19.310,
1901-03-15,      19.640,
1901-04-15,      19.550,
1901-05-15,      19.925,
1901-06-15,      20.560,
1901-07-15,      23.155,
1901-08-15,      24.440,
1901-09-15,      24.690,
1901-10-15,      23.560,
1901-11-15,      22.175,
1901-12-15,      20.875,
1902-01-15,      19.685,
1902-02-15,      19.275,
1902-03-15,      19.530,
1902-04-15,      19.265,
1902-05-15,      19.420,
1902-06-15,      20.125,
1902-07-15,      22.105,
1902-08-15,      24.320,
1902-09-15,      24.970,
1902-10-15,      23.920,
1902-11-15,      22.465,
1902-12-15,      20.800,
1903-01-15,      19.615,
1903-02-15,      19.265,
1903-03-15,      18.360,
1903-04-15,      19.770,
1903-05-15,      18.835,
1903-06-15,      20.280,
1903-07-15,      22.270,
1903-08-15,      24.080,
1903-09-15,      23.915,
1903-10-15,      23.210,
1903-11-15,      22.350,
1903-12-15,      20.485,
1904-01-15,      18.715,
1904-02-15,      18.640,
1904-03-15,      19.100,
1904-04-15,      18.765,
1904-05-15,      18.825,
1904-06-15,      20.460,
1904-07-15,      22.165,
1904-08-15,      25.090,
1904-09-15,      25.100,
1904-10-15,      24.310,
1904-11-15,      23.215,
1904-12-15,      21.145,
1905-01-15,      19.510,
1905-02-15,      18.455,
1905-03-15,      18.875,
1905-04-15,      19.115,
1905-05-15,      19.345,
1905-06-15,      20.385,
1905-07-15,      22.155,
1905-08-15,      25.140,
1905-09-15,      24.880,
1905-10-15,      24.130,
1905-11-15,      22.245,
1905-12-15,      20.180,
1906-01-15,      19.775,
1906-02-15,      18.500,
1906-03-15,      18.600,
1906-04-15,      19.225,
1906-05-15,      19.355,
1906-06-15,      21.485,
1906-07-15,      23.955,
1906-08-15,      25.805,
1906-09-15,      25.825,
1906-10-15,      24.330,
1906-11-15,      22.950,
1906-12-15,      21.515,
1907-01-15,      19.400,
1907-02-15,      18.225,
1907-03-15,      18.180,
1907-04-15,      18.570,
1907-05-15,      19.405,
1907-06-15,      20.215,
1907-07-15,      22.530,
1907-08-15,      24.260,
1907-09-15,      25.380,
1907-10-15,      24.210,
1907-11-15,      22.275,
1907-12-15,      20.485,
1908-01-15,      18.875,
1908-02-15,      18.340,
1908-03-15,      18.090,
1908-04-15,      18.255,
1908-05-15,      18.870,
1908-06-15,      20.185,
1908-07-15,      22.430,
1908-08-15,      24.105,
1908-09-15,      25.105,
1908-10-15,      24.040,
1908-11-15,      23.660,
1908-12-15,      22.000,
1909-01-15,      19.450,
1909-02-15,      18.745,
1909-03-15,      19.185,
1909-04-15,      19.405,
1909-05-15,      20.115,
1909-06-15,      20.495,
1909-07-15,      22.775,
1909-08-15,      25.450,
1909-09-15,      25.310,
1909-10-15,      24.520,
1909-11-15,      23.065,
1909-12-15,      21.700,
1910-01-15,      19.685,
1910-02-15,      18.405,
1910-03-15,      18.065,
1910-04-15,      18.895,
1910-05-15,      19.175,
1910-06-15,      19.700,
1910-07-15,      22.245,
1910-08-15,      24.570,
1910-09-15,      26.390,
1910-10-15,      24.980,
1910-11-15,      24.350,
1910-12-15,      21.145,
1911-01-15,      18.915,
1911-02-15,      18.195,
1911-03-15,      18.080,
1911-04-15,      19.445,
1911-05-15,      19.455,
1911-06-15,      19.685,
1911-07-15,      22.005,
1911-08-15,      24.210,
1911-09-15,      25.355,
1911-10-15,      24.420,
1911-11-15,      22.645,
1911-12-15,      20.965,
1912-01-15,      20.005,
1912-02-15,      19.790,
1912-03-15,      19.850,
1912-04-15,      19.560,
1912-05-15,      19.695,
1912-06-15,      20.520,
1912-07-15,      22.110,
1912-08-15,      23.610,
1912-09-15,      25.535,
1912-10-15,      23.810,
1912-11-15,      22.800,
1912-12-15,      19.785,
1913-01-15,      18.715,
1913-02-15,      18.740,
1913-03-15,      19.060,
1913-04-15,      19.090,
1913-05-15,      19.175,
1913-06-15,      20.150,
1913-07-15,      23.050,
1913-08-15,      23.695,
1913-09-15,      23.270,
1913-10-15,      23.180,
1913-11-15,      22.525,
1913-12-15,      20.525,
1914-01-15,      19.405,
1914-02-15,      18.430,
1914-03-15,      18.650,
1914-04-15,      18.740,
1914-05-15,      19.335,
1914-06-15,      20.240,
1914-07-15,      22.720,
1914-08-15,      25.330,
1914-09-15,      24.640,
1914-10-15,      24.260,
1914-11-15,      22.385,
1914-12-15,      21.105,
1915-01-15,      19.370,
1915-02-15,      18.440,
1915-03-15,      19.595,
1915-04-15,      19.385,
1915-05-15,      20.215,
1915-06-15,      21.060,
1915-07-15,      23.740,
1915-08-15,      25.950,
1915-09-15,      25.890,
1915-10-15,      24.170,
1915-11-15,      23.295,
1915-12-15,      21.505,
1916-01-15,      19.605,
1916-02-15,      18.425,
1916-03-15,      18.790,
1916-04-15,      18.860,
1916-05-15,      19.690,
1916-06-15,      20.415,
1916-07-15,      22.730,
1916-08-15,      25.240,
1916-09-15,      25.885,
1916-10-15,      24.620,
1916-11-15,      22.320,
1916-12-15,      20.315,
1917-01-15,      19.845,
1917-02-15,      18.440,
1917-03-15,      18.935,
1917-04-15,      19.535,
1917-05-15,      19.815,
1917-06-15,      20.930,
1917-07-15,      23.110,
1917-08-15,      24.605,
1917-09-15,      24.875,
1917-10-15,      23.850,
1917-11-15,      22.450,
1917-12-15,      21.645,
1918-01-15,      20.075,
1918-02-15,      19.215,
1918-03-15,      19.050,
1918-04-15,      19.455,
1918-05-15,      19.785,
1918-06-15,      20.755,
1918-07-15,      22.610,
1918-08-15,      24.245,
1918-09-15,      23.780,
1918-10-15,      23.050,
1918-11-15,      22.035,
1918-12-15,      20.515,
1919-01-15,      19.555,
1919-02-15,      19.315,
1919-03-15,      19.825,
1919-04-15,      19.525,
1919-05-15,      19.655,
1919-06-15,      20.600,
1919-07-15,      22.045,
1919-08-15,      24.750,
1919-09-15,      25.680,
1919-10-15,      24.840,
1919-11-15,      23.635,
1919-12-15,      20.940,
1920-01-15,      18.785,
1920-02-15,      18.390,
1920-03-15,      19.160,
1920-04-15,      19.385,
1920-05-15,      19.905,
1920-06-15,      20.265,
1920-07-15,      21.555,
1920-08-15,      24.265,
1920-09-15,      24.960,
1920-10-15,      24.605,
1920-11-15,      22.265,
1920-12-15,      20.580,
1921-01-15,      19.370,
1921-02-15,      18.640,
1921-03-15,      18.900,
1921-04-15,      19.090,
1921-05-15,      19.015,
1921-06-15,      19.900,
1921-07-15,      22.770,
1921-08-15,      24.250,
1921-09-15,      24.120,
1921-10-15,      24.425,
1921-11-15,      22.600,
1921-12-15,      20.445,
1922-01-15,      19.070,
1922-02-15,      18.945,
1922-03-15,      18.520,
1922-04-15,      18.440,
1922-05-15,      19.085,
1922-06-15,      20.135,
1922-07-15,      22.410,
1922-08-15,      24.280,
1922-09-15,      24.520,
1922-10-15,      24.510,
1922-11-15,      23.645,
1922-12-15,      21.755,
1923-01-15,      18.985,
1923-02-15,      18.150,
1923-03-15,      18.770,
1923-04-15,      18.575,
1923-05-15,      18.985,
1923-06-15,      19.550,
1923-07-15,      22.575,
1923-08-15,      25.060,
1923-09-15,      26.045,
1923-10-15,      24.310,
1923-11-15,      22.915,
1923-12-15,      21.380,
1924-01-15,      19.960,
1924-02-15,      18.920,
1924-03-15,      19.930,
1924-04-15,      19.325,
1924-05-15,      19.385,
1924-06-15,      20.655,
1924-07-15,      23.160,
1924-08-15,      24.260,
1924-09-15,      24.600,
1924-10-15,      23.770,
1924-11-15,      22.685,
1924-12-15,      20.695,
1925-01-15,      19.085,
1925-02-15,      18.290,
1925-03-15,      19.130,
1925-04-15,      18.755,
1925-05-15,      19.360,
1925-06-15,      19.880,
1925-07-15,      22.410,
1925-08-15,      24.760,
1925-09-15,      25.760,
1925-10-15,      25.030,
1925-11-15,      23.135,
1925-12-15,      22.375,
1926-01-15,      21.340,
1926-02-15,      20.125,
1926-03-15,      20.070,
1926-04-15,      19.815,
1926-05-15,      19.870,
1926-06-15,      21.335,
1926-07-15,      24.070,
1926-08-15,      24.905,
1926-09-15,      25.500,
1926-10-15,      25.110,
1926-11-15,      22.450,
1926-12-15,      20.795,
1927-01-15,      19.945,
1927-02-15,      18.760,
1927-03-15,      18.640,
1927-04-15,      19.340,
1927-05-15,      20.370,
1927-06-15,      21.200,
1927-07-15,      23.435,
1927-08-15,      25.770,
1927-09-15,      26.580,
1927-10-15,      26.220,
1927-11-15,      24.620,
1927-12-15,      22.230,
1928-01-15,      19.875,
1928-02-15,      18.345,
1928-03-15,      18.600,
1928-04-15,      19.485,
1928-05-15,      19.435,
1928-06-15,      20.800,
1928-07-15,      23.545,
1928-08-15,      25.865,
1928-09-15,      26.580,
1928-10-15,      24.550,
1928-11-15,      22.185,
1928-12-15,      20.305,
1929-01-15,      19.855,
1929-02-15,      19.560,
1929-03-15,      19.790,
1929-04-15,      19.765,
1929-05-15,      19.435,
1929-06-15,      20.740,
1929-07-15,      23.565,
