DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1960-01-15,       7.300,
1960-02-15,       5.750,
1960-03-15,       6.935,
1960-04-15,       7.465,
1960-05-15,       8.085,
1960-06-15,       7.960,
1960-07-15,       7.210,
1960-08-15,       6.880,
1960-09-15,       6.710,
1960-10-15,       6.585,
1960-11-15,       6.755,
1960-12-15,       8.105,
1961-01-15,       7.485,
1961-02-15,       5.940,
1961-03-15,       5.670,
1961-04-15,       8.020,
1961-05-15,       7.720,
1961-06-15,       8.470,
1961-07-15,       5.375,
1961-08-15,       5.605,
1961-09-15,       6.610,
1961-10-15,       7.520,
1961-11-15,       5.790,
1961-12-15,       4.495,
1962-01-15,       5.480,
1962-02-15,       6.500,
1962-03-15,       7.130,
1962-04-15,       8.000,
1962-05-15,       7.760,
1962-06-15,       9.115,
1962-07-15,       7.645,
1962-08-15,       6.080,
1962-09-15,       7.320,
1962-10-15,       6.000,
1962-11-15,       5.430,
1962-12-15,       4.705,
1963-01-15,       4.735,
1963-02-15,       8.580,
1963-03-15,       7.455,
1963-04-15,       7.905,
1963-05-15,       8.220,
1963-06-15,       8.480,
1963-07-15,       6.480,
1963-08-15,       6.810,
1963-09-15,       7.600,
1963-10-15,       5.770,
1963-11-15,       5.355,
1963-12-15,       5.570,
1964-01-15,       4.185,
1964-02-15,       5.260,
1964-03-15,       7.025,
1964-04-15,       8.165,
1964-05-15,       7.230,
1964-06-15,       8.210,
1964-07-15,       6.785,
1964-08-15,       6.910,
1964-09-15,       6.505,
1964-10-15,       6.625,
1964-11-15,       5.880,
1964-12-15,       6.310,
1965-01-15,       6.505,
1965-02-15,       5.750,
1965-03-15,       8.005,
1965-04-15,       8.710,
1965-05-15,       7.570,
1965-06-15,       7.530,
1965-07-15,       6.890,
1965-08-15,       7.050,
1965-09-15,       6.560,
1965-10-15,       5.430,
1965-11-15,       5.480,
1965-12-15,       6.700,
1966-01-15,       4.985,
1966-02-15,       6.380,
1966-03-15,       5.255,
1966-04-15,       7.680,
1966-05-15,       6.990,
1966-06-15,       8.535,
1966-07-15,       8.440,
1966-08-15,       6.565,
1966-09-15,       6.385,
1966-10-15,       5.010,
1966-11-15,       6.175,
1966-12-15,       5.895,
1967-01-15,       5.020,
1967-02-15,       7.565,
1967-03-15,       7.330,
1967-04-15,       6.770,
1967-05-15,       8.195,
1967-06-15,       8.760,
1967-07-15,       6.085,
1967-08-15,       7.105,
1967-09-15,       5.625,
1967-10-15,       5.625,
1967-11-15,       5.740,
1967-12-15,       5.530,
1968-01-15,       5.680,
1968-02-15,       6.355,
1968-03-15,       7.070,
1968-04-15,       7.055,
1968-05-15,       8.065,
1968-06-15,       7.580,
1968-07-15,       6.925,
1968-08-15,       7.530,
1968-09-15,       6.370,
1968-10-15,       4.990,
1968-11-15,       4.765,
1968-12-15,       5.675,
1969-01-15,       3.805,
1969-02-15,       5.865,
1969-03-15,       6.045,
