DATE-YMD,OTHR= SeaWinds scalar Windspeed (m/s),
1998-01-15,       5.037,
1998-02-15,       3.890,
1998-03-15,       5.005,
1998-04-15,       8.354,
1998-05-15,       7.166,
1998-06-15,       6.939,
1998-07-15,       5.606,
1998-08-15,       6.125,
1998-09-15,       6.280,
1998-10-15,       5.917,
1998-11-15,       4.535,
1998-12-15,       6.459,
1999-01-15,       6.199,
1999-02-15,       7.737,
1999-03-15,       7.361,
1999-04-15,       7.337,
1999-05-15,       7.568,
1999-06-15,       7.904,
1999-07-15,       6.672,
1999-08-15,       6.304,
1999-09-15,       6.887,
1999-10-15,       7.258,
1999-11-15,       5.992,
1999-12-15,       6.671,
2000-01-15,       6.621,
2000-02-15,       5.245,
2000-03-15,       5.618,
2000-04-15,       7.542,
2000-05-15,       7.567,
2000-06-15,       7.641,
2000-07-15,       7.654,
2000-08-15,       7.249,
2000-09-15,       7.465,
2000-10-15,       7.584,
2000-11-15,       6.635,
2000-12-15,       6.159,
2001-01-15,       6.903,
2001-02-15,       5.674,
2001-03-15,       7.207,
2001-04-15,       7.587,
2001-05-15,       8.258,
2001-06-15,       8.120,
2001-07-15,       7.157,
2001-08-15,       6.903,
2001-09-15,       7.062,
2001-10-15,       6.569,
2001-11-15,       6.678,
2001-12-15,       4.572,
2002-01-15,       6.611,
2002-02-15,       5.862,
2002-03-15,       6.484,
2002-04-15,       6.797,
2002-05-15,       8.111,
2002-06-15,       8.091,
2002-07-15,       7.652,
2002-08-15,       7.488,
2002-09-15,       6.706,
2002-10-15,       6.481,
2002-11-15,       6.747,
2002-12-15,       4.777,
2003-01-15,       7.268,
2003-02-15,       7.371,
2003-03-15,       6.183,
2003-04-15,       7.320,
2003-05-15,       7.273,
2003-06-15,       7.680,
2003-07-15,       7.232,
2003-08-15,       6.248,
2003-09-15,       6.466,
2003-10-15,       6.829,
2003-11-15,       6.384,
2003-12-15,       4.795,
2004-01-15,       6.980,
2004-02-15,       5.131,
2004-03-15,       6.562,
2004-04-15,       7.397,
2004-05-15,       7.680,
2004-06-15,       7.729,
2004-07-15,       6.603,
2004-08-15,       6.680,
2004-09-15,       7.413,
2004-10-15,       6.602,
2004-11-15,       4.603,
2004-12-15,       7.019,
2005-01-15,       6.101,
2005-02-15,       6.168,
2005-03-15,       6.290,
2005-04-15,       8.023,
2005-05-15,       8.149,
2005-06-15,       6.654,
2005-07-15,       7.918,
2005-08-15,       7.421,
2005-09-15,       7.065,
2005-10-15,       6.514,
2005-11-15,       6.497,
2005-12-15,       5.652,
2006-01-15,       7.218,
2006-02-15,       6.749,
2006-03-15,       6.526,
2006-04-15,       8.004,
2006-05-15,       7.588,
2006-06-15,       8.374,
2006-07-15,       7.341,
2006-08-15,       6.843,
2006-09-15,       6.457,
2006-10-15,       6.841,
2006-11-15,       5.247,
2006-12-15,       6.620,
2007-01-15,       5.434,
2007-02-15,       7.172,
2007-03-15,       7.692,
2007-04-15,       8.072,
2007-05-15,       7.386,
2007-06-15,       8.019,
2007-07-15,       6.044,
2007-08-15,       7.416,
2007-09-15,       6.593,
2007-10-15,       7.534,
2007-11-15,       6.017,
2007-12-15,       5.869,
2008-01-15,       5.424,
2008-02-15,       5.965,
2008-03-15,       6.477,
2008-04-15,       7.357,
2008-05-15,       7.739,
2008-06-15,       7.941,
2008-07-15,       7.638,
2008-08-15,       6.440,
2008-09-15,       7.001,
2008-10-15,       7.571,
2008-11-15,       6.186,
2008-12-15,       6.695,
2009-01-15,       7.470,
2009-02-15,       6.982,
2009-03-15,       6.235,
2009-04-15,       8.423,
2009-05-15,       8.583,
2009-06-15,       7.003,
2009-07-15,       6.801,
2009-08-15,       7.090,
2009-09-15,       6.753,
2009-10-15,       7.127,
2009-11-15,       6.057,
2009-12-15,       4.587,
2010-01-15,       5.062,
2010-02-15,       4.643,
2010-03-15,       6.979,
2010-04-15,       6.335,
2010-05-15,       7.821,
2010-06-15,       7.795,
2010-07-15,       7.210,
2010-08-15,       6.468,
2010-09-15,       6.423,
2010-10-15,       6.404,
2010-11-15,       4.567,
2010-12-15,       5.747,
2011-01-15,       5.058,
2011-02-15,       7.067,
2011-03-15,       8.039,
2011-04-15,       6.712,
2011-05-15,       7.471,
2011-06-15,       7.267,
2011-07-15,       8.036,
2011-08-15,       7.090,
2011-09-15,       7.804,
2011-10-15,       5.628,
2011-11-15,       7.381,
2011-12-15,       5.788,
2012-01-15,       5.787,
2012-02-15,       7.849,
2012-03-15,       5.598,
2012-04-15,       7.966,
2012-05-15,       7.497,
2012-06-15,       7.304,
2012-07-15,       6.287,
2012-08-15,       5.805,
2012-09-15,       6.514,
2012-10-15,       6.655,
2012-11-15,       6.425,
2012-12-15,       5.635,
2013-01-15,       6.041,
2013-02-15,       6.331,
2013-03-15,       6.223,
2013-04-15,       6.885,
2013-05-15,       7.919,
2013-06-15,       8.370,
2013-07-15,       7.406,
2013-08-15,       6.167,
2013-09-15,       7.361,
2013-10-15,       7.492,
2013-11-15,       6.361,
2013-12-15,       6.035,
2014-01-15,       6.735,
2014-02-15,       7.789,
2014-03-15,       7.132,
2014-04-15,       6.638,
2014-05-15,       7.584,
2014-06-15,       8.303,
2014-07-15,       7.722,
2014-08-15,       6.518,
2014-09-15,       7.335,
2014-10-15,       6.286,
2014-11-15,       6.261,
2014-12-15,       6.124,
2015-01-15,       7.077,
2015-02-15,       7.669,
2015-03-15,       6.761,
2015-04-15,       8.281,
2015-05-15,       7.188,
2015-06-15,       8.342,
2015-07-15,       6.564,
2015-08-15,       6.510,
2015-09-15,       6.659,
2015-10-15,       5.522,
2015-11-15,       6.475,
2015-12-15,       4.358,
2016-01-15,       5.427,
2016-02-15,       7.763,
2016-03-15,       7.370,
2016-04-15,       7.967,
2016-05-15,       7.378,
2016-06-15,       7.052,
2016-07-15,       5.897,
2016-08-15,       5.736,
2016-09-15,       6.570,
2016-10-15,       6.313,
2016-11-15,       5.787,
2016-12-15,       6.352,
2017-01-15,       5.545,
2017-02-15,       7.648,
2017-03-15,       6.997,
2017-04-15,       5.218,
2017-05-15,       7.561,
2017-06-15,       7.395,
2017-07-15,       7.482,
2017-08-15,       5.532,
2017-09-15,       6.900,
2017-10-15,       6.044,
2017-11-15,       5.514,
2017-12-15,       7.841,
2018-01-15,       7.721,
2018-02-15,       7.645,
2018-03-15,       7.764,
2018-04-15,       9.002,
2018-05-15,       8.756,
2018-06-15,       8.048,
2018-07-15,       7.085,
2018-08-15,       6.840,
2018-09-15,       6.279,
