DATE-YMD,OTHR= SeaWinds Windspeed u-EW-component (m/s),
1998-01-15,      -2.538,
1998-02-15,      -1.267,
1998-03-15,      -1.336,
1998-04-15,      -1.094,
1998-05-15,      -0.324,
1998-06-15,       0.626,
1998-07-15,       1.677,
1998-08-15,       1.277,
1998-09-15,      -0.108,
1998-10-15,      -1.881,
1998-11-15,      -2.646,
1998-12-15,      -4.021,
1999-01-15,      -3.371,
1999-02-15,      -4.704,
1999-03-15,      -1.450,
1999-04-15,      -0.571,
1999-05-15,       0.146,
1999-06-15,      -0.522,
1999-07-15,       1.048,
1999-08-15,       1.253,
1999-09-15,      -0.529,
1999-10-15,      -1.809,
1999-11-15,      -2.402,
1999-12-15,      -4.710,
2000-01-15,      -4.161,
2000-02-15,      -2.722,
2000-03-15,      -0.981,
2000-04-15,      -1.017,
2000-05-15,       0.326,
2000-06-15,       0.998,
2000-07-15,       1.663,
2000-08-15,       0.915,
2000-09-15,      -0.118,
2000-10-15,      -2.423,
2000-11-15,      -3.033,
2000-12-15,      -3.649,
2001-01-15,      -4.057,
2001-02-15,      -2.987,
2001-03-15,      -0.837,
2001-04-15,      -0.180,
2001-05-15,      -0.173,
2001-06-15,       0.043,
2001-07-15,       0.861,
2001-08-15,       1.151,
2001-09-15,      -1.071,
2001-10-15,      -1.411,
2001-11-15,      -2.748,
2001-12-15,      -2.150,
2002-01-15,      -3.676,
2002-02-15,      -3.055,
2002-03-15,      -1.276,
2002-04-15,      -0.415,
2002-05-15,      -0.537,
2002-06-15,      -0.189,
2002-07-15,       0.619,
2002-08-15,       0.563,
2002-09-15,      -0.191,
2002-10-15,      -1.345,
2002-11-15,      -3.399,
2002-12-15,      -2.728,
2003-01-15,      -4.380,
2003-02-15,      -1.838,
2003-03-15,      -1.051,
2003-04-15,      -0.311,
2003-05-15,      -0.165,
2003-06-15,       0.746,
2003-07-15,       1.924,
2003-08-15,       1.650,
2003-09-15,      -0.145,
2003-10-15,      -1.034,
2003-11-15,      -2.432,
2003-12-15,      -3.234,
2004-01-15,      -4.018,
2004-02-15,      -0.750,
2004-03-15,      -1.980,
2004-04-15,      -0.016,
2004-05-15,      -0.450,
2004-06-15,       0.466,
2004-07-15,       1.300,
2004-08-15,       0.984,
2004-09-15,      -0.696,
2004-10-15,      -0.894,
2004-11-15,      -1.934,
2004-12-15,      -3.788,
2005-01-15,      -3.941,
2005-02-15,      -1.793,
2005-03-15,      -0.733,
2005-04-15,      -0.430,
2005-05-15,      -0.590,
2005-06-15,       0.941,
2005-07-15,       0.872,
2005-08-15,       1.006,
2005-09-15,      -0.632,
2005-10-15,      -1.163,
2005-11-15,      -2.261,
2005-12-15,      -2.829,
2006-01-15,      -4.664,
2006-02-15,      -2.672,
2006-03-15,      -1.465,
2006-04-15,       0.208,
2006-05-15,      -0.038,
2006-06-15,      -0.067,
2006-07-15,       1.347,
2006-08-15,       0.717,
2006-09-15,      -0.299,
2006-10-15,      -0.968,
2006-11-15,      -2.672,
2006-12-15,      -5.035,
2007-01-15,      -3.268,
2007-02-15,      -3.428,
2007-03-15,      -2.564,
2007-04-15,      -0.673,
2007-05-15,      -0.747,
2007-06-15,       0.043,
2007-07-15,       1.911,
2007-08-15,       1.393,
2007-09-15,      -0.422,
2007-10-15,      -0.919,
2007-11-15,      -1.996,
2007-12-15,      -3.616,
2008-01-15,      -4.602,
2008-02-15,      -1.104,
2008-03-15,      -0.505,
2008-04-15,      -0.252,
2008-05-15,       0.829,
2008-06-15,      -0.090,
2008-07-15,       1.245,
2008-08-15,       2.157,
2008-09-15,       0.096,
2008-10-15,      -2.223,
2008-11-15,      -2.982,
2008-12-15,      -4.000,
2009-01-15,      -3.923,
2009-02-15,      -0.727,
2009-03-15,       0.033,
2009-04-15,      -1.449,
2009-05-15,      -0.294,
2009-06-15,       0.282,
2009-07-15,       1.606,
2009-08-15,       1.878,
2009-09-15,      -0.985,
2009-10-15,      -1.268,
2009-11-15,      -2.759,
2009-12-15,      -1.629,
2010-01-15,      -2.906,
2010-02-15,       0.138,
2010-03-15,      -1.238,
2010-04-15,       0.698,
2010-05-15,      -0.134,
2010-06-15,       0.479,
2010-07-15,       1.794,
2010-08-15,       1.736,
2010-09-15,      -0.213,
2010-10-15,      -1.662,
2010-11-15,      -2.015,
2010-12-15,      -1.191,
2011-01-15,      -2.578,
2011-02-15,      -4.487,
2011-03-15,      -1.027,
2011-04-15,       0.090,
2011-05-15,       0.826,
2011-06-15,       1.108,
2011-07-15,       1.362,
2011-08-15,       0.937,
2011-09-15,      -0.369,
2011-10-15,      -0.336,
2011-11-15,      -1.849,
2011-12-15,      -4.354,
2012-01-15,      -3.855,
2012-02-15,      -2.888,
2012-03-15,      -0.937,
2012-04-15,      -0.337,
2012-05-15,      -0.011,
2012-06-15,       0.508,
2012-07-15,       1.852,
2012-08-15,       2.654,
2012-09-15,       0.149,
2012-10-15,      -0.424,
2012-11-15,      -0.795,
2012-12-15,      -3.748,
2013-01-15,      -3.564,
2013-02-15,      -1.904,
2013-03-15,      -0.178,
2013-04-15,       0.129,
2013-05-15,      -0.529,
2013-06-15,       0.552,
