DATE-YMD,OTHR= SeaWinds Windspeed v-NS-component (m/s),
1998-01-15,      -3.137,
1998-02-15,      -3.030,
1998-03-15,      -4.225,
1998-04-15,      -8.033,
1998-05-15,      -6.960,
1998-06-15,      -6.719,
1998-07-15,      -4.789,
1998-08-15,      -5.332,
1998-09-15,      -5.413,
1998-10-15,      -5.079,
1998-11-15,      -3.092,
1998-12-15,      -4.702,
1999-01-15,      -3.925,
1999-02-15,      -5.559,
1999-03-15,      -6.728,
1999-04-15,      -6.978,
1999-05-15,      -7.305,
1999-06-15,      -7.552,
1999-07-15,      -6.056,
1999-08-15,      -5.521,
1999-09-15,      -6.369,
1999-10-15,      -6.695,
1999-11-15,      -4.944,
1999-12-15,      -4.189,
2000-01-15,      -4.602,
2000-02-15,      -3.248,
2000-03-15,      -4.923,
2000-04-15,      -7.240,
2000-05-15,      -7.360,
2000-06-15,      -7.155,
2000-07-15,      -7.072,
2000-08-15,      -6.394,
2000-09-15,      -6.850,
2000-10-15,      -6.745,
2000-11-15,      -5.399,
2000-12-15,      -4.390,
2001-01-15,      -5.264,
2001-02-15,      -4.102,
2001-03-15,      -6.589,
2001-04-15,      -7.115,
2001-05-15,      -8.064,
2001-06-15,      -7.861,
2001-07-15,      -6.628,
2001-08-15,      -6.262,
2001-09-15,      -6.610,
2001-10-15,      -5.971,
2001-11-15,      -5.618,
2001-12-15,      -3.053,
2002-01-15,      -2.217,
2002-02-15,      -4.107,
2002-03-15,      -5.686,
2002-04-15,      -6.347,
2002-05-15,      -7.872,
2002-06-15,      -7.819,
2002-07-15,      -7.317,
2002-08-15,      -7.133,
2002-09-15,      -6.187,
2002-10-15,      -5.753,
2002-11-15,      -5.284,
2002-12-15,      -3.141,
2003-01-15,      -5.392,
2003-02-15,      -6.641,
2003-03-15,      -5.492,
2003-04-15,      -7.029,
2003-05-15,      -6.913,
2003-06-15,      -7.332,
2003-07-15,      -6.449,
2003-08-15,      -5.170,
2003-09-15,      -5.857,
2003-10-15,      -6.278,
2003-11-15,      -5.513,
2003-12-15,      -3.076,
2004-01-15,      -5.254,
2004-02-15,      -3.373,
2004-03-15,      -5.069,
2004-04-15,      -7.119,
2004-05-15,      -7.453,
2004-06-15,      -7.422,
2004-07-15,      -5.983,
2004-08-15,      -6.109,
2004-09-15,      -6.891,
2004-10-15,      -6.270,
2004-11-15,      -3.309,
2004-12-15,      -4.830,
2005-01-15,      -3.716,
2005-02-15,      -4.895,
2005-03-15,      -5.473,
2005-04-15,      -7.671,
2005-05-15,      -7.889,
2005-06-15,      -6.324,
2005-07-15,      -7.142,
2005-08-15,      -6.551,
2005-09-15,      -5.847,
2005-10-15,      -6.043,
2005-11-15,      -5.584,
2005-12-15,      -4.040,
2006-01-15,      -4.434,
