DATE-YMD,OTHR= OSCAR surface currents u-EW-component (m/s),
2014-04-15,      -0.019,
2014-05-15,      -0.043,
2014-06-15,      -0.082,
2014-07-15,       0.010,
2014-08-15,      -0.036,
2014-09-15,      -0.007,
2014-10-15,       0.028,
2014-11-15,      -0.026,
2014-12-15,      -0.027,
2015-01-15,       0.044,
2015-02-15,      -0.097,
2015-03-15,      -0.055,
2015-04-15,      -0.016,
2015-05-15,      -0.068,
2015-06-15,      -0.067,
2015-07-15,      -0.023,
2015-08-15,      -0.095,
2015-09-15,      -0.030,
2015-10-15,       0.023,
2015-11-15,      -0.036,
2015-12-15,      -0.023,
2016-01-15,      -0.024,
2016-02-15,      -0.098,
2016-03-15,      -0.058,
2016-04-15,      -0.065,
2016-05-15,      -0.061,
2016-06-15,      -0.033,
2016-07-15,       0.073,
2016-08-15,      -0.021,
2016-09-15,      -0.050,
2016-10-15,       0.029,
2016-11-15,      -0.016,
2016-12-15,      -0.006,
2017-01-15,      -0.067,
2017-02-15,      -0.010,
2017-03-15,      -0.063,
2017-04-15,      -0.006,
2017-05-15,      -0.063,
2017-06-15,      -0.033,
2017-07-15,      -0.016,
2017-08-15,      -0.069,
2017-09-15,      -0.022,
2017-10-15,      -0.018,
2017-11-15,      -0.061,
2017-12-15,      -0.078,
2018-01-15,      -0.048,
2018-02-15,       0.052,
2018-03-15,      -0.057,
2018-04-15,      -0.070,
2018-05-15,      -0.106,
2018-06-15,      -0.015,
2018-07-15,      -0.042,
2018-08-15,      -0.062,
2018-09-15,      -0.041,
2018-10-15,      -0.068,
2018-11-15,      -0.090,
2018-12-15,      -0.028,
2019-01-15,      -0.020,
2019-02-15,      -0.048,
2019-03-15,      -0.006,
2019-04-15,      -0.028,
2019-05-15,      -0.054,
2019-06-15,      -0.026,
2019-07-15,       0.000,
2019-08-15,       0.024,
2019-09-15,       0.010,
2019-10-15,      -0.014,
2019-11-15,       0.035,
