DATE-YMD,CHLA= NASA-combo satellite Chlorophyll (mg/m3),
1998-01-15,       5.155,
1998-02-15,       5.323,
1998-03-15,       4.506,
1998-04-15,       4.669,
1998-05-15,       4.883,
1998-06-15,       6.412,
1998-09-15,       5.019,
1998-10-15,       8.138,
1998-11-15,       5.859,
1998-12-15,       4.043,
1999-01-15,       3.166,
1999-02-15,       3.850,
1999-03-15,       3.161,
1999-04-15,       4.431,
1999-05-15,       4.680,
1999-08-15,       8.357,
1999-09-15,       8.247,
1999-10-15,       4.605,
1999-11-15,       6.875,
1999-12-15,       4.664,
2000-01-15,       4.776,
2000-02-15,       5.045,
2000-03-15,       5.706,
2000-04-15,       5.384,
2000-05-15,       5.753,
2000-08-15,       5.491,
2000-09-15,       4.871,
2000-10-15,       3.976,
2000-11-15,       4.334,
2000-12-15,       4.701,
2001-01-15,       3.777,
2001-02-15,       4.131,
2001-03-15,       3.677,
2001-04-15,       5.273,
2001-05-15,       7.388,
2001-08-15,       4.964,
2001-09-15,       4.110,
2001-10-15,       7.358,
2001-11-15,       5.954,
2001-12-15,       4.604,
2002-01-15,       4.634,
2002-02-15,       5.917,
2002-03-15,       4.979,
2002-04-15,       6.178,
2002-05-15,       7.545,
2002-06-15,      11.257,
2002-07-15,       9.749,
2002-09-15,       4.105,
2002-10-15,       8.128,
2002-11-15,       6.326,
2002-12-15,       7.261,
2003-01-15,       6.327,
2003-02-15,       5.239,
2003-03-15,       6.630,
2003-04-15,       6.117,
2003-05-15,       8.781,
2003-06-15,      11.628,
2003-08-15,      14.310,
2003-09-15,      14.706,
2003-10-15,       7.400,
2003-11-15,       6.219,
2003-12-15,       6.608,
2004-01-15,       5.894,
2004-02-15,       6.091,
2004-03-15,       6.491,
2004-04-15,       7.266,
2004-05-15,      10.000,
2004-06-15,      15.845,
2004-07-15,      10.418,
2004-08-15,       8.342,
2004-09-15,      12.653,
2004-10-15,      11.953,
2004-11-15,       7.353,
2004-12-15,       6.970,
2005-01-15,       7.432,
2005-02-15,       5.639,
2005-03-15,       6.563,
2005-04-15,       7.040,
2005-05-15,       7.329,
2005-06-15,       7.377,
2005-07-15,      11.844,
2005-08-15,       6.616,
2005-09-15,      11.159,
2005-10-15,      14.338,
2005-11-15,       9.742,
2005-12-15,      10.839,
2006-01-15,       5.868,
2006-02-15,       4.600,
2006-03-15,       5.414,
2006-04-15,       6.146,
2006-05-15,       5.266,
2006-06-15,       5.432,
2006-08-15,       7.064,
2006-09-15,       6.306,
2006-10-15,      10.435,
2006-11-15,       8.753,
2006-12-15,       7.707,
2007-01-15,       6.126,
2007-02-15,       5.654,
2007-03-15,       5.271,
2007-04-15,       5.728,
2007-05-15,       6.597,
2007-06-15,       9.639,
2007-07-15,      11.006,
2007-08-15,      11.360,
2007-09-15,      12.431,
2007-10-15,       7.542,
2007-11-15,       7.537,
2007-12-15,       4.910,
2008-01-15,       5.105,
2008-02-15,       5.041,
2008-03-15,      21.079,
2008-04-15,       4.182,
2008-05-15,       5.463,
2008-06-15,       7.335,
2008-07-15,       5.326,
2008-08-15,       5.279,
2008-09-15,       9.826,
2008-10-15,       9.655,
2008-11-15,       7.513,
2008-12-15,       8.900,
2009-01-15,       6.597,
2009-02-15,       5.068,
2009-03-15,       6.259,
2009-04-15,       8.278,
2009-05-15,      10.563,
2009-06-15,       9.345,
2009-07-15,      14.123,
2009-09-15,       9.000,
2009-10-15,      10.252,
2009-11-15,      11.602,
2009-12-15,       6.889,
2010-01-15,       7.337,
2010-02-15,       6.628,
2010-03-15,       7.359,
2010-04-15,       9.802,
2010-05-15,       8.687,
2010-06-15,       8.887,
2010-08-15,      13.366,
2010-09-15,      14.822,
2010-10-15,      15.928,
2010-11-15,      11.041,
2010-12-15,       9.681,
2011-01-15,       9.174,
2011-02-15,      12.518,
2011-03-15,       9.807,
2011-04-15,      12.099,
2011-05-15,      11.313,
2011-06-15,      11.541,
2011-07-15,      22.702,
2011-08-15,      12.032,
2011-09-15,      12.078,
2011-10-15,       8.194,
2011-11-15,       6.082,
2011-12-15,       6.913,
2012-01-15,      12.670,
2012-02-15,       7.971,
2012-03-15,       8.176,
2012-04-15,       6.567,
2012-05-15,       6.707,
2012-06-15,       8.649,
2012-08-15,      18.610,
2012-09-15,      10.251,
2012-10-15,      10.206,
2012-11-15,       7.257,
2012-12-15,       6.998,
2013-01-15,       5.934,
2013-02-15,       7.113,
2013-03-15,       5.018,
2013-04-15,       5.587,
2013-05-15,       6.712,
2013-06-15,       8.968,
2013-07-15,      17.778,
2013-08-15,      19.030,
2013-09-15,      11.868,
2013-10-15,       8.568,
2013-11-15,       8.912,
2013-12-15,      18.756,
2014-01-15,       8.895,
2014-02-15,       4.949,
2014-03-15,       4.797,
2014-04-15,       6.127,
2014-05-15,       7.122,
2014-06-15,      12.565,
2014-07-15,       5.793,
2014-08-15,       6.514,
2014-09-15,      10.985,
2014-10-15,      11.600,
2014-11-15,      10.305,
2014-12-15,      10.448,
2015-01-15,      16.898,
2015-02-15,       6.265,
2015-03-15,       7.386,
2015-04-15,       7.808,
2015-05-15,       6.044,
2015-06-15,       9.495,
2015-07-15,       6.804,
2015-08-15,       9.991,
2015-09-15,      13.306,
2015-10-15,      15.911,
2015-11-15,      14.403,
2015-12-15,      11.095,
2016-01-15,       7.798,
2016-02-15,       7.265,
2016-03-15,       6.229,
2016-04-15,       6.739,
2016-05-15,      10.208,
2016-06-15,       9.695,
2016-07-15,       7.944,
2016-08-15,      12.879,
2016-09-15,      17.145,
2016-10-15,      11.407,
2016-11-15,      12.239,
2016-12-15,      10.434,
2017-01-15,      10.024,
2017-02-15,       9.409,
2017-03-15,       6.558,
2017-04-15,       5.533,
2017-05-15,       8.795,
2017-06-15,       7.945,
2017-07-15,       9.730,
2017-09-15,       7.827,
2017-10-15,      30.879,
2017-11-15,      17.017,
2017-12-15,      10.986,
2018-01-15,       8.576,
2018-02-15,       5.570,
2018-03-15,       5.377,
2018-04-15,       7.945,
2018-05-15,       7.150,
2018-06-15,       9.304,
2018-08-15,      13.436,
2018-09-15,       8.833,
2018-10-15,      20.622,
2018-11-15,      10.589,
2018-12-15,      16.126,
2019-01-15,      12.562,
2019-02-15,      10.358,
2019-03-15,       6.932,
2019-04-15,       7.168,
2019-05-15,      10.951,
2019-06-15,       6.578,
2019-07-15,       8.197,
2019-09-15,       8.122,
2019-10-15,      26.503,
2019-11-15,       7.938,
2019-12-15,       8.957,
2020-01-15,       9.529,
2020-02-15,      10.829,
2020-03-15,      12.139,
2020-04-15,       9.322,
2020-05-15,       9.279,
2020-07-15,      13.320,
2020-09-15,       8.390,
2020-10-15,      15.891,
2020-11-15,      14.316,
2020-12-15,      14.486,
2021-01-15,       7.978,
2021-02-15,      11.956,
2021-03-15,      13.506,
2021-04-15,      11.186,
2021-05-15,      10.272,
2021-08-15,       7.569,
2021-09-15,      12.065,
2021-10-15,      18.297,
2021-11-15,      22.888,
2021-12-15,      13.826,
