DATE-YMD,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3),
1998-01-15,       7.000,
1998-02-15,       5.242,
1998-03-15,       5.097,
1998-04-15,       6.157,
1998-05-15,       4.777,
1998-06-15,       6.116,
1998-09-15,       8.930,
1998-10-15,       5.388,
1998-11-15,       5.554,
1998-12-15,       3.872,
1999-01-15,       4.294,
1999-02-15,       4.332,
1999-03-15,       3.070,
1999-04-15,       4.387,
1999-05-15,       4.873,
1999-08-15,       8.717,
1999-09-15,      10.558,
1999-10-15,       5.918,
1999-11-15,       5.642,
1999-12-15,       4.883,
2000-01-15,       4.853,
2000-02-15,       3.742,
2000-03-15,       6.015,
2000-04-15,       5.231,
2000-05-15,       9.519,
2000-06-15,       8.488,
2000-08-15,       6.674,
2000-09-15,       4.285,
2000-10-15,       6.458,
2000-11-15,       4.743,
2000-12-15,       5.340,
2001-01-15,       4.069,
2001-02-15,       4.367,
2001-03-15,       4.177,
2001-04-15,       5.099,
2001-05-15,       6.396,
2001-08-15,       4.935,
2001-09-15,       6.725,
2001-10-15,       6.495,
2001-11-15,       5.614,
2001-12-15,       4.002,
2002-01-15,       4.415,
2002-02-15,       5.378,
2002-03-15,       4.846,
2002-04-15,       5.834,
2002-05-15,       6.805,
2002-06-15,       7.841,
2002-07-15,       7.391,
2002-08-15,       6.615,
2002-09-15,       5.734,
2002-10-15,       5.387,
2002-11-15,       5.192,
2002-12-15,       4.673,
2003-01-15,       4.502,
2003-02-15,       4.126,
2003-03-15,       4.715,
2003-04-15,       5.176,
2003-05-15,       5.061,
2003-06-15,       6.457,
2003-07-15,       7.526,
2003-08-15,       7.991,
2003-09-15,       8.597,
2003-10-15,       5.009,
2003-11-15,       4.491,
2003-12-15,       4.539,
2004-01-15,       4.115,
2004-02-15,       4.425,
2004-03-15,       4.223,
2004-04-15,       4.826,
2004-05-15,       5.868,
2004-06-15,       6.435,
2004-07-15,       8.123,
2004-08-15,       9.154,
2004-09-15,       7.208,
2004-10-15,       7.608,
2004-11-15,       5.465,
2004-12-15,       4.861,
2005-01-15,       4.629,
2005-02-15,       4.278,
2005-03-15,       5.382,
2005-04-15,       5.613,
2005-05-15,       5.770,
2005-06-15,       6.495,
2005-07-15,       7.903,
2005-08-15,      10.084,
2005-09-15,      14.635,
2005-10-15,       7.238,
2005-11-15,       6.487,
2005-12-15,       6.104,
2006-01-15,       4.505,
2006-02-15,       4.060,
2006-03-15,       4.711,
2006-04-15,       4.090,
2006-05-15,       4.215,
2006-06-15,       5.702,
2006-07-15,       8.458,
2006-08-15,       6.616,
2006-09-15,       7.855,
2006-10-15,       6.339,
2006-11-15,       5.876,
2006-12-15,       5.050,
2007-01-15,       3.997,
2007-02-15,       4.147,
2007-03-15,       4.137,
2007-04-15,       4.612,
2007-05-15,       6.713,
2007-06-15,       7.572,
2007-07-15,      14.194,
2007-08-15,       9.709,
2007-09-15,       7.571,
2007-10-15,       4.817,
2007-11-15,       4.964,
2007-12-15,       3.958,
2008-01-15,       3.342,
2008-02-15,       3.684,
2008-03-15,       4.755,
2008-04-15,       4.843,
2008-05-15,       4.344,
2008-06-15,       5.395,
2008-07-15,       8.246,
2008-08-15,       8.019,
2008-09-15,       7.470,
2008-10-15,       6.183,
2008-11-15,       4.824,
2008-12-15,       4.510,
2009-01-15,       4.231,
2009-02-15,       4.083,
2009-03-15,       4.551,
2009-04-15,       5.664,
2009-05-15,       6.406,
2009-06-15,       8.243,
2009-07-15,      11.833,
2009-08-15,       7.944,
2009-09-15,       7.419,
2009-10-15,       6.086,
2009-11-15,       6.135,
2009-12-15,       5.308,
2010-01-15,       4.773,
2010-02-15,       5.406,
2010-03-15,       5.967,
2010-04-15,       6.842,
2010-05-15,       7.291,
2010-06-15,       8.923,
2010-07-15,      10.940,
2010-08-15,      13.219,
2010-09-15,      11.284,
2010-10-15,       8.375,
2010-11-15,       7.950,
2010-12-15,       9.108,
2011-01-15,       7.115,
2011-02-15,       7.781,
2011-03-15,       7.289,
2011-04-15,       8.500,
2011-05-15,      10.005,
2011-06-15,       9.463,
2011-07-15,       8.187,
2011-08-15,      10.506,
2011-09-15,       6.718,
2011-10-15,       6.858,
2011-11-15,       4.283,
2011-12-15,       4.126,
2012-01-15,       8.022,
2012-02-15,       6.716,
2012-03-15,       8.577,
2012-04-15,       4.384,
2012-05-15,       4.544,
2012-06-15,       5.750,
2012-07-15,       7.525,
2012-08-15,       5.756,
2012-09-15,       6.365,
2012-10-15,       6.150,
2012-11-15,       5.600,
2012-12-15,       5.164,
2013-01-15,       4.475,
2013-02-15,       4.948,
2013-03-15,       5.689,
2013-04-15,       5.924,
2013-05-15,       6.076,
2013-06-15,       5.080,
2013-07-15,       4.865,
2013-08-15,       6.674,
2013-09-15,       6.165,
2013-10-15,       5.527,
