DATE-YMD,OTHR= OSCAR surface currents v-NS-component (m/s),
2014-04-15,      -0.088,
2014-05-15,      -0.068,
2014-06-15,      -0.092,
2014-07-15,       0.068,
2014-08-15,      -0.084,
2014-09-15,       0.015,
2014-10-15,      -0.070,
2014-11-15,       0.060,
2014-12-15,      -0.015,
2015-01-15,       0.000,
2015-02-15,      -0.089,
2015-03-15,      -0.008,
2015-04-15,      -0.074,
2015-05-15,      -0.018,
2015-06-15,      -0.101,
2015-07-15,       0.095,
2015-08-15,      -0.157,
2015-09-15,       0.167,
2015-10-15,      -0.061,
2015-11-15,       0.160,
2015-12-15,       0.029,
2016-01-15,       0.024,
2016-02-15,      -0.000,
2016-03-15,       0.004,
2016-04-15,      -0.051,
2016-05-15,       0.015,
2016-06-15,      -0.003,
2016-07-15,       0.076,
2016-08-15,      -0.002,
2016-09-15,       0.036,
2016-10-15,      -0.019,
2016-11-15,       0.018,
2016-12-15,      -0.005,
2017-01-15,       0.021,
2017-02-15,      -0.035,
2017-03-15,       0.017,
2017-04-15,       0.024,
2017-05-15,      -0.001,
2017-06-15,      -0.001,
2017-07-15,       0.052,
2017-08-15,       0.016,
2017-09-15,       0.042,
2017-10-15,       0.092,
2017-11-15,       0.118,
2017-12-15,       0.062,
2018-01-15,       0.068,
2018-02-15,      -0.008,
2018-03-15,      -0.024,
2018-04-15,      -0.011,
2018-05-15,      -0.076,
2018-06-15,      -0.020,
2018-07-15,      -0.017,
2018-08-15,       0.029,
2018-09-15,      -0.046,
2018-10-15,       0.026,
2018-11-15,       0.021,
2018-12-15,       0.042,
2019-01-15,      -0.008,
2019-02-15,       0.119,
2019-03-15,       0.029,
2019-04-15,      -0.017,
2019-05-15,       0.002,
2019-06-15,      -0.027,
2019-07-15,       0.036,
2019-08-15,       0.075,
2019-09-15,       0.110,
2019-10-15,       0.039,
2019-11-15,       0.067,
