DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1950-01-15,      36.129,
1950-02-15,      36.114,
1950-03-15,      36.079,
1950-04-15,      36.096,
1950-05-15,      36.091,
1950-06-15,      36.103,
1950-07-15,      36.136,
1950-08-15,      36.135,
1950-09-15,      36.135,
1950-10-15,      36.143,
1950-11-15,      35.866,
1950-12-15,      35.889,
1951-01-15,      35.918,
1951-02-15,      35.931,
1951-03-15,      35.914,
1951-04-15,      35.911,
1951-05-15,      35.926,
1951-06-15,      35.952,
1951-07-15,      36.001,
1951-08-15,      36.022,
1951-09-15,      36.038,
1951-10-15,      36.050,
1951-11-15,      36.035,
1951-12-15,      36.041,
1952-01-15,      36.059,
1952-02-15,      36.137,
1952-03-15,      36.095,
1952-04-15,      36.077,
1952-05-15,      36.075,
1952-06-15,      36.086,
1952-07-15,      36.120,
1952-08-15,      36.142,
1952-09-15,      36.145,
1952-10-15,      36.143,
1952-11-15,      36.118,
1952-12-15,      36.116,
1953-01-15,      36.127,
1953-02-15,      36.111,
1953-03-15,      36.076,
1953-04-15,      36.061,
1953-05-15,      36.070,
1953-06-15,      36.083,
1953-07-15,      36.119,
1953-08-15,      36.131,
1953-09-15,      36.137,
1953-10-15,      36.138,
1953-11-15,      36.114,
1953-12-15,      36.112,
1954-01-15,      36.121,
1954-02-15,      36.110,
1954-03-15,      36.075,
1954-04-15,      36.059,
1954-05-15,      36.056,
1954-06-15,      36.072,
1954-07-15,      36.105,
1954-08-15,      36.113,
1954-09-15,      36.119,
1954-10-15,      36.123,
1954-11-15,      36.100,
1954-12-15,      36.100,
1955-01-15,      36.112,
1955-02-15,      36.099,
1955-03-15,      36.065,
1955-04-15,      36.049,
1955-05-15,      36.051,
1955-06-15,      36.067,
1955-07-15,      36.104,
1955-08-15,      36.134,
1955-09-15,      36.139,
1955-10-15,      36.140,
1955-11-15,      36.116,
1955-12-15,      36.115,
1956-01-15,      36.119,
1956-02-15,      36.101,
1956-03-15,      36.068,
1956-04-15,      36.053,
1956-05-15,      36.061,
1956-06-15,      36.075,
1956-07-15,      36.111,
1956-08-15,      36.118,
1956-09-15,      36.128,
1956-10-15,      36.131,
1956-11-15,      36.108,
1956-12-15,      36.106,
1957-01-15,      36.115,
1957-02-15,      36.023,
1957-03-15,      36.001,
1957-04-15,      35.992,
1957-05-15,      36.039,
1957-06-15,      36.055,
1957-07-15,      36.084,
1957-08-15,      36.016,
1957-09-15,      35.953,
1957-10-15,      36.064,
1957-11-15,      35.986,
1957-12-15,      35.952,
1958-01-15,      35.908,
1958-02-15,      35.910,
1958-03-15,      36.093,
1958-04-15,      36.032,
1958-05-15,      36.030,
1958-06-15,      35.978,
1958-07-15,      36.029,
1958-08-15,      36.051,
1958-09-15,      35.808,
1958-10-15,      35.664,
1958-11-15,      35.513,
1958-12-15,      35.886,
1959-01-15,      36.135,
1959-02-15,      36.120,
1959-03-15,      36.086,
1959-04-15,      36.065,
1959-05-15,      36.046,
1959-06-15,      36.042,
1959-07-15,      36.020,
1959-08-15,      36.100,
1959-09-15,      36.146,
1959-10-15,      36.044,
1959-11-15,      35.848,
1959-12-15,      35.959,
1960-01-15,      35.857,
1960-02-15,      35.871,
1960-03-15,      35.856,
1960-04-15,      35.827,
1960-05-15,      35.812,
1960-06-15,      35.858,
1960-07-15,      35.901,
1960-08-15,      35.940,
1960-09-15,      35.969,
1960-10-15,      36.013,
1960-11-15,      35.986,
1960-12-15,      35.988,
1961-01-15,      36.013,
1961-02-15,      36.135,
1961-03-15,      35.933,
1961-04-15,      35.925,
1961-05-15,      35.827,
