DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1960-01-15,       5.500,
1960-02-15,       5.270,
1960-03-15,       6.875,
1960-04-15,       7.695,
1960-05-15,       8.080,
1960-06-15,       8.090,
1960-07-15,       7.440,
1960-08-15,       5.430,
1960-09-15,       6.920,
1960-10-15,       6.330,
1960-11-15,       7.160,
1960-12-15,       6.605,
1961-01-15,       7.745,
1961-02-15,       6.000,
1961-03-15,       5.450,
1961-04-15,       8.275,
1961-05-15,       7.035,
1961-06-15,       8.360,
1961-07-15,       6.525,
1961-08-15,       5.710,
1961-09-15,       7.390,
1961-10-15,       7.275,
1961-11-15,       5.630,
1961-12-15,       4.220,
1962-01-15,       5.530,
1962-02-15,       8.060,
1962-03-15,       7.515,
1962-04-15,       8.100,
1962-05-15,       7.435,
1962-06-15,       9.430,
1962-07-15,       8.195,
1962-08-15,       6.530,
1962-09-15,       6.010,
1962-10-15,       5.845,
1962-11-15,       5.650,
1962-12-15,       5.375,
1963-01-15,       4.510,
1963-02-15,       9.380,
1963-03-15,       7.540,
1963-04-15,       8.035,
1963-05-15,       8.120,
1963-06-15,       6.745,
1963-07-15,       7.150,
1963-08-15,       7.545,
1963-09-15,       7.785,
1963-10-15,       4.420,
1963-11-15,       4.945,
1963-12-15,       5.800,
1964-01-15,       4.455,
1964-02-15,       5.180,
1964-03-15,       6.680,
1964-04-15,       6.555,
1964-05-15,       7.455,
1964-06-15,      13.430,
1964-07-15,       7.320,
1964-08-15,       7.235,
1964-09-15,       6.805,
1964-10-15,       6.165,
1964-11-15,       5.320,
1964-12-15,       6.170,
1965-01-15,       6.500,
1965-02-15,       8.780,
1965-03-15,      10.150,
1965-04-15,       8.645,
1965-05-15,       5.960,
1965-06-15,       7.380,
1965-07-15,       8.655,
1965-08-15,       7.860,
1965-09-15,       6.715,
1965-10-15,       5.090,
1965-11-15,       5.030,
1965-12-15,       7.265,
1966-01-15,       3.910,
1966-02-15,       6.360,
1966-03-15,       6.105,
1966-04-15,       8.850,
1966-05-15,       6.965,
1966-06-15,      10.695,
1966-07-15,       9.215,
1966-08-15,       6.905,
1966-09-15,       7.315,
1966-10-15,       5.480,
1966-11-15,       4.395,
1966-12-15,       4.850,
1967-01-15,       5.350,
1967-02-15,       7.900,
1967-03-15,       9.155,
1967-04-15,       4.965,
1967-05-15,       7.940,
1967-06-15,      10.925,
1967-07-15,       7.540,
1967-08-15,       7.550,
1967-09-15,       6.325,
1967-10-15,       4.190,
1967-11-15,       6.280,
1967-12-15,       5.220,
1968-01-15,       6.150,
1968-02-15,       6.340,
1968-03-15,       6.075,
1968-04-15,       7.120,
1968-05-15,       8.545,
1968-06-15,       7.875,
1968-07-15,       7.085,
1968-08-15,       7.785,
1968-09-15,       5.855,
1968-10-15,       4.285,
1968-11-15,       4.390,
1968-12-15,       4.625,
1969-01-15,       2.300,
1969-02-15,       7.990,
1969-03-15,       3.940,
1969-04-15,       4.320,
1969-05-15,       9.565,
1969-06-15,       6.785,
1969-07-15,       6.910,
1969-08-15,       7.495,
1969-09-15,       6.115,
1969-10-15,       5.110,
1969-11-15,       4.090,
1969-12-15,       5.945,
1970-01-15,       5.980,
1970-02-15,       5.600,
1970-03-15,       2.945,
1970-04-15,       8.430,
1970-05-15,       8.905,
1970-06-15,       9.295,
1970-07-15,       6.540,
1970-08-15,       7.985,
1970-09-15,       5.960,
1970-10-15,       6.745,
1970-11-15,       5.625,
1970-12-15,       6.655,
1971-01-15,       4.225,
1971-02-15,       7.110,
1971-03-15,       8.170,
1971-04-15,       7.540,
1971-05-15,       6.840,
1971-06-15,       8.505,
1971-07-15,       8.000,
1971-08-15,       9.025,
1971-09-15,       8.650,
1971-10-15,       8.655,
1971-11-15,       2.805,
1971-12-15,       5.285,
1972-01-15,       9.985,
1972-02-15,      10.260,
1972-03-15,       7.470,
1972-04-15,       7.505,
1972-05-15,       7.270,
1972-06-15,      10.605,
1972-07-15,       9.295,
1972-08-15,       5.025,
1972-09-15,       5.605,
1972-10-15,       7.405,
1972-11-15,       4.695,
1972-12-15,       7.775,
1973-01-15,       6.585,
1973-02-15,       5.465,
1973-03-15,       7.455,
1973-04-15,       5.910,
1973-05-15,       9.320,
1973-06-15,       6.280,
1973-07-15,       7.185,
1973-08-15,       8.070,
1973-09-15,       8.155,
1973-10-15,       7.300,
1973-11-15,       5.920,
1973-12-15,       6.570,
1974-01-15,       9.380,
1974-02-15,       7.900,
1974-03-15,       8.720,
1974-04-15,       8.850,
1974-05-15,       8.690,
1974-06-15,       9.365,
1974-07-15,       8.135,
1974-08-15,       5.915,
1974-09-15,       8.225,
1974-10-15,       7.555,
1974-11-15,       6.560,
1974-12-15,       7.100,
1975-01-15,       6.210,
1975-02-15,       8.130,
1975-03-15,       6.820,
1975-04-15,       7.265,
1975-05-15,       8.945,
1975-06-15,       9.010,
1975-07-15,       5.700,
1975-08-15,       8.465,
1975-09-15,       7.385,
1975-10-15,       7.565,
1975-11-15,       6.525,
1975-12-15,       3.700,
1976-01-15,       9.175,
1976-02-15,       7.205,
1976-03-15,       6.395,
1976-04-15,       8.580,
1976-05-15,       8.560,
1976-06-15,       8.300,
1976-07-15,       6.240,
1976-08-15,       5.795,
1976-09-15,      11.480,
1976-10-15,       8.430,
1976-11-15,       5.490,
1976-12-15,       5.335,
1977-01-15,       6.115,
1977-02-15,       7.980,
1977-03-15,       7.460,
1977-04-15,       6.025,
1977-05-15,       8.915,
1977-06-15,       9.865,
1977-07-15,      10.080,
1977-08-15,       9.105,
1977-09-15,       8.080,
1977-10-15,       7.680,
1977-11-15,       5.060,
1977-12-15,       6.270,
1978-01-15,       6.930,
1978-02-15,       4.850,
1978-03-15,       7.845,
1978-04-15,       8.145,
1978-05-15,       7.885,
1978-06-15,       8.685,
1978-07-15,       4.000,
1978-08-15,       7.695,
1978-09-15,       2.510,
1978-10-15,       3.370,
1978-11-15,       8.545,
1978-12-15,       5.895,
1979-01-15,       6.560,
1979-02-15,       5.890,
1979-03-15,       6.275,
1979-04-15,       5.860,
1979-05-15,       6.115,
1979-06-15,       9.450,
1979-07-15,       6.970,
1979-08-15,       6.535,
1979-09-15,       5.255,
1979-10-15,       6.145,
1979-11-15,       5.225,
