DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1950-01-15,      35.991,
1950-02-15,      35.981,
1950-03-15,      35.945,
1950-04-15,      35.950,
1950-05-15,      35.952,
1950-06-15,      35.969,
1950-07-15,      36.016,
1950-08-15,      36.024,
1950-09-15,      36.011,
1950-10-15,      35.998,
1950-11-15,      35.631,
1950-12-15,      35.668,
1951-01-15,      35.713,
1951-02-15,      35.735,
1951-03-15,      35.724,
1951-04-15,      35.728,
1951-05-15,      35.753,
1951-06-15,      35.788,
1951-07-15,      35.854,
1951-08-15,      35.884,
1951-09-15,      35.889,
1951-10-15,      35.883,
1951-11-15,      35.864,
1951-12-15,      35.878,
1952-01-15,      35.905,
1952-02-15,      36.015,
1952-03-15,      35.970,
1952-04-15,      35.952,
1952-05-15,      35.955,
1952-06-15,      35.970,
1952-07-15,      36.016,
1952-08-15,      36.041,
1952-09-15,      36.029,
1952-10-15,      36.007,
1952-11-15,      35.974,
1952-12-15,      35.977,
1953-01-15,      35.994,
1953-02-15,      35.982,
1953-03-15,      35.946,
1953-04-15,      35.932,
1953-05-15,      35.942,
1953-06-15,      35.960,
1953-07-15,      36.008,
1953-08-15,      36.026,
1953-09-15,      36.017,
1953-10-15,      35.998,
1953-11-15,      35.967,
1953-12-15,      35.970,
1954-01-15,      35.987,
1954-02-15,      35.978,
1954-03-15,      35.942,
1954-04-15,      35.927,
1954-05-15,      35.930,
1954-06-15,      35.950,
1954-07-15,      35.996,
1954-08-15,      36.010,
1954-09-15,      36.002,
1954-10-15,      35.985,
1954-11-15,      35.955,
1954-12-15,      35.960,
1955-01-15,      35.979,
1955-02-15,      35.969,
1955-03-15,      35.934,
1955-04-15,      35.919,
1955-05-15,      35.925,
1955-06-15,      35.946,
1955-07-15,      35.995,
1955-08-15,      36.026,
1955-09-15,      36.016,
1955-10-15,      35.998,
1955-11-15,      35.967,
1955-12-15,      35.971,
1956-01-15,      35.983,
1956-02-15,      35.971,
1956-03-15,      35.936,
1956-04-15,      35.922,
1956-05-15,      35.936,
1956-06-15,      35.954,
1956-07-15,      36.002,
1956-08-15,      36.015,
1956-09-15,      36.011,
1956-10-15,      35.993,
1956-11-15,      35.963,
1956-12-15,      35.967,
1957-01-15,      35.983,
1957-02-15,      35.872,
1957-03-15,      35.851,
1957-04-15,      35.845,
1957-05-15,      35.899,
1957-06-15,      35.921,
1957-07-15,      35.962,
1957-08-15,      35.889,
1957-09-15,      35.789,
1957-10-15,      35.928,
1957-11-15,      35.839,
1957-12-15,      35.799,
1958-01-15,      35.742,
1958-02-15,      35.752,
1958-03-15,      35.968,
1958-04-15,      35.898,
1958-05-15,      35.900,
1958-06-15,      35.834,
1958-07-15,      35.900,
1958-08-15,      35.929,
1958-09-15,      35.608,
1958-10-15,      35.404,
1958-11-15,      35.189,
1958-12-15,      35.667,
1959-01-15,      35.986,
1959-02-15,      35.981,
1959-03-15,      35.946,
1959-04-15,      35.929,
1959-05-15,      35.910,
1959-06-15,      35.912,
1959-07-15,      35.901,
1959-08-15,      36.004,
1959-09-15,      36.081,
1959-10-15,      35.948,
1959-11-15,      35.741,
1959-12-15,      35.871,
1960-01-15,      35.755,
1960-02-15,      35.771,
1960-03-15,      35.754,
1960-04-15,      35.685,
1960-05-15,      35.664,
1960-06-15,      35.724,
1960-07-15,      35.801,
1960-08-15,      35.843,
1960-09-15,      35.856,
1960-10-15,      35.873,
1960-11-15,      35.828,
1960-12-15,      35.828,
1961-01-15,      35.862,
1961-02-15,      36.013,
1961-03-15,      35.801,
1961-04-15,      35.792,
1961-05-15,      35.681,
1961-06-15,      35.877,
1961-07-15,      36.051,
1961-08-15,      36.023,
1961-09-15,      36.016,
1961-10-15,      35.996,
1961-11-15,      35.940,
1961-12-15,      35.947,
1962-01-15,      35.982,
1962-02-15,      35.964,
1962-03-15,      35.924,
1962-04-15,      35.911,
1962-05-15,      35.914,
1962-06-15,      35.965,
1962-07-15,      35.927,
1962-08-15,      35.975,
1962-09-15,      35.837,
1962-10-15,      35.731,
1962-11-15,      35.963,
1962-12-15,      35.909,
1963-01-15,      36.045,
1963-02-15,      36.077,
1963-03-15,      36.033,
1963-04-15,      36.034,
1963-05-15,      36.041,
1963-06-15,      36.047,
1963-07-15,      35.940,
1963-08-15,      35.858,
1963-09-15,      36.006,
1963-10-15,      35.904,
1963-11-15,      35.779,
1963-12-15,      35.816,
1964-01-15,      35.952,
1964-02-15,      35.946,
1964-03-15,      35.912,
1964-04-15,      35.921,
1964-05-15,      35.856,
1964-06-15,      35.801,
1964-07-15,      35.868,
1964-08-15,      35.877,
1964-09-15,      35.873,
1964-10-15,      35.849,
1964-11-15,      35.872,
1964-12-15,      35.862,
1965-01-15,      35.844,
1965-02-15,      35.925,
1965-03-15,      35.967,
1965-04-15,      35.818,
1965-05-15,      35.806,
1965-06-15,      35.808,
1965-07-15,      35.784,
1965-08-15,      35.836,
1965-09-15,      35.846,
1965-10-15,      35.729,
1965-11-15,      35.722,
1965-12-15,      35.768,
1966-01-15,      35.592,
1966-02-15,      35.830,
1966-03-15,      35.928,
1966-04-15,      35.826,
1966-05-15,      35.839,
1966-06-15,      35.849,
1966-07-15,      35.912,
1966-08-15,      35.828,
1966-09-15,      35.616,
1966-10-15,      35.278,
1966-11-15,      35.709,
1966-12-15,      35.855,
1967-01-15,      35.922,
1967-02-15,      35.871,
1967-03-15,      35.830,
1967-04-15,      35.803,
1967-05-15,      35.721,
1967-06-15,      35.804,
1967-07-15,      36.049,
1967-08-15,      36.041,
1967-09-15,      35.988,
1967-10-15,      35.642,
1967-11-15,      35.918,
1967-12-15,      36.021,
1968-01-15,      35.889,
1968-02-15,      35.806,
1968-03-15,      35.751,
1968-04-15,      35.693,
1968-05-15,      35.769,
1968-06-15,      35.771,
1968-07-15,      35.769,
1968-08-15,      35.682,
1968-09-15,      35.879,
1968-10-15,      35.965,
1968-11-15,      35.884,
1968-12-15,      35.785,
1969-01-15,      35.765,
1969-02-15,      35.887,
1969-03-15,      35.802,
1969-04-15,      35.755,
1969-05-15,      35.803,
1969-06-15,      35.851,
1969-07-15,      35.919,
1969-08-15,      35.708,
1969-09-15,      35.574,
1969-10-15,      35.874,
1969-11-15,      35.831,
1969-12-15,      35.933,
1970-01-15,      35.851,
1970-02-15,      35.646,
1970-03-15,      35.751,
1970-04-15,      35.733,
1970-05-15,      35.681,
1970-06-15,      35.913,
1970-07-15,      35.987,
1970-08-15,      36.006,
1970-09-15,      35.934,
1970-10-15,      35.965,
1970-11-15,      35.824,
1970-12-15,      35.859,
1971-01-15,      35.977,
1971-02-15,      36.046,
1971-03-15,      35.878,
1971-04-15,      35.694,
1971-05-15,      35.724,
1971-06-15,      35.821,
1971-07-15,      35.929,
1971-08-15,      35.974,
1971-09-15,      35.992,
1971-10-15,      36.073,
1971-11-15,      36.052,
1971-12-15,      35.875,
1972-01-15,      35.888,
1972-02-15,      35.802,
1972-03-15,      35.667,
1972-04-15,      35.820,
1972-05-15,      35.784,
1972-06-15,      35.836,
1972-07-15,      35.992,
1972-08-15,      35.992,
1972-09-15,      36.139,
1972-10-15,      36.117,
1972-11-15,      35.981,
1972-12-15,      35.896,
1973-01-15,      35.875,
1973-02-15,      35.889,
1973-03-15,      35.796,
1973-04-15,      35.842,
1973-05-15,      35.840,
1973-06-15,      35.879,
1973-07-15,      35.938,
