"Year","Temperature","Net_Primary_Production","Sea_Surface_Salinity","Chlorophyll","Currents","Windspeed"
"1998-01-15",19.7455,534.436,36.076,2.997,-0.0905,-0.395666666666667
"1998-02-15",20.636,485.587,36.052,3.3575,-0.057,1.5335
"1998-03-15",20.8305,685.186,36.014,3.622,0.008,-0.368
"1998-04-15",20.2925,1237.569,35.889,3.358,0.178,2.4405
"1998-05-15",20.2865,717.756,35.903,4.184,-0.137,0.260333333333333
"1998-06-15",20.879,258.883,35.922,4.227,0.1255,0.722666666666667
"1998-08-15",24.8405,896.528,36.039,4.54,0.0535,1.35066666666667
"1998-09-15",26.0785,852.192,36.031,3.736,-0.0615,0.314
"1998-10-15",24.73,396.043,35.928,3.8625,-0.0475,0.306666666666667
"1998-11-15",23.733,258.205,35.943,3.617,-0.1905,-0.105666666666667
"1998-12-15",20.724,330.358,35.97,3.4535,0.1075,-0.822666666666667
"1999-01-15",19.0155,688.075,35.934,2.8005,-0.1765,0.387
"1999-02-15",17.9995,772.449,35.947,2.4945,0.073,1.25975
"1999-03-15",18.5915,1168.606,35.928,2.5995,-0.0945,-0.03
"1999-04-15",19.672,1220.424,35.888,3.5005,0.131,0.412333333333333
"1999-05-15",20.402,854.701,35.918,4.986,-0.2395,0.536
"1999-08-15",25.4065,439.398,36.022,4.3655,-0.003,1.256
"1999-09-15",25.6385,534.475,36.058,5.0085,-0.0515,0.63075
"1999-10-15",24.6835,786.954,36.057,4.131,0.037,1.039
"1999-11-15",22.84,406.11,36.036,5.274,-0.115,0.99725
"1999-12-15",20.2125,369.494,36.026,4.314,-0.0925,-0.652666666666667
"2000-01-15",17.447,484.735,36.05,3.1965,0.116,-0.65
"2000-02-15",18.6555,752.843,36.05,3.253,-0.2105,-0.212666666666667
"2000-03-15",20.416,772.989,36.004,4.527,-0.098,1.11225
"2000-04-15",20.2505,751.564,35.969,4.19,-0.058,2.08875
"2000-05-15",20.3215,841.627,35.964,4.203,0.017,0.611
"2000-07-15",23.623,81.713,36.013,6.162,-0.083,1.401
"2000-08-15",26.0405,514.713,36.006,4.551,-0.1505,0.971666666666666
"2000-09-15",25.161,638.539,36.032,4.01,-0.0155,0.426333333333333
"2000-10-15",24.185,911.369,36.021,3.3945,-0.134,-0.454333333333333
"2000-11-15",21.7025,626.103,35.99,3.787,-0.104,-0.499666666666667
"2000-12-15",20.418,464.043,36.003,3.9845,-0.03,-0.544666666666667
"2001-01-15",19.287,661.253,36.029,3.5355,0.0495,1.1085
"2001-02-15",18.697,640.782,35.998,3.307,0.093,1.26975
"2001-03-15",20.341,960.325,35.947,3.1825,0.1525,3.18125
"2001-04-15",19.533,515.845,35.95,5.7695,0.0915,3.6505
"2001-05-15",20.5285,517.779,35.941,5.45,0.1865,0.254
"2001-08-15",26.6275,621.145,36.024,4.765,0.0855,1.5325
"2001-09-15",25.9505,456.845,36.071,4.207,-0.1415,0.086
"2001-10-15",25.587,515.574,36.053,3.4135,-0.1385,-0.209333333333333
"2001-11-15",24.251,750.231,35.989,3.4415,-0.048,-0.355666666666667
"2001-12-15",22.7125,347.795,35.962,4.461,-0.1765,-0.166666666666667
"2002-01-15",21.173,474.719,35.99,3.5785,-0.012,1.58675
"2002-02-15",19.9465,683.999,35.977,2.945,0.056,1.496
"2002-03-15",19.6585,645.465,35.988,3.647,-0.1435,0.147
"2002-04-15",19.898,1045.481,35.998,4.624,0.039,0.392666666666666
"2002-05-15",19.9945,564.486,36.003,4.975,0.1155,0.247333333333333
"2002-07-15",22.9775,394.717,36.099,7.2585,0.0515,2.22175
"2002-09-15",24.875,579.292,36.157,12.0685,-0.0115,1.42325
"2002-10-15",24.586,73.572,36.153,10.3235,-0.098,-0.0350000000000001
"2002-11-15",22.898,153.61,36.156,9.264,0.0075,-0.569666666666667
"2002-12-15",20.973,132.405,36.087,6.7255,-0.11,-0.318666666666667
"2003-01-15",19.217,310.559,36.041,4.1885,0.258,-0.762333333333333
"2003-02-15",18.1565,372.23,36.039,3.0875,-0.0475,-0.271
"2003-03-15",19.215,675.127,35.993,3.6895,0.0795,0.0906666666666667
"2003-04-15",20.198,855.961,36.002,4.047,0.0165,0.342
"2003-05-15",20.4885,608.854,36.089,4.457,0.049,0.414666666666667
"2003-06-15",22.107,572.844,36.166,4.791,-0.138,1.41325
"2003-08-15",25.9435,676.972,36.194,8.084,-0.113,2.5185
"2003-09-15",26.3675,131.84,36.181,5.9805,0.4205,0.425666666666667
"2003-10-15",25.7785,393.653,36.169,3.8455,-0.0815,0.0173333333333335
"2003-11-15",22.8605,403.099,36.152,3.3845,0.1575,-0.39
"2003-12-15",20.642,228.258,36.176,5.442,-0.146,0.46675
"2004-01-15",19.579,366.768,36.178,3.8105,0.2125,-0.745333333333333
"2004-02-15",19.6755,492.075,36.13,3.5915,-0.2015,0.445
"2004-03-15",19.764,569.071,36.05,3.707,0.228,0.217666666666667
"2004-04-15",20.172,803.639,36.006,3.4305,-0.1345,1.9345
"2004-05-15",20.339,616.352,36.046,4.2665,0.1645,1.379
"2004-06-15",21.7195,347.944,35.994,5.254,-0.12,2.013
"2004-07-15",23.237,92.676,36.103,12.968,0.165,1.19333333333333
"2004-08-15",26.005,113.803,36.202,10.393,-0.4125,1.124
"2004-09-15",26.058,354.607,36.076,11.6785,0.2395,0.117
"2004-10-15",24.7945,88.322,35.968,10.672,-0.352,1.794
"2004-11-15",23.5905,44.906,35.933,11.4075,0.124,1.14375
"2004-12-15",20.7625,126.208,35.944,9.1435,0.0195,2.615
"2005-01-15",18.469,102.685,35.951,8.605,0.155,-0.426
"2005-02-15",18.4585,520.944,35.92,3.6305,-0.234,0.0659999999999998
"2005-03-15",20.375,851.592,35.912,3.154,0.2755,2.02
"2005-04-15",20.61,815.768,35.937,3.5175,-0.1975,0.322666666666667
"2005-05-15",21.0875,549.287,36.006,3.8035,-0.077,1.10875
"2005-06-15",22.7755,312.899,36.045,6.4395,0.066,2.6185
"2005-08-15",25.048,76.608,36.134,11.2325,0.09,2.1935
"2005-09-15",26.4975,86.888,36.109,9.784,0.1175,1.772
"2005-10-15",25.354,160.901,36.123,8.1935,-0.0805,-0.00700000000000001
"2005-11-15",23.3885,267.423,36.036,6.0025,0.055,-0.299333333333333
"2005-12-15",21.7345,56.366,36.049,6.5205,0.0245,-0.248666666666667
"2006-01-15",19.2675,296.745,36.118,5.1835,-0.1135,-0.549333333333333
"2006-02-15",19.132,534.337,36.144,3.6775,0.1245,-0.296
"2006-03-15",19.845,624.472,36.127,4.132,-0.194,-0.0119999999999999
"2006-04-15",20.6525,598.357,36.125,4.849,0.211,0.574
"2006-05-15",20.9345,719.488,36.174,4.927,0.0345,0.481
"2006-06-15",21.8615,118.337,36.183,7.1645,0.1125,0.425666666666667
"2006-08-15",26.139,76.841,36.12,10.816,0.1305,0.838
"2006-09-15",26.7475,153.109,36.013,10.2185,-0.1865,0.68
"2006-10-15",25.8495,58.497,36.185,9.8385,0.154,0.0756666666666666
"2006-11-15",24.4675,63.978,36.231,9.0615,-0.203,-0.388333333333333
"2006-12-15",20.864,140.326,36.235,5.6885,-0.0365,-0.678666666666667
"2007-01-15",18.91,63.733,36.234,5.0235,-0.1435,-0.185
"2007-02-15",19.7625,281.962,36.166,5.185,0.2535,-0.619333333333333
"2007-03-15",19.968,259.414,36.192,6.813,-0.152,-0.365
"2007-04-15",20.4875,395.232,36.123,8.0065,0.24,1.459
"2007-05-15",20.993,359.909,36.117,8.8215,-0.1465,0.181666666666666
"2007-06-15",21.858,236.02,36.096,10.4455,0.195,1.84325
"2007-07-15",23.307,203.62,36.167,13.0745,-0.058,1.86833333333333
"2007-08-15",24.0765,164.917,36.145,11.886,0.1505,2.20575
"2007-09-15",25.142,76.799,36.204,9.2025,-0.2785,0.300666666666667
"2007-10-15",24.129,258.228,36.174,6.0165,0.207,0.0196666666666669
"2007-11-15",22.1925,307.752,36.169,4.066,-0.2495,-0.177666666666667
"2007-12-15",19.777,311.588,36.129,3.6215,0.116,-0.437
"2008-01-15",19.2455,59.485,36.187,7.788,NA,1.177
"2008-02-15",19.9415,196.982,35.959,4.358,NA,1.399
"2008-03-15",21.1365,132.157,35.988,5.502,NA,0.203666666666667
"2008-04-15",20.913,225.816,35.931,5.0775,NA,2.562
"2008-05-15",21.464,676.456,35.781,4.23,NA,3.4125
"2008-06-15",21.8785,280.955,35.77,4.7115,NA,0.531
"2008-08-15",26.48,201.54,35.955,5.6585,NA,1.89166666666667
"2008-09-15",26.5735,221.968,36.062,4.6145,NA,0.405333333333333
"2008-10-15",24.2155,416.496,36.173,2.6415,NA,-0.349333333333333
"2008-11-15",21.446,314.124,36.261,3.02,NA,0.3825
"2008-12-15",19.2425,283.221,36.175,2.9575,NA,-0.601
"2009-01-15",18.323,484.605,36.119,2.848,0.123,-0.654666666666667
"2009-02-15",18.2995,644.49,36.141,2.582,-0.0185,0.372
"2009-03-15",19.7105,818.865,36.241,3.0945,0.003,2.3545
"2009-04-15",19.993,512.179,36.193,3.103,-0.069,-0.0370000000000002
"2009-05-15",20.743,303.027,36.059,4.0275,0.018,2.61375
"2009-07-15",24.663,250.623,35.923,5.0025,-0.283,1.31933333333333
"2009-08-15",26.0795,94.404,35.89,7.716,0.1295,1.572
"2009-09-15",27.11,86.624,36.047,5.103,-0.071,0.159666666666667
"2009-10-15",25.791,315.011,36.109,3.4085,-0.0535,-0.0930000000000001
"2009-11-15",23.056,251.314,36.124,3.332,-0.0485,-0.329
"2009-12-15",21.7015,407.756,36.148,2.6305,-0.096,5
"2010-01-15",21.02,460.524,36.142,3.242,-0.0025,2.65
"2010-02-15",21.4185,604.833,36.163,3.2675,-0.0885,7.05
"2010-03-15",21.524,689.567,36.214,3.1685,0.0155,0.0140000000000003
"2010-04-15",21.6175,279.216,36.243,8.494,-0.1135,2.12225
"2010-05-15",21.324,185.141,36.35,8.9295,0.1585,NA
"2010-06-15",22.3365,15.192,36.38,10.314,-0.0085,NA
"2010-08-15",26.009,101.221,36.237,16.3575,-0.0355,1.86733333333333
"2010-09-15",27.685,23.172,36.067,11.9055,-0.027,-0.0753333333333331
"2010-10-15",25.621,42.262,36.033,8.0385,-0.097,NA
"2010-11-15",24.0655,25.819,36.028,11.1795,-0.029,NA
"2010-12-15",23.288,10.82,36.105,13.7325,-0.1355,NA
"2011-01-15",20.9475,39.386,36.19,14.8395,0.201,5.25
"2011-02-15",19.5205,65.43,36.734,9.4965,-0.0675,NA
"2011-03-15",19.8435,56.947,36.669,8.9805,0.1175,NA
"2011-04-15",20.718,22.825,36.47,11.3105,-0.033,0.0916666666666668
"2011-05-15",21.679,28.115,36.444,13.4705,0.038,1.259
"2011-06-15",22.674,151.868,36.391,9.2695,-0.159,2.42575
"2011-08-15",24.96,31.669,36.338,10.082,-0.089,3.52575
"2011-09-15",25.5605,66.179,36.295,5.489,0.075,0.519333333333333
"2011-10-15",26.3495,16.264,36.353,6.932,-0.102,1.23266666666667
"2011-11-15",21.5575,157.331,36.398,5.1715,0.0335,1.74675
"2011-12-15",20.0015,132.847,36.29,5.875,-0.105,-0.105666666666667
"2012-01-15",18.773,81.662,36.311,5.568,-0.0255,0.84975
"2012-02-15",17.805,151.113,36.281,6.343,-0.04,-0.140666666666667
"2012-03-15",19.5795,513.234,36.077,6.82,-0.051,1.4145
"2012-04-15",20.1335,441.077,36.097,4.5645,-0.1085,1.09333333333333
"2012-05-15",20.6385,311.195,36.058,4.824,0.118,2.37833333333333
"2012-06-15",22.0175,225.697,36.047,7.7345,-0.1825,1.40766666666667
"2012-09-15",27.877,465.906,36.202,5.5835,-0.0415,3.687
"2012-10-15",26.0385,292.984,36.266,3.864,-0.2165,-0.0169999999999999
"2012-11-15",23.632,397.918,36.172,3.417,0.035,2.34325
"2012-12-15",20.38,618.371,35.971,5.909,0.2085,1.70975
"2013-01-15",18.9935,607.507,36.072,2.8755,-0.0525,0.9915
"2013-02-15",19.4575,521.538,36.131,2.61,0.1045,0.259
"2013-03-15",21.138,909.417,36.037,2.5165,0.0825,1.04033333333333
"2013-04-15",20.907,2018.84,35.967,3.178,-0.18,NA
"2013-05-15",21.314,1425.422,35.998,3.8475,0.1715,2.206
"2013-08-15",27.2675,1310.305,36.149,5.9015,-0.075,4.53733333333333
"2013-09-15",27.426,438.294,35.923,4.5175,0.091,4.65125
"2013-10-15",25.169,688.427,35.937,3.646,-0.0265,NA
"2013-11-15",23.452,822.418,35.9,3.038,-0.022,0.358666666666667
"2013-12-15",20.948,618.569,36.1,3.319,0.0035,1.03666666666667
"2014-01-15",19.331,1035.069,36.017,2.5935,-0.1615,-0.132666666666667
"2014-02-15",18.5445,604.774,36.124,2.4515,NA,-0.334
"2014-03-15",19.016,773.393,35.9,2.158,NA,1.28566666666667
"2014-04-15",20.1285,1476.055,35.89,2.1945,NA,2.42825
"2014-05-15",21.241,917.181,35.728,2.4035,NA,0.564666666666667
"2014-07-15",24,832.493,35.889,3.504,NA,NA
"2014-08-15",25.3155,691.391,36.077,3.068,NA,3.728
"2014-10-15",25.05,766.242,36.09,3.0235,NA,2.97625
"2014-11-15",23.147,1022.767,36.068,2.5625,NA,1.33966666666667
"2014-12-15",20.37,1142.366,36.092,3.0825,NA,-0.245
"2015-01-15",18.3305,751.392,36.185,3.604,NA,-0.835333333333333
"2015-02-15",18.39,701.865,36.22,2.4935,NA,NA
"2015-03-15",19.224,501.22,35.962,2.3855,NA,0.831
"2015-04-15",20.1375,522.537,35.85,2.6315,NA,1.03566666666667
"2015-05-15",20.9705,2482.371,35.788,2.8075,NA,-0.00433333333333326
"2015-06-15",21.5715,759.789,35.823,2.8805,NA,8.96
"2015-07-15",24.6495,1016.409,35.86,4.2465,NA,4.47425
"2015-08-15",26.759,1010.659,36.037,4.2085,NA,2.153
"2015-10-15",26.6965,750.243,36.098,3.379,NA,0.539666666666667
"2015-11-15",22.6905,455.408,36.086,3.044,NA,1.25175
"2015-12-15",21.008,282.436,35.999,3.176,NA,-0.186666666666667
"2016-01-15",20.646,464.125,35.965,2.7415,NA,-0.064
"2016-02-15",19.9595,688.309,35.934,2.6945,NA,-0.280333333333333
"2016-03-15",19.64,650.554,35.948,2.7045,NA,3.36466666666667
"2016-04-15",20.215,1334.044,35.952,2.797,NA,1.37833333333333
"2016-05-15",21.0055,737.918,35.962,3.007,NA,2.728
"2016-06-15",22.0465,924.849,35.957,3.065,NA,NA
"2016-08-15",25.5665,664.992,36.006,4.544,NA,NA
"2016-09-15",26.387,1041.464,36.033,3.914,NA,1.32766666666667
"2016-10-15",24.491,526.792,36.079,2.9605,NA,0.564333333333333
"2016-11-15",23.7985,895.429,35.979,2.9555,NA,-0.576
"2016-12-15",21.214,1287.347,36.021,3.3805,NA,-1.19833333333333
"2017-01-15",19.163,967.946,36.056,2.6785,NA,6.07
"2017-02-15",18.6435,567.405,36.084,2.5905,NA,0.172
"2017-03-15",20.163,372.543,36,2.487,NA,1.412
"2017-04-15",21.7345,1228.802,35.92,2.7065,NA,11.25
"2017-05-15",21.934,1223.236,35.786,3.002,NA,0.700333333333333
