DATE-YMD,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3),
1998-01-15,       2.883,
1998-02-15,       3.364,
1998-03-15,       3.661,
1998-04-15,       3.277,
1998-05-15,       4.423,
1998-06-15,       4.512,
1998-08-15,       4.969,
1998-09-15,       3.481,
1998-10-15,       3.461,
1998-11-15,       3.312,
1998-12-15,       3.218,
1999-01-15,       2.669,
1999-02-15,       2.354,
1999-03-15,       2.339,
1999-04-15,       2.939,
1999-05-15,       5.465,
1999-08-15,       4.284,
1999-09-15,       5.707,
1999-10-15,       4.159,
1999-11-15,       5.083,
1999-12-15,       4.197,
2000-01-15,       3.099,
2000-02-15,       3.035,
2000-03-15,       4.531,
2000-04-15,       4.522,
2000-05-15,       4.076,
2000-09-15,       3.760,
2000-10-15,       3.166,
2000-11-15,       3.597,
2000-12-15,       3.816,
2001-01-15,       3.463,
2001-02-15,       3.136,
2001-03-15,       3.014,
2001-04-15,       6.199,
2001-05-15,       5.707,
2001-08-15,       5.138,
2001-09-15,       4.213,
2001-10-15,       3.115,
2001-11-15,       3.313,
2001-12-15,       4.019,
2002-01-15,       3.531,
2002-02-15,       2.826,
2002-03-15,       3.623,
2002-04-15,       5.028,
2002-05-15,       5.875,
2002-06-15,       6.797,
2002-07-15,       8.614,
2002-08-15,      12.470,
2002-09-15,      13.402,
2002-10-15,       8.829,
2002-11-15,       8.163,
2002-12-15,       4.974,
2003-01-15,       3.372,
2003-02-15,       2.934,
2003-03-15,       3.499,
2003-04-15,       4.111,
2003-05-15,       3.958,
2003-06-15,       5.918,
2003-07-15,      10.025,
2003-08-15,      10.832,
2003-09-15,       5.973,
2003-10-15,       3.874,
2003-11-15,       3.302,
2003-12-15,       4.816,
2004-01-15,       3.404,
2004-02-15,       3.389,
2004-03-15,       3.743,
2004-04-15,       3.299,
2004-05-15,       4.203,
2004-06-15,       4.875,
2004-07-15,      11.603,
2004-08-15,      10.299,
2004-09-15,      11.186,
2004-10-15,       9.079,
2004-11-15,       9.512,
2004-12-15,       7.537,
2005-01-15,       5.687,
2005-02-15,       3.360,
2005-03-15,       3.206,
2005-04-15,       3.509,
2005-05-15,       3.694,
2005-06-15,       6.235,
2005-07-15,       8.499,
2005-08-15,      12.016,
2005-09-15,      10.507,
2005-10-15,       6.741,
2005-11-15,       5.189,
2005-12-15,       5.312,
2006-01-15,       5.087,
2006-02-15,       3.579,
2006-03-15,       4.230,
2006-04-15,       5.311,
2006-05-15,       5.182,
2006-06-15,       7.679,
2006-07-15,       8.682,
2006-08-15,      11.077,
2006-09-15,      11.848,
2006-10-15,       8.406,
2006-11-15,       7.272,
2006-12-15,       4.803,
2007-01-15,       4.043,
2007-02-15,       4.584,
2007-03-15,       6.280,
2007-04-15,       7.608,
2007-05-15,       7.818,
2007-06-15,       9.726,
2007-07-15,      13.766,
2007-08-15,      12.248,
2007-09-15,       8.280,
2007-10-15,       5.331,
2007-11-15,       3.762,
2007-12-15,       3.409,
2008-01-15,       4.585,
2008-02-15,       3.218,
2008-03-15,       4.766,
2008-04-15,       5.483,
2008-05-15,       4.127,
2008-06-15,       5.011,
2008-07-15,       7.193,
2008-08-15,       7.020,
2008-09-15,       4.727,
2008-10-15,       2.425,
2008-11-15,       2.897,
2008-12-15,       2.754,
2009-01-15,       2.736,
2009-02-15,       2.552,
2009-03-15,       3.098,
2009-04-15,       3.316,
2009-05-15,       3.843,
2009-06-15,       5.576,
2009-07-15,       5.053,
2009-08-15,       8.576,
2009-09-15,       5.157,
2009-10-15,       3.259,
2009-11-15,       3.196,
2009-12-15,       2.541,
2010-01-15,       3.404,
2010-02-15,       3.163,
2010-03-15,       3.173,
2010-04-15,       7.193,
2010-05-15,       8.600,
2010-06-15,       9.819,
2010-07-15,      15.458,
2010-08-15,      16.348,
2010-09-15,      11.360,
2010-10-15,       6.401,
2010-11-15,       9.264,
2010-12-15,      10.790,
2011-01-15,       9.584,
2011-02-15,       6.435,
2011-03-15,       6.470,
2011-04-15,       8.916,
2011-05-15,      12.224,
2011-06-15,       8.811,
2011-07-15,       7.494,
2011-08-15,       9.383,
2011-09-15,       4.994,
2011-10-15,       5.287,
2011-11-15,       4.266,
2011-12-15,       4.227,
2012-01-15,       3.948,
2012-02-15,       5.108,
2012-03-15,       6.714,
2012-04-15,       4.084,
2012-05-15,       4.622,
2012-06-15,       6.163,
2012-07-15,       6.125,
2012-08-15,       6.701,
2012-09-15,       4.153,
2012-10-15,       3.373,
2012-11-15,       3.145,
2012-12-15,       3.689,
2013-01-15,       2.461,
2013-02-15,       2.167,
2013-03-15,       2.468,
2013-04-15,       3.526,
2013-05-15,       3.618,
2013-06-15,       3.204,
2013-07-15,       3.279,
2013-08-15,       4.073,
2013-09-15,       3.606,
2013-10-15,       2.970,
2013-11-15,       2.765,
2013-12-15,       2.654,
2014-01-15,       2.366,
2014-02-15,       2.171,
2014-03-15,       2.003,
2014-04-15,       2.148,
2014-05-15,       2.449,
2014-06-15,       2.526,
2014-07-15,       2.799,
2014-08-15,       2.728,
2014-09-15,       3.006,
2014-10-15,       2.603,
2014-11-15,       2.361,
2014-12-15,       2.623,
2015-01-15,       2.758,
2015-02-15,       2.241,
2015-03-15,       2.211,
2015-04-15,       2.262,
2015-05-15,       2.613,
2015-06-15,       2.671,
2015-07-15,       3.374,
2015-08-15,       3.447,
2015-09-15,       2.933,
2015-10-15,       2.855,
2015-11-15,       2.532,
2015-12-15,       2.363,
2016-01-15,       2.275,
2016-02-15,       2.452,
2016-03-15,       2.310,
2016-04-15,       2.628,
2016-05-15,       2.644,
2016-06-15,       2.754,
2016-07-15,       3.716,
2016-08-15,       3.723,
2016-09-15,       3.355,
2016-10-15,       2.480,
2016-11-15,       2.651,
2016-12-15,       2.780,
2017-01-15,       2.297,
2017-02-15,       2.244,
2017-03-15,       2.048,
2017-04-15,       2.532,
2017-05-15,       2.921,
2017-06-15,       3.021,
2017-07-15,       3.293,
2017-08-15,       3.508,
2017-09-15,       2.733,
2017-10-15,       2.429,
2017-11-15,       2.629,
2017-12-15,       2.853,
2018-01-15,       2.494,
2018-02-15,       2.008,
2018-03-15,       1.781,
2018-04-15,       2.430,
2018-05-15,       2.491,
2018-06-15,       3.445,
2018-07-15,       6.438,
2018-08-15,       4.290,
2018-09-15,       3.888,
2018-10-15,       3.678,
2018-11-15,       3.987,
2018-12-15,       4.110,
2019-01-15,       2.858,
2019-02-15,       2.338,
2019-03-15,       2.154,
2019-04-15,       2.504,
