DATE-YMD,OTHR= OSCAR surface currents u-EW-component (m/s),
1993-01-15,      -0.096,
1993-02-15,      -0.010,
1993-03-15,      -0.071,
1993-04-15,      -0.066,
1993-05-15,       0.061,
1993-06-15,      -0.028,
1993-07-15,       0.010,
1993-08-15,       0.043,
1993-09-15,      -0.035,
1993-10-15,      -0.102,
1993-11-15,       0.063,
1993-12-15,      -0.149,
1994-01-15,       0.226,
1994-02-15,      -0.263,
1994-03-15,       0.165,
1994-04-15,      -0.002,
1994-05-15,       0.169,
1994-06-15,       0.010,
1994-07-15,       0.191,
1994-08-15,       0.080,
1994-09-15,       0.202,
1994-10-15,      -0.079,
1994-11-15,       0.049,
1994-12-15,      -0.082,
1995-01-15,       0.200,
1995-02-15,      -0.162,
1995-03-15,       0.117,
1995-04-15,      -0.158,
1995-05-15,       0.288,
1995-06-15,      -0.166,
1995-07-15,       0.013,
1995-08-15,       0.098,
1995-09-15,       0.172,
1995-10-15,      -0.160,
1995-11-15,       0.010,
1995-12-15,      -0.029,
1996-01-15,      -0.108,
1996-02-15,      -0.153,
1996-03-15,       0.023,
1996-04-15,      -0.151,
1996-05-15,       0.106,
1996-06-15,      -0.149,
1996-07-15,      -0.004,
1996-08-15,       0.060,
1996-09-15,       0.061,
1996-10-15,      -0.124,
1996-11-15,       0.040,
1996-12-15,      -0.013,
1997-01-15,      -0.029,
1997-02-15,       0.129,
1997-03-15,      -0.001,
1997-04-15,       0.052,
1997-05-15,      -0.137,
1997-06-15,       0.230,
1997-07-15,      -0.090,
1997-08-15,       0.119,
1997-09-15,       0.034,
1997-10-15,       0.128,
1997-11-15,      -0.038,
1997-12-15,       0.151,
1998-01-15,      -0.085,
1998-02-15,       0.060,
1998-03-15,      -0.014,
1998-04-15,       0.155,
1998-05-15,      -0.092,
1998-06-15,       0.269,
1998-07-15,       0.064,
1998-08-15,       0.118,
1998-09-15,      -0.058,
1998-10-15,       0.002,
1998-11-15,      -0.247,
1998-12-15,       0.180,
1999-01-15,      -0.169,
1999-02-15,       0.006,
1999-03-15,      -0.068,
1999-04-15,       0.179,
1999-05-15,      -0.116,
1999-06-15,       0.201,
1999-07-15,      -0.001,
1999-08-15,      -0.025,
1999-09-15,      -0.014,
1999-10-15,      -0.006,
1999-11-15,      -0.168,
1999-12-15,      -0.161,
2000-01-15,       0.044,
2000-02-15,      -0.265,
2000-03-15,      -0.047,
2000-04-15,      -0.073,
2000-05-15,       0.024,
2000-06-15,       0.284,
2000-07-15,      -0.042,
2000-08-15,      -0.119,
2000-09-15,      -0.050,
2000-10-15,      -0.251,
2000-11-15,      -0.177,
2000-12-15,      -0.147,
2001-01-15,      -0.032,
2001-02-15,       0.117,
2001-03-15,       0.199,
2001-04-15,       0.128,
2001-05-15,       0.319,
2001-06-15,       0.019,
2001-07-15,       0.045,
2001-08-15,       0.142,
2001-09-15,      -0.147,
2001-10-15,      -0.158,
2001-11-15,      -0.042,
2001-12-15,      -0.249,
2002-01-15,       0.021,
2002-02-15,       0.057,
2002-03-15,      -0.102,
2002-04-15,       0.091,
2002-05-15,       0.295,
2002-06-15,      -0.120,
2002-07-15,       0.138,
2002-08-15,       0.048,
2002-09-15,       0.019,
2002-10-15,      -0.243,
2002-11-15,       0.058,
2002-12-15,      -0.164,
2003-01-15,       0.422,
2003-02-15,      -0.154,
2003-03-15,       0.082,
2003-04-15,       0.010,
2003-05-15,       0.246,
2003-06-15,      -0.230,
2003-07-15,       0.381,
2003-08-15,      -0.150,
2003-09-15,       0.703,
2003-10-15,      -0.197,
2003-11-15,       0.281,
2003-12-15,      -0.130,
2004-01-15,       0.287,
2004-02-15,      -0.253,
2004-03-15,       0.279,
2004-04-15,      -0.293,
2004-05-15,       0.325,
2004-06-15,      -0.212,
2004-07-15,       0.244,
2004-08-15,      -0.484,
2004-09-15,       0.344,
2004-10-15,      -0.487,
2004-11-15,       0.285,
2004-12-15,       0.005,
2005-01-15,       0.150,
2005-02-15,      -0.271,
2005-03-15,       0.327,
2005-04-15,      -0.263,
2005-05-15,       0.021,
2005-06-15,       0.281,
2005-07-15,      -0.023,
2005-08-15,       0.297,
2005-09-15,       0.190,
2005-10-15,       0.009,
2005-11-15,       0.086,
2005-12-15,       0.111,
2006-01-15,      -0.411,
2006-02-15,       0.233,
2006-03-15,      -0.355,
2006-04-15,       0.302,
2006-05-15,       0.031,
2006-06-15,       0.358,
2006-07-15,      -0.023,
2006-08-15,       0.311,
2006-09-15,      -0.242,
2006-10-15,       0.241,
2006-11-15,      -0.279,
2006-12-15,       0.078,
2007-01-15,      -0.222,
2007-02-15,       0.293,
2007-03-15,      -0.265,
2007-04-15,       0.449,
2007-05-15,      -0.277,
2007-06-15,       0.382,
2007-07-15,      -0.069,
2007-08-15,       0.214,
2007-09-15,      -0.267,
2007-10-15,       0.307,
2007-11-15,      -0.482,
2007-12-15,       0.108,
2009-01-15,       0.172,
2009-02-15,      -0.120,
2009-03-15,       0.029,
2009-04-15,      -0.095,
2009-05-15,       0.138,
2009-06-15,      -0.013,
2009-07-15,      -0.142,
2009-08-15,       0.226,
2009-09-15,      -0.024,
2009-10-15,      -0.088,
2009-11-15,      -0.008,
2009-12-15,      -0.232,
2010-01-15,       0.001,
2010-02-15,      -0.191,
2010-03-15,       0.056,
2010-04-15,      -0.227,
2010-05-15,       0.255,
2010-06-15,      -0.033,
2010-07-15,      -0.021,
2010-08-15,       0.087,
2010-09-15,      -0.065,
2010-10-15,      -0.131,
2010-11-15,       0.044,
2010-12-15,      -0.272,
2011-01-15,       0.249,
2011-02-15,      -0.211,
2011-03-15,      -0.000,
2011-04-15,      -0.078,
2011-05-15,       0.137,
2011-06-15,      -0.223,
2011-07-15,       0.124,
2011-08-15,      -0.115,
2011-09-15,       0.203,
2011-10-15,      -0.204,
2011-11-15,       0.005,
2011-12-15,      -0.176,
2012-01-15,      -0.114,
2012-02-15,      -0.211,
2012-03-15,      -0.001,
2012-04-15,      -0.113,
2012-05-15,       0.252,
2012-06-15,      -0.167,
2012-07-15,       0.368,
2012-08-15,      -0.416,
2012-09-15,       0.048,
2012-10-15,      -0.254,
2012-11-15,       0.174,
2012-12-15,       0.285,
2013-01-15,       0.099,
2013-02-15,       0.058,
2013-03-15,       0.109,
2013-04-15,      -0.217,
2013-05-15,       0.240,
2013-06-15,      -0.081,
2013-07-15,      -0.040,
2013-08-15,      -0.002,
2013-09-15,       0.110,
2013-10-15,      -0.008,
2013-11-15,       0.039,
2013-12-15,      -0.050,
2014-01-15,      -0.221,
