DATE-YMD,OTHR= OSCAR surface currents v-NS-component (m/s),
1993-01-15,      -0.155,
1993-02-15,      -0.024,
1993-03-15,      -0.033,
1993-04-15,      -0.096,
1993-05-15,      -0.064,
1993-06-15,      -0.016,
1993-07-15,      -0.134,
1993-08-15,      -0.032,
1993-09-15,       0.010,
1993-10-15,       0.001,
1993-11-15,       0.037,
1993-12-15,       0.003,
1994-01-15,       0.041,
1994-02-15,      -0.033,
1994-03-15,       0.001,
1994-04-15,      -0.020,
1994-05-15,      -0.025,
1994-06-15,      -0.156,
1994-07-15,      -0.191,
1994-08-15,      -0.056,
1994-09-15,      -0.260,
1994-10-15,      -0.024,
1994-11-15,      -0.143,
1994-12-15,      -0.129,
1995-01-15,      -0.139,
1995-02-15,      -0.130,
1995-03-15,       0.026,
1995-04-15,       0.033,
1995-05-15,      -0.015,
1995-06-15,      -0.055,
1995-07-15,      -0.085,
1995-08-15,      -0.042,
1995-09-15,      -0.027,
1995-10-15,      -0.065,
1995-11-15,      -0.084,
1995-12-15,      -0.050,
1996-01-15,       0.065,
1996-02-15,      -0.094,
1996-03-15,      -0.018,
1996-04-15,       0.022,
1996-05-15,       0.014,
1996-06-15,      -0.131,
1996-07-15,      -0.174,
1996-08-15,      -0.082,
1996-09-15,       0.148,
1996-10-15,      -0.233,
1996-11-15,       0.017,
1996-12-15,       0.153,
1997-01-15,       0.034,
1997-02-15,      -0.084,
1997-03-15,       0.051,
1997-04-15,      -0.082,
1997-05-15,       0.011,
1997-06-15,      -0.018,
1997-07-15,       0.020,
1997-08-15,      -0.226,
1997-09-15,       0.126,
1997-10-15,      -0.076,
1997-11-15,       0.036,
1997-12-15,      -0.004,
1998-01-15,      -0.027,
1998-02-15,      -0.154,
1998-03-15,       0.001,
1998-04-15,       0.175,
1998-05-15,      -0.073,
1998-06-15,       0.002,
1998-07-15,      -0.078,
1998-08-15,      -0.054,
1998-09-15,      -0.039,
1998-10-15,      -0.207,
1998-11-15,      -0.135,
1998-12-15,       0.016,
1999-01-15,      -0.037,
1999-02-15,       0.045,
1999-03-15,      -0.051,
1999-04-15,      -0.012,
1999-05-15,      -0.010,
1999-06-15,      -0.024,
1999-07-15,      -0.052,
1999-08-15,      -0.025,
1999-09-15,      -0.043,
1999-10-15,      -0.081,
1999-11-15,      -0.148,
1999-12-15,      -0.100,
2000-01-15,      -0.056,
2000-02-15,      -0.079,
2000-03-15,      -0.122,
2000-04-15,      -0.003,
2000-05-15,      -0.015,
2000-06-15,      -0.074,
2000-07-15,      -0.061,
2000-08-15,      -0.114,
2000-09-15,      -0.300,
2000-10-15,      -0.113,
2000-11-15,      -0.135,
2000-12-15,      -0.060,
2001-01-15,      -0.023,
2001-02-15,       0.046,
2001-03-15,       0.225,
2001-04-15,       0.161,
2001-05-15,       0.114,
2001-06-15,      -0.119,
2001-07-15,      -0.151,
2001-08-15,      -0.004,
2001-09-15,      -0.224,
2001-10-15,      -0.180,
2001-11-15,      -0.165,
2001-12-15,      -0.176,
2002-01-15,      -0.093,
2002-02-15,       0.061,
2002-03-15,      -0.058,
2002-04-15,       0.068,
2002-05-15,      -0.024,
2002-06-15,       0.026,
2002-07-15,      -0.108,
2002-08-15,       0.008,
2002-09-15,      -0.219,
2002-10-15,      -0.036,
2002-11-15,      -0.016,
2002-12-15,       0.012,
2003-01-15,       0.118,
2003-02-15,      -0.044,
2003-03-15,      -0.086,
2003-04-15,       0.016,
2003-05-15,      -0.097,
2003-06-15,       0.029,
2003-07-15,       0.019,
2003-08-15,       0.006,
2003-09-15,      -0.167,
2003-10-15,      -0.055,
2003-11-15,      -0.047,
2003-12-15,      -0.063,
2004-01-15,      -0.049,
2004-02-15,      -0.062,
2004-03-15,      -0.044,
2004-04-15,       0.086,
2004-05-15,      -0.049,
2004-06-15,      -0.157,
2004-07-15,       0.043,
2004-08-15,      -0.037,
2004-09-15,       0.010,
2004-10-15,      -0.165,
2004-11-15,       0.068,
2004-12-15,      -0.043,
2005-01-15,       0.056,
2005-02-15,      -0.011,
2005-03-15,      -0.016,
2005-04-15,      -0.096,
2005-05-15,      -0.004,
2005-06-15,       0.020,
2005-07-15,       0.011,
2005-08-15,       0.016,
2005-09-15,       0.017,
2005-10-15,      -0.100,
2005-11-15,      -0.135,
2005-12-15,      -0.113,
2006-01-15,       0.147,
2006-02-15,      -0.035,
2006-03-15,      -0.046,
2006-04-15,      -0.109,
2006-05-15,       0.024,
2006-06-15,       0.001,
2006-07-15,      -0.097,
2006-08-15,      -0.143,
2006-09-15,      -0.073,
2006-10-15,      -0.012,
2006-11-15,      -0.133,
2006-12-15,      -0.098,
2007-01-15,      -0.119,
2007-02-15,      -0.041,
2007-03-15,      -0.000,
2007-04-15,       0.043,
2007-05-15,       0.000,
2007-06-15,       0.032,
2007-07-15,       0.169,
2007-08-15,      -0.065,
2007-09-15,      -0.150,
2007-10-15,       0.015,
2007-11-15,       0.061,
2007-12-15,       0.022,
2009-01-15,       0.052,
2009-02-15,       0.044,
