DATE-YMD,OTHR= CMEMS Mixed Layer Depth (m),
1993-01-15,      14.806,
1993-02-15,      12.589,
1993-03-15,      10.000,
1993-04-15,       9.389,
1993-05-15,       9.446,
1993-06-15,       9.380,
1993-07-15,      10.586,
1993-08-15,      11.082,
1993-09-15,       9.375,
1993-10-15,       9.327,
1993-11-15,       9.914,
1993-12-15,      13.118,
1994-01-15,      15.235,
1994-02-15,      12.126,
1994-03-15,      11.268,
1994-04-15,       9.551,
1994-05-15,       9.337,
1994-06-15,       9.713,
1994-07-15,       9.752,
1994-08-15,       9.446,
1994-09-15,       9.303,
1994-10-15,       9.294,
1994-11-15,       9.485,
1994-12-15,      13.004,
1995-01-15,      15.231,
1995-02-15,      12.288,
1995-03-15,      10.686,
1995-04-15,       9.828,
1995-05-15,       9.337,
1995-06-15,       9.451,
1995-07-15,       9.575,
1995-08-15,       9.766,
1995-09-15,       9.599,
1995-10-15,       9.265,
1995-11-15,       9.547,
1995-12-15,      12.155,
1996-01-15,      14.129,
1996-02-15,      11.115,
1996-03-15,       9.947,
1996-04-15,       9.446,
1996-05-15,       9.518,
1996-06-15,       9.532,
1996-07-15,       9.957,
1996-08-15,       9.718,
1996-09-15,       9.451,
1996-10-15,       9.675,
1996-11-15,      10.329,
1996-12-15,      12.932,
1997-01-15,      12.660,
1997-02-15,      11.139,
1997-03-15,      10.610,
1997-04-15,       9.408,
1997-05-15,       9.418,
1997-06-15,       9.327,
1997-07-15,       9.690,
1997-08-15,       9.375,
1997-09-15,       9.361,
1997-10-15,       9.604,
1997-11-15,      10.629,
1997-12-15,      13.285,
1998-01-15,      13.037,
1998-02-15,       9.480,
1998-03-15,       9.575,
1998-04-15,       9.427,
1998-05-15,       9.461,
1998-06-15,       9.394,
1998-07-15,       9.561,
1998-08-15,       9.365,
1998-09-15,       9.532,
1998-10-15,       9.404,
1998-11-15,      11.335,
1998-12-15,      13.729,
1999-01-15,      13.662,
1999-02-15,      15.250,
1999-03-15,      10.929,
1999-04-15,       9.466,
1999-05-15,       9.671,
1999-06-15,       9.785,
1999-07-15,      10.057,
1999-08-15,      11.077,
1999-09-15,      10.596,
1999-10-15,      10.181,
1999-11-15,      10.262,
1999-12-15,      14.902,
2000-01-15,      14.167,
2000-02-15,      12.613,
2000-03-15,       9.871,
2000-04-15,      10.152,
2000-05-15,       9.704,
2000-06-15,       9.804,
2000-07-15,      11.220,
2000-08-15,       9.861,
2000-09-15,       9.952,
2000-10-15,       9.747,
2000-11-15,      10.715,
2000-12-15,      13.299,
2001-01-15,      13.442,
2001-02-15,      13.071,
2001-03-15,      10.085,
2001-04-15,      10.305,
2001-05-15,       9.728,
2001-06-15,       9.771,
2001-07-15,       9.880,
2001-08-15,       9.671,
2001-09-15,       9.728,
2001-10-15,       9.718,
2001-11-15,      12.865,
2001-12-15,      12.813,
2002-01-15,      13.323,
2002-02-15,      11.273,
2002-03-15,      11.015,
2002-04-15,      10.076,
2002-05-15,       9.556,
2002-06-15,       9.818,
2002-07-15,       9.904,
2002-08-15,       9.466,
2002-09-15,       9.713,
2002-10-15,       9.389,
2002-11-15,      10.877,
2002-12-15,      11.464,
2003-01-15,      14.482,
2003-02-15,      11.683,
2003-03-15,       9.923,
2003-04-15,       9.880,
2003-05-15,       9.761,
2003-06-15,       9.504,
2003-07-15,       9.656,
2003-08-15,      10.281,
2003-09-15,       9.346,
2003-10-15,       9.527,
2003-11-15,      11.258,
2003-12-15,      13.586,
2004-01-15,      15.340,
2004-02-15,      10.829,
2004-03-15,      10.658,
2004-04-15,       9.656,
2004-05-15,       9.713,
2004-06-15,       9.327,
2004-07-15,       9.361,
2004-08-15,       9.527,
2004-09-15,       9.542,
2004-10-15,       9.661,
2004-11-15,      10.844,
2004-12-15,      14.101,
2005-01-15,      14.611,
2005-02-15,      14.577,
2005-03-15,       9.609,
2005-04-15,       9.857,
2005-05-15,       9.899,
2005-06-15,       9.895,
2005-07-15,      10.205,
2005-08-15,      10.009,
2005-09-15,       9.713,
2005-10-15,       9.480,
2005-11-15,      13.166,
2005-12-15,      11.421,
