DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      20.650,
1900-02-15,      19.790,
1900-03-15,      19.800,
1900-04-15,      19.400,
1900-05-15,      19.570,
1900-06-15,      21.080,
1900-07-15,      23.820,
1900-08-15,      25.430,
1900-09-15,      25.890,
1900-10-15,      25.110,
1900-11-15,      23.600,
1900-12-15,      21.080,
1901-01-15,      19.750,
1901-02-15,      19.750,
1901-03-15,      19.980,
1901-04-15,      19.920,
1901-05-15,      20.440,
1901-06-15,      21.780,
1901-07-15,      24.780,
1901-08-15,      25.990,
1901-09-15,      26.340,
1901-10-15,      25.170,
1901-11-15,      23.440,
1901-12-15,      21.660,
1902-01-15,      20.070,
1902-02-15,      19.510,
1902-03-15,      19.780,
1902-04-15,      19.570,
1902-05-15,      19.940,
1902-06-15,      21.260,
1902-07-15,      23.830,
1902-08-15,      25.810,
1902-09-15,      26.540,
1902-10-15,      25.440,
1902-11-15,      23.710,
1902-12-15,      21.560,
1903-01-15,      20.050,
1903-02-15,      19.570,
1903-03-15,      18.700,
1903-04-15,      20.070,
1903-05-15,      19.390,
1903-06-15,      21.430,
1903-07-15,      24.010,
1903-08-15,      25.590,
1903-09-15,      25.580,
1903-10-15,      24.850,
1903-11-15,      23.580,
1903-12-15,      21.270,
1904-01-15,      19.190,
1904-02-15,      18.800,
1904-03-15,      19.170,
1904-04-15,      18.970,
1904-05-15,      19.260,
1904-06-15,      21.410,
1904-07-15,      23.730,
1904-08-15,      26.350,
1904-09-15,      26.520,
1904-10-15,      25.750,
1904-11-15,      24.380,
1904-12-15,      21.870,
1905-01-15,      19.890,
1905-02-15,      18.790,
1905-03-15,      19.120,
1905-04-15,      19.410,
1905-05-15,      19.770,
1905-06-15,      21.500,
1905-07-15,      23.740,
1905-08-15,      26.400,
1905-09-15,      26.390,
1905-10-15,      25.640,
1905-11-15,      23.360,
1905-12-15,      20.970,
1906-01-15,      20.270,
1906-02-15,      18.970,
1906-03-15,      19.100,
1906-04-15,      19.600,
1906-05-15,      19.800,
1906-06-15,      22.640,
1906-07-15,      25.490,
1906-08-15,      27.220,
1906-09-15,      27.310,
1906-10-15,      25.980,
1906-11-15,      24.270,
1906-12-15,      22.300,
1907-01-15,      19.970,
