DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
1982-01-15,      19.071,
1982-02-15,      18.030,
1982-03-15,      18.304,
1982-04-15,      18.869,
1982-05-15,      18.105,
1982-06-15,      19.076,
1982-07-15,      21.370,
1982-08-15,      22.445,
1982-09-15,      22.495,
1982-10-15,      21.336,
1982-11-15,      20.290,
1982-12-15,      18.406,
1983-01-15,      18.363,
1983-02-15,      18.115,
1983-03-15,      19.018,
1983-04-15,      18.145,
1983-05-15,      17.642,
1983-06-15,      19.576,
1983-07-15,      21.569,
1983-08-15,      21.921,
1983-09-15,      22.974,
1983-10-15,      23.511,
1983-11-15,      21.492,
1983-12-15,      19.457,
1984-01-15,      17.510,
1984-02-15,      17.953,
1984-03-15,      18.373,
1984-04-15,      18.597,
1984-05-15,      17.923,
1984-06-15,      19.384,
1984-07-15,      22.029,
1984-08-15,      21.652,
1984-09-15,      21.726,
1984-10-15,      20.926,
1984-11-15,      19.976,
1984-12-15,      18.663,
1985-01-15,      18.251,
1985-02-15,      18.128,
1985-03-15,      17.748,
1985-04-15,      17.883,
1985-05-15,      17.405,
1985-06-15,      18.652,
1985-07-15,      20.973,
1985-08-15,      22.819,
1985-09-15,      24.262,
1985-10-15,      23.760,
1985-11-15,      21.387,
1985-12-15,      19.493,
1986-01-15,      17.312,
1986-02-15,      17.510,
1986-03-15,      17.620,
1986-04-15,      17.427,
1986-05-15,      17.754,
1986-06-15,      18.954,
1986-07-15,      21.577,
1986-08-15,      23.661,
1986-09-15,      25.107,
1986-10-15,      22.537,
1986-11-15,      20.315,
1986-12-15,      18.923,
1987-01-15,      17.919,
1987-02-15,      17.802,
1987-03-15,      19.671,
1987-04-15,      19.489,
1987-05-15,      18.698,
1987-06-15,      20.117,
1987-07-15,      21.283,
1987-08-15,      23.530,
1987-09-15,      23.972,
1987-10-15,      22.903,
1987-11-15,      21.499,
1987-12-15,      20.464,
1988-01-15,      18.316,
1988-02-15,      17.640,
1988-03-15,      19.319,
1988-04-15,      18.338,
1988-05-15,      18.281,
1988-06-15,      18.890,
1988-07-15,      21.024,
1988-08-15,      23.976,
1988-09-15,      25.196,
1988-10-15,      22.165,
1988-11-15,      21.289,
1988-12-15,      19.823,
1989-01-15,      18.264,
1989-02-15,      18.203,
1989-03-15,      18.543,
1989-04-15,      17.635,
1989-05-15,      18.033,
1989-06-15,      19.356,
1989-07-15,      23.165,
1989-08-15,      25.369,
1989-09-15,      24.578,
1989-10-15,      22.807,
1989-11-15,      21.465,
1989-12-15,      20.665,
1990-01-15,      17.900,
1990-02-15,      19.274,
1990-03-15,      19.249,
1990-04-15,      18.832,
1990-05-15,      18.254,
1990-06-15,      18.660,
1990-07-15,      21.842,
1990-08-15,      25.090,
1990-09-15,      25.122,
1990-10-15,      23.568,
1990-11-15,      21.741,
1990-12-15,      19.368,
1991-01-15,      18.285,
1991-02-15,      17.956,
1991-03-15,      17.953,
1991-04-15,      18.118,
1991-05-15,      17.836,
1991-06-15,      19.100,
1991-07-15,      20.925,
1991-08-15,      23.097,
1991-09-15,      24.500,
1991-10-15,      24.137,
1991-11-15,      22.673,
1991-12-15,      20.906,
1992-01-15,      19.927,
1992-02-15,      19.069,
1992-03-15,      18.332,
1992-04-15,      17.822,
1992-05-15,      18.231,
1992-06-15,      18.716,
1992-07-15,      21.399,
1992-08-15,      23.083,
1992-09-15,      24.481,
1992-10-15,      22.408,
1992-11-15,      20.490,
1992-12-15,      19.390,
1993-01-15,      18.096,
1993-02-15,      18.102,
