DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1960-01-15,      18.000,
1961-11-15,       4.900,
1962-02-15,       5.000,
1962-05-15,       7.000,
1962-11-15,       6.480,
1962-12-15,       5.370,
1963-01-15,       3.950,
1963-02-15,       8.620,
1963-03-15,       5.300,
1963-04-15,       8.500,
1963-06-15,       7.610,
1963-07-15,       7.000,
1963-12-15,       3.170,
1964-01-15,       3.310,
1964-02-15,       5.420,
1964-03-15,       6.350,
1964-04-15,       6.710,
1964-05-15,       6.560,
1964-06-15,       6.310,
1964-08-15,       1.920,
1964-09-15,       4.640,
1964-10-15,       6.780,
1964-11-15,       5.920,
1964-12-15,       5.050,
1965-01-15,       6.840,
1965-02-15,       7.240,
1965-03-15,       5.360,
1965-04-15,       5.790,
1965-05-15,       6.940,
1965-06-15,       5.790,
1965-07-15,       3.640,
1965-10-15,       4.600,
1965-11-15,       4.630,
1965-12-15,       3.270,
1966-01-15,       2.850,
1966-02-15,       4.580,
1966-03-15,       5.960,
1966-04-15,       6.280,
1966-05-15,       4.160,
1966-06-15,       7.680,
1966-07-15,       5.550,
1966-08-15,       4.480,
1966-09-15,       4.330,
1966-10-15,       5.020,
1966-11-15,       7.990,
1966-12-15,       3.940,
1967-01-15,       3.810,
1967-02-15,       4.420,
1967-03-15,       5.110,
1967-04-15,       5.660,
1967-05-15,       4.130,
1967-06-15,       5.570,
1967-07-15,       4.800,
1967-08-15,       4.820,
1967-09-15,       6.110,
1967-10-15,       5.760,
1967-11-15,       3.080,
1967-12-15,       4.350,
1968-01-15,       3.420,
1968-02-15,       5.000,
1968-03-15,       3.660,
1968-04-15,       4.310,
1968-05-15,       6.500,
1968-06-15,       5.090,
1968-07-15,       5.380,
1968-08-15,       6.160,
1968-09-15,       4.880,
1968-10-15,       1.920,
1968-11-15,       4.980,
1968-12-15,       3.190,
1969-01-15,       2.670,
1969-02-15,       6.010,
1969-03-15,       3.950,
1969-04-15,       4.490,
1969-05-15,       5.490,
1969-06-15,       5.830,
1969-07-15,       3.270,
1969-08-15,       5.670,
1969-09-15,       3.100,
1969-10-15,       2.970,
1969-11-15,       4.660,
1969-12-15,       4.090,
1970-01-15,       5.280,
1970-02-15,       5.180,
1970-03-15,       5.330,
1970-04-15,       6.470,
1970-05-15,       6.100,
1970-06-15,       6.840,
1970-07-15,       5.970,
1970-08-15,       5.430,
1970-09-15,       6.750,
1970-10-15,       4.130,
1970-11-15,       4.500,
1970-12-15,       5.730,
1971-01-15,       4.890,
1971-02-15,       5.040,
1971-03-15,       5.930,
1971-04-15,       6.960,
1971-05-15,       5.860,
1971-06-15,       5.810,
1971-07-15,       4.580,
1971-08-15,       5.750,
1971-09-15,       5.320,
1971-10-15,       5.610,
1971-11-15,       5.640,
1971-12-15,       5.220,
1972-01-15,       6.370,
1972-02-15,       5.930,
1972-03-15,       6.130,
1972-04-15,       6.810,
1972-05-15,       7.120,
1972-06-15,       6.120,
1972-07-15,       6.310,
1972-08-15,       8.060,
1972-10-15,       8.240,
1972-11-15,       6.640,
1972-12-15,       9.300,
1973-01-15,       5.370,
1973-02-15,       6.550,
1973-03-15,       6.650,
1973-04-15,       8.950,
1973-05-15,       4.750,
1973-06-15,       6.940,
1973-07-15,       8.870,
1973-08-15,       3.090,
1973-09-15,       2.630,
1973-10-15,       4.690,
1973-11-15,       6.330,
1973-12-15,       8.850,
