DATE-YMD,OTHR= CMEMS Mixed Layer Depth (m),
1993-01-15,      17.422,
1993-02-15,      13.992,
1993-03-15,      12.287,
1993-04-15,      12.831,
1993-05-15,      13.063,
1993-06-15,      12.035,
1993-07-15,      10.960,
1993-08-15,      11.385,
1993-09-15,      12.061,
1993-10-15,      11.232,
1993-11-15,      14.324,
1993-12-15,      21.993,
1994-01-15,      21.887,
1994-02-15,      14.204,
1994-03-15,      15.140,
1994-04-15,      11.657,
1994-05-15,      12.698,
1994-06-15,      11.763,
1994-07-15,      10.429,
1994-08-15,      10.635,
1994-09-15,      11.086,
1994-10-15,      10.814,
1994-11-15,      11.683,
1994-12-15,      18.470,
1995-01-15,      23.141,
1995-02-15,      17.064,
1995-03-15,      14.901,
1995-04-15,      12.897,
1995-05-15,      11.796,
1995-06-15,      10.980,
1995-07-15,      10.662,
1995-08-15,      10.595,
1995-09-15,      12.015,
1995-10-15,      10.476,
1995-11-15,      12.738,
1995-12-15,      18.013,
1996-01-15,      20.175,
1996-02-15,      17.382,
1996-03-15,      14.669,
1996-04-15,      13.057,
1996-05-15,      12.148,
1996-06-15,      11.537,
1996-07-15,      10.754,
1996-08-15,      10.947,
1996-09-15,      11.796,
1996-10-15,      11.617,
1996-11-15,      16.666,
1996-12-15,      17.913,
1997-01-15,      19.558,
1997-02-15,      16.812,
1997-03-15,      15.491,
1997-04-15,      13.541,
1997-05-15,      12.154,
1997-06-15,      10.867,
1997-07-15,      11.226,
1997-08-15,      10.310,
1997-09-15,      11.007,
1997-10-15,      10.356,
1997-11-15,      12.964,
1997-12-15,      17.588,
1998-01-15,      19.638,
1998-02-15,      11.969,
1998-03-15,      12.732,
1998-04-15,      16.075,
1998-05-15,      13.103,
1998-06-15,      11.365,
1998-07-15,      11.186,
1998-08-15,      10.516,
1998-09-15,      11.186,
1998-10-15,      11.657,
1998-11-15,      13.919,
1998-12-15,      22.889,
1999-01-15,      25.947,
1999-02-15,      24.488,
1999-03-15,      13.408,
1999-04-15,      12.712,
1999-05-15,      13.004,
1999-06-15,      12.805,
1999-07-15,      11.478,
1999-08-15,      10.741,
1999-09-15,      12.075,
1999-10-15,      12.685,
1999-11-15,      13.932,
1999-12-15,      21.721,
2000-01-15,      20.527,
2000-02-15,      15.770,
2000-03-15,      11.564,
2000-04-15,      14.158,
2000-05-15,      12.433,
2000-06-15,      11.099,
2000-07-15,      11.982,
2000-08-15,      11.060,
2000-09-15,      12.420,
2000-10-15,      11.942,
2000-11-15,      14.032,
2000-12-15,      17.774,
2001-01-15,      20.607,
2001-02-15,      16.261,
2001-03-15,      13.209,
2001-04-15,      14.463,
2001-05-15,      13.063,
2001-06-15,      11.624,
2001-07-15,      10.980,
2001-08-15,      11.206,
2001-09-15,      11.312,
2001-10-15,      11.358,
2001-11-15,      15.505,
2001-12-15,      15.392,
2002-01-15,      21.907,
2002-02-15,      17.741,
2002-03-15,      16.606,
2002-04-15,      15.001,
2002-05-15,      13.753,
2002-06-15,      11.882,
2002-07-15,      11.624,
2002-08-15,      10.854,
2002-09-15,      10.781,
2002-10-15,      11.000,
2002-11-15,      15.153,
2002-12-15,      15.153,
2003-01-15,      22.763,
2003-02-15,      17.157,
2003-03-15,      13.475,
2003-04-15,      13.123,
2003-05-15,      13.096,
2003-06-15,      11.385,
2003-07-15,      10.681,
2003-08-15,      11.026,
2003-09-15,      10.993,
2003-10-15,      11.570,
2003-11-15,      13.932,
2003-12-15,      16.772,
2004-01-15,      23.148,
2004-02-15,      14.662,
2004-03-15,      16.294,
2004-04-15,      13.760,
2004-05-15,      13.475,
2004-06-15,      11.624,
2004-07-15,      10.701,
2004-08-15,      10.443,
2004-09-15,      11.060,
2004-10-15,      11.113,
2004-11-15,      13.561,
2004-12-15,      21.224,
2005-01-15,      19.757,
2005-02-15,      17.495,
2005-03-15,      11.013,
2005-04-15,      12.950,
2005-05-15,      12.327,
2005-06-15,      10.914,
2005-07-15,      11.657,
2005-08-15,      11.040,
2005-09-15,      12.028,
2005-10-15,      10.595,
2005-11-15,      16.062,
2005-12-15,      17.800,
2006-01-15,      20.839,
2006-02-15,      17.263,
2006-03-15,      12.950,
2006-04-15,      13.355,
2006-05-15,      12.406,
2006-06-15,      11.849,
2006-07-15,      11.119,
2006-08-15,      10.894,
2006-09-15,      11.504,
2006-10-15,      11.007,
2006-11-15,      12.944,
2006-12-15,      20.381,
2007-01-15,      18.716,
2007-02-15,      17.070,
2007-03-15,      17.555,
2007-04-15,      15.073,
2007-05-15,      14.191,
2007-06-15,      12.413,
2007-07-15,      10.761,
2007-08-15,      11.670,
2007-09-15,      10.774,
2007-10-15,      12.015,
2007-11-15,      13.156,
2007-12-15,      21.708,
2008-01-15,      22.179,
2008-02-15,      12.393,
2008-03-15,      12.287,
2008-04-15,      13.077,
2008-05-15,      11.823,
2008-06-15,      11.285,
2008-07-15,      10.496,
2008-08-15,      10.595,
2008-09-15,      11.305,
2008-10-15,      13.368,
2008-11-15,      13.481,
2008-12-15,      23.148,
2009-01-15,      20.189,
2009-02-15,      19.048,
2009-03-15,      13.236,
2009-04-15,      15.332,
2009-05-15,      13.335,
2009-06-15,      10.761,
2009-07-15,      10.317,
2009-08-15,      11.060,
2009-09-15,      11.988,
2009-10-15,      12.964,
2009-11-15,      13.621,
2009-12-15,      14.602,
2010-01-15,      17.263,
2010-02-15,      11.405,
2010-03-15,      14.742,
2010-04-15,      13.083,
2010-05-15,      14.105,
2010-06-15,      11.597,
2010-07-15,      10.748,
2010-08-15,      10.489,
2010-09-15,      10.821,
2010-10-15,      11.915,
2010-11-15,      14.510,
2010-12-15,      17.369,
2011-01-15,      23.546,
2011-02-15,      23.440,
2011-03-15,      18.417,
2011-04-15,      12.479,
2011-05-15,      11.756,
2011-06-15,      11.166,
2011-07-15,      11.040,
2011-08-15,      10.788,
2011-09-15,      11.776,
2011-10-15,      11.683,
2011-11-15,      16.692,
2011-12-15,      23.453,
2012-01-15,      22.823,
2012-02-15,      24.979,
2012-03-15,      14.954,
2012-04-15,      12.864,
2012-05-15,      11.929,
2012-06-15,      11.657,
2012-07-15,      10.383,
2012-08-15,      10.290,
2012-09-15,      11.186,
2012-10-15,      12.413,
2012-11-15,      12.738,
2012-12-15,      19.326,
2013-01-15,      21.025,
2013-02-15,      16.049,
2013-03-15,      11.816,
2013-04-15,      12.453,
2013-05-15,      13.329,
2013-06-15,      12.897,
2013-07-15,      10.396,
2013-08-15,      10.257,
2013-09-15,      11.703,
2013-10-15,      11.411,
2013-11-15,      14.092,
2013-12-15,      17.349,
2014-01-15,      20.567,
2014-02-15,      21.416,
2014-03-15,      14.563,
2014-04-15,      11.504,
2014-05-15,      11.425,
2014-06-15,      11.385,
2014-07-15,      10.436,
2014-08-15,      10.237,
2014-09-15,      11.365,
2014-10-15,      11.000,
2014-11-15,      12.181,
2014-12-15,      18.245,
