DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1950-01-15,      36.023,
1950-02-15,      36.012,
1950-03-15,      35.976,
1950-04-15,      35.983,
1950-05-15,      35.984,
1950-06-15,      36.000,
1950-07-15,      36.044,
1950-08-15,      36.050,
1950-09-15,      36.038,
1950-10-15,      36.029,
1950-11-15,      35.716,
1950-12-15,      35.748,
1951-01-15,      35.787,
1951-02-15,      35.804,
1951-03-15,      35.789,
1951-04-15,      35.790,
1951-05-15,      35.811,
1951-06-15,      35.843,
1951-07-15,      35.903,
1951-08-15,      35.930,
1951-09-15,      35.935,
1951-10-15,      35.931,
1951-11-15,      35.911,
1951-12-15,      35.923,
1952-01-15,      35.948,
1952-02-15,      36.044,
1952-03-15,      36.000,
1952-04-15,      35.982,
1952-05-15,      35.984,
1952-06-15,      35.998,
1952-07-15,      36.042,
1952-08-15,      36.066,
1952-09-15,      36.056,
1952-10-15,      36.037,
1952-11-15,      36.006,
1952-12-15,      36.008,
1953-01-15,      36.024,
1953-02-15,      36.012,
1953-03-15,      35.976,
1953-04-15,      35.961,
1953-05-15,      35.973,
1953-06-15,      35.991,
1953-07-15,      36.036,
1953-08-15,      36.053,
1953-09-15,      36.046,
1953-10-15,      36.030,
1953-11-15,      36.000,
1953-12-15,      36.003,
1954-01-15,      36.018,
1954-02-15,      36.009,
1954-03-15,      35.973,
1954-04-15,      35.958,
1954-05-15,      35.960,
1954-06-15,      35.979,
1954-07-15,      36.023,
1954-08-15,      36.036,
1954-09-15,      36.029,
1954-10-15,      36.015,
1954-11-15,      35.987,
1954-12-15,      35.992,
1955-01-15,      36.009,
1955-02-15,      35.999,
1955-03-15,      35.964,
1955-04-15,      35.949,
1955-05-15,      35.954,
1955-06-15,      35.974,
1955-07-15,      36.022,
1955-08-15,      36.053,
1955-09-15,      36.045,
1955-10-15,      36.030,
1955-11-15,      36.000,
1955-12-15,      36.004,
1956-01-15,      36.014,
1956-02-15,      36.001,
1956-03-15,      35.966,
1956-04-15,      35.952,
1956-05-15,      35.961,
1956-06-15,      35.979,
1956-07-15,      36.025,
1956-08-15,      36.037,
1956-09-15,      36.036,
1956-10-15,      36.022,
1956-11-15,      35.993,
1956-12-15,      35.996,
1957-01-15,      36.012,
1957-02-15,      35.918,
1957-03-15,      35.896,
1957-04-15,      35.888,
1957-05-15,      35.953,
1957-06-15,      35.972,
1957-07-15,      36.009,
1957-08-15,      35.939,
1957-09-15,      35.852,
1957-10-15,      35.954,
1957-11-15,      35.882,
1957-12-15,      35.846,
1958-01-15,      35.797,
1958-02-15,      35.803,
1958-03-15,      35.993,
1958-04-15,      35.928,
1958-05-15,      35.929,
1958-06-15,      35.872,
1958-07-15,      35.936,
1958-08-15,      35.963,
1958-09-15,      35.675,
1958-10-15,      35.496,
1958-11-15,      35.297,
1958-12-15,      35.726,
1959-01-15,      36.013,
1959-02-15,      36.009,
1959-03-15,      35.974,
1959-04-15,      35.957,
1959-05-15,      35.940,
1959-06-15,      35.937,
1959-07-15,      35.926,
1959-08-15,      36.024,
1959-09-15,      36.046,
1959-10-15,      35.935,
1959-11-15,      35.744,
1959-12-15,      35.877,
1960-01-15,      35.772,
1960-02-15,      35.789,
1960-03-15,      35.772,
1960-04-15,      35.730,
1960-05-15,      35.716,
1960-06-15,      35.766,
1960-07-15,      35.833,
1960-08-15,      35.874,
1960-09-15,      35.889,
1960-10-15,      35.907,
1960-11-15,      35.864,
1960-12-15,      35.875,
1961-01-15,      35.907,
1961-02-15,      36.042,
1961-03-15,      35.841,
1961-04-15,      35.832,
1961-05-15,      35.732,
1961-06-15,      35.910,
1961-07-15,      36.062,
1961-08-15,      36.039,
1961-09-15,      36.035,
1961-10-15,      36.019,
1961-11-15,      35.967,
1961-12-15,      35.974,
1962-01-15,      36.005,
1962-02-15,      35.987,
1962-03-15,      35.950,
1962-04-15,      35.936,
1962-05-15,      35.939,
1962-06-15,      35.994,
1962-07-15,      35.956,
1962-08-15,      36.003,
1962-09-15,      35.877,
1962-10-15,      35.771,
1962-11-15,      35.991,
1962-12-15,      35.938,
1963-01-15,      36.071,
1963-02-15,      36.113,
1963-03-15,      36.068,
1963-04-15,      36.071,
1963-05-15,      36.077,
1963-06-15,      36.081,
1963-07-15,      35.982,
1963-08-15,      35.899,
1963-09-15,      36.019,
1963-10-15,      35.935,
1963-11-15,      35.814,
1963-12-15,      35.843,
1964-01-15,      35.966,
1964-02-15,      35.960,
1964-03-15,      35.935,
1964-04-15,      35.944,
1964-05-15,      35.899,
1964-06-15,      35.841,
1964-07-15,      35.900,
1964-08-15,      35.905,
1964-09-15,      35.902,
1964-10-15,      35.867,
1964-11-15,      35.890,
1964-12-15,      35.870,
1965-01-15,      35.858,
1965-02-15,      35.971,
1965-03-15,      36.009,
1965-04-15,      35.833,
1965-05-15,      35.823,
1965-06-15,      35.823,
1965-07-15,      35.776,
1965-08-15,      35.832,
1965-09-15,      35.847,
1965-10-15,      35.734,
1965-11-15,      35.732,
1965-12-15,      35.782,
1966-01-15,      35.629,
1966-02-15,      35.859,
1966-03-15,      35.939,
1966-04-15,      35.835,
1966-05-15,      35.850,
1966-06-15,      35.861,
1966-07-15,      35.924,
1966-08-15,      35.834,
1966-09-15,      35.620,
1966-10-15,      35.333,
1966-11-15,      35.730,
1966-12-15,      35.850,
1967-01-15,      35.926,
1967-02-15,      35.883,
1967-03-15,      35.845,
1967-04-15,      35.829,
1967-05-15,      35.758,
1967-06-15,      35.832,
1967-07-15,      36.051,
