DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      20.030,
1900-02-15,      19.200,
1900-03-15,      19.280,
1900-04-15,      18.740,
1900-05-15,      18.680,
1900-06-15,      19.590,
1900-07-15,      22.010,
1900-08-15,      23.770,
1900-09-15,      24.010,
1900-10-15,      23.130,
1900-11-15,      22.010,
1900-12-15,      19.970,
1901-01-15,      19.020,
1901-02-15,      19.060,
1901-03-15,      19.390,
1901-04-15,      19.230,
1901-05-15,      19.590,
1901-06-15,      20.300,
1901-07-15,      23.080,
1901-08-15,      24.360,
1901-09-15,      24.500,
1901-10-15,      23.230,
1901-11-15,      21.890,
1901-12-15,      20.690,
1902-01-15,      19.480,
1902-02-15,      19.030,
1902-03-15,      19.280,
1902-04-15,      18.950,
1902-05-15,      19.090,
1902-06-15,      19.870,
1902-07-15,      22.030,
1902-08-15,      24.240,
1902-09-15,      24.780,
1902-10-15,      23.590,
1902-11-15,      22.180,
1902-12-15,      20.610,
1903-01-15,      19.410,
1903-02-15,      19.020,
1903-03-15,      18.110,
1903-04-15,      19.450,
1903-05-15,      18.500,
1903-06-15,      20.020,
1903-07-15,      22.200,
1903-08-15,      24.000,
1903-09-15,      23.720,
1903-10-15,      22.870,
1903-11-15,      22.070,
1903-12-15,      20.300,
1904-01-15,      18.510,
1904-02-15,      18.390,
1904-03-15,      18.850,
1904-04-15,      18.440,
1904-05-15,      18.490,
1904-06-15,      20.200,
1904-07-15,      22.090,
1904-08-15,      25.010,
1904-09-15,      24.910,
1904-10-15,      23.980,
1904-11-15,      22.930,
1904-12-15,      20.960,
1905-01-15,      19.300,
1905-02-15,      18.210,
1905-03-15,      18.620,
1905-04-15,      18.800,
1905-05-15,      19.010,
1905-06-15,      20.130,
1905-07-15,      22.080,
1905-08-15,      25.060,
1905-09-15,      24.690,
1905-10-15,      23.800,
1905-11-15,      21.960,
1905-12-15,      19.990,
1906-01-15,      19.570,
1906-02-15,      18.250,
1906-03-15,      18.350,
1906-04-15,      18.910,
1906-05-15,      19.020,
1906-06-15,      21.230,
1906-07-15,      23.880,
1906-08-15,      25.720,
1906-09-15,      25.630,
1906-10-15,      24.000,
1906-11-15,      22.660,
1906-12-15,      21.320,
1907-01-15,      19.190,
1907-02-15,      17.980,
1907-03-15,      17.930,
1907-04-15,      18.250,
1907-05-15,      19.070,
1907-06-15,      19.960,
1907-07-15,      22.450,
1907-08-15,      24.180,
1907-09-15,      25.190,
1907-10-15,      23.880,
1907-11-15,      21.990,
1907-12-15,      20.300,
1908-01-15,      18.670,
1908-02-15,      18.090,
1908-03-15,      17.840,
1908-04-15,      17.940,
1908-05-15,      18.540,
1908-06-15,      19.930,
1908-07-15,      22.360,
1908-08-15,      24.020,
1908-09-15,      24.910,
1908-10-15,      23.710,
1908-11-15,      23.380,
1908-12-15,      21.810,
1909-01-15,      19.240,
1909-02-15,      18.500,
1909-03-15,      18.930,
1909-04-15,      19.090,
1909-05-15,      19.780,
1909-06-15,      20.240,
1909-07-15,      22.700,
1909-08-15,      25.370,
1909-09-15,      25.120,
1909-10-15,      24.190,
1909-11-15,      22.780,
1909-12-15,      21.510,
1910-01-15,      19.480,
1910-02-15,      18.160,
1910-03-15,      17.810,
1910-04-15,      18.580,
1910-05-15,      18.840,
1910-06-15,      19.440,
1910-07-15,      22.170,
1910-08-15,      24.490,
1910-09-15,      26.200,
1910-10-15,      24.640,
1910-11-15,      24.070,
1910-12-15,      20.960,
1911-01-15,      18.710,
1911-02-15,      17.950,
1911-03-15,      17.830,
1911-04-15,      19.130,
1911-05-15,      19.120,
1911-06-15,      19.430,
1911-07-15,      21.930,
1911-08-15,      24.130,
1911-09-15,      25.160,
1911-10-15,      24.080,
1911-11-15,      22.360,
1911-12-15,      20.780,
1912-01-15,      19.800,
1912-02-15,      19.540,
1912-03-15,      19.600,
1912-04-15,      19.240,
1912-05-15,      19.360,
1912-06-15,      20.260,
1912-07-15,      22.030,
1912-08-15,      23.530,
1912-09-15,      25.340,
1912-10-15,      23.480,
1912-11-15,      22.520,
1912-12-15,      19.590,
1913-01-15,      18.510,
1913-02-15,      18.490,
1913-03-15,      18.810,
1913-04-15,      18.770,
1913-05-15,      18.840,
1913-06-15,      19.890,
1913-07-15,      22.980,
1913-08-15,      23.610,
1913-09-15,      23.080,
1913-10-15,      22.850,
1913-11-15,      22.240,
1913-12-15,      20.340,
1914-01-15,      19.200,
1914-02-15,      18.180,
1914-03-15,      18.400,
1914-04-15,      18.420,
1914-05-15,      19.000,
1914-06-15,      19.980,
1914-07-15,      22.650,
1914-08-15,      25.250,
1914-09-15,      24.450,
1914-10-15,      23.920,
1914-11-15,      22.100,
1914-12-15,      20.920,
1915-01-15,      19.160,
1915-02-15,      18.190,
1915-03-15,      19.340,
1915-04-15,      19.070,
1915-05-15,      19.880,
1915-06-15,      20.800,
1915-07-15,      23.660,
1915-08-15,      25.870,
1915-09-15,      25.700,
1915-10-15,      23.840,
1915-11-15,      23.010,
1915-12-15,      21.320,
1916-01-15,      19.400,
1916-02-15,      18.180,
1916-03-15,      18.540,
1916-04-15,      18.540,
1916-05-15,      19.360,
1916-06-15,      20.160,
1916-07-15,      22.650,
1916-08-15,      25.160,
1916-09-15,      25.690,
1916-10-15,      24.280,
1916-11-15,      22.040,
1916-12-15,      20.130,
1917-01-15,      19.640,
1917-02-15,      18.190,
1917-03-15,      18.680,
1917-04-15,      19.220,
1917-05-15,      19.480,
1917-06-15,      20.670,
1917-07-15,      23.030,
1917-08-15,      24.520,
1917-09-15,      24.680,
1917-10-15,      23.510,
1917-11-15,      22.170,
1917-12-15,      21.460,
1918-01-15,      19.870,
1918-02-15,      18.970,
1918-03-15,      18.800,
1918-04-15,      19.130,
1918-05-15,      19.450,
1918-06-15,      20.500,
1918-07-15,      22.540,
1918-08-15,      24.160,
1918-09-15,      23.590,
1918-10-15,      22.710,
1918-11-15,      21.750,
1918-12-15,      20.330,
1919-01-15,      19.350,
1919-02-15,      19.070,
1919-03-15,      19.570,
1919-04-15,      19.210,
1919-05-15,      19.330,
1919-06-15,      20.340,
1919-07-15,      21.970,
1919-08-15,      24.670,
1919-09-15,      25.490,
1919-10-15,      24.510,
1919-11-15,      23.350,
1919-12-15,      20.750,
1920-01-15,      18.580,
1920-02-15,      18.140,
1920-03-15,      18.910,
1920-04-15,      19.070,
1920-05-15,      19.570,
1920-06-15,      20.010,
1920-07-15,      21.480,
1920-08-15,      24.180,
1920-09-15,      24.770,
1920-10-15,      24.270,
1920-11-15,      21.980,
1920-12-15,      20.390,
1921-01-15,      19.160,
1921-02-15,      18.390,
1921-03-15,      18.650,
1921-04-15,      18.770,
1921-05-15,      18.680,
1921-06-15,      19.640,
1921-07-15,      22.690,
1921-08-15,      24.170,
1921-09-15,      23.930,
1921-10-15,      24.090,
1921-11-15,      22.320,
1921-12-15,      20.250,
1922-01-15,      18.860,
1922-02-15,      18.700,
1922-03-15,      18.270,
1922-04-15,      18.120,
1922-05-15,      18.750,
1922-06-15,      19.880,
1922-07-15,      22.330,
1922-08-15,      24.200,
1922-09-15,      24.330,
1922-10-15,      24.180,
1922-11-15,      23.360,
1922-12-15,      21.570,
1923-01-15,      18.780,
1923-02-15,      17.900,
1923-03-15,      18.520,
1923-04-15,      18.260,
1923-05-15,      18.650,
1923-06-15,      19.290,
1923-07-15,      22.500,
1923-08-15,      24.980,
1923-09-15,      25.850,
1923-10-15,      23.980,
1923-11-15,      22.630,
1923-12-15,      21.190,
