DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1960-08-15,       5.270,
1961-06-15,       8.200,
1962-01-15,       5.900,
1963-06-15,       5.100,
1964-03-15,       5.820,
1965-03-15,       9.620,
1965-04-15,      10.870,
1965-05-15,       4.100,
1965-10-15,       5.220,
1965-11-15,       4.830,
1966-06-15,      11.170,
1966-11-15,       4.320,
1966-12-15,       5.170,
1967-03-15,       9.060,
1967-06-15,      11.160,
1967-08-15,       6.880,
1967-09-15,       5.100,
1967-10-15,       1.430,
1967-11-15,       6.170,
1967-12-15,       4.530,
1968-01-15,       5.610,
1968-04-15,       5.510,
1968-05-15,       7.980,
1968-07-15,       4.700,
1968-08-15,       5.560,
1968-09-15,       4.880,
1968-10-15,       6.330,
1968-11-15,       2.050,
1968-12-15,       4.700,
1969-01-15,       1.370,
1969-02-15,       9.140,
1969-04-15,       1.830,
1969-05-15,       8.000,
1969-06-15,       6.170,
1969-07-15,       6.530,
1970-01-15,       5.720,
1970-03-15,       1.230,
1970-04-15,      10.120,
1970-05-15,       9.350,
1970-07-15,       8.720,
1970-11-15,       5.470,
1971-01-15,       3.400,
1971-03-15,       8.380,
1971-06-15,       7.290,
1971-08-15,       6.320,
1971-09-15,      11.920,
1971-10-15,       9.300,
1971-12-15,       5.080,
1972-01-15,       8.170,
1972-02-15,       7.500,
1972-03-15,       5.650,
1972-04-15,       7.210,
1972-05-15,       7.620,
1972-07-15,       8.770,
1972-08-15,       3.340,
1972-09-15,       4.630,
1972-10-15,       5.670,
1972-12-15,       8.470,
1973-01-15,       6.090,
1973-02-15,       3.480,
1973-03-15,       6.910,
1973-04-15,       5.100,
1973-05-15,       8.970,
1973-06-15,       5.420,
1973-07-15,       9.700,
1973-09-15,       7.810,
1973-10-15,       6.090,
1973-11-15,       5.750,
1974-04-15,       8.430,
1974-08-15,       4.800,
1974-09-15,       6.270,
1974-11-15,       7.430,
1974-12-15,       5.440,
1975-02-15,       6.470,
1975-03-15,       8.760,
1975-04-15,       5.810,
1975-06-15,       7.910,
1975-11-15,       5.770,
1976-01-15,       9.660,
1976-02-15,       5.810,
1976-03-15,       7.120,
1976-06-15,       7.970,
1976-07-15,       4.560,
1976-08-15,       3.780,
1976-09-15,      12.550,
1976-10-15,       8.730,
1977-03-15,       5.680,
1977-04-15,       4.840,
1977-05-15,       9.110,
1977-06-15,       9.690,
1977-07-15,       8.310,
1977-08-15,       8.660,
1977-09-15,       7.250,
1977-10-15,       7.910,
1977-11-15,       4.740,
1977-12-15,       6.380,
1978-01-15,       6.480,
1978-02-15,       4.140,
1978-03-15,       7.290,
1978-04-15,       3.910,
1978-05-15,       6.710,
1978-06-15,       9.080,
1978-07-15,       4.570,
1978-08-15,       6.870,
1978-09-15,       2.630,
1978-10-15,       2.310,
1978-11-15,       9.110,
1978-12-15,       5.790,
1979-01-15,       5.280,
1979-02-15,       2.920,
1979-03-15,       5.750,
1979-04-15,       3.080,
1979-05-15,       3.600,
1979-06-15,       9.800,
1979-07-15,       5.750,
1979-08-15,       5.830,
1979-09-15,       3.880,
1979-10-15,       4.960,
1979-11-15,       3.310,
1979-12-15,       5.830,
1980-01-15,       0.770,
1980-03-15,       2.600,
1980-04-15,       7.660,
1980-06-15,       5.950,
1980-07-15,       5.100,
1980-09-15,       6.640,
1980-11-15,      10.700,
1981-03-15,       8.220,
1981-04-15,       6.570,
1981-05-15,       9.350,
1981-06-15,       7.360,
1981-07-15,       6.200,
1981-10-15,       2.090,
1981-11-15,       7.320,
1981-12-15,       2.950,
1982-01-15,       7.070,
1982-02-15,       5.040,
1982-03-15,      11.120,
1982-05-15,       8.940,
1982-07-15,       8.310,
1982-09-15,      10.800,
1982-10-15,      11.800,
1982-11-15,       3.610,
1982-12-15,       8.850,
1983-01-15,       2.870,
1983-02-15,       2.690,
1983-03-15,       5.640,
1983-04-15,       5.600,
1983-05-15,       8.680,
1983-07-15,       4.640,
1983-08-15,       4.510,
1983-09-15,       4.880,
1983-10-15,       6.230,
1983-11-15,       6.620,
1984-01-15,       8.200,
1984-03-15,       5.240,
1984-04-15,       3.820,
1984-05-15,       5.670,
1984-06-15,       9.060,
1984-08-15,       8.590,
1984-09-15,       3.820,
1984-10-15,       7.180,
1984-12-15,       4.920,
1985-01-15,       8.170,
1985-02-15,       5.200,
1985-03-15,       6.050,
1985-06-15,       6.930,
1985-08-15,       4.880,
1985-09-15,       5.070,
1985-10-15,       4.820,
1985-11-15,       5.280,
1985-12-15,       5.000,
1986-02-15,       5.430,
1986-03-15,       2.680,
1986-05-15,       9.490,
1986-06-15,       4.280,
1986-07-15,       7.260,
1986-08-15,       5.070,
1986-09-15,       4.550,
1986-10-15,       5.630,
1986-11-15,       3.520,
1987-02-15,       4.120,
1987-03-15,       3.480,
1987-04-15,       4.370,
1987-05-15,       4.640,
1987-06-15,       5.800,
1987-07-15,       6.160,
1987-08-15,       5.670,
1987-09-15,       5.190,
1987-10-15,       6.270,
1987-11-15,       3.030,
1987-12-15,       3.140,
1988-01-15,       4.600,
1988-04-15,       4.850,
1988-05-15,       7.670,
1988-06-15,       8.910,
1988-07-15,       3.270,
1988-08-15,       6.510,
1988-09-15,       8.840,
1988-11-15,       5.520,
1988-12-15,       7.320,
1989-01-15,       6.920,
1989-02-15,       8.960,
1989-03-15,       6.340,
1989-05-15,       5.870,
1989-06-15,       6.190,
1989-07-15,       6.160,
1989-09-15,       2.920,
1990-01-15,       3.900,
1990-02-15,       2.880,
1990-03-15,       3.910,
1990-04-15,       4.670,
1990-05-15,       5.170,
1990-06-15,       6.750,
