DATE-YMD,OTHR= SeaWinds scalar Windspeed (m/s),
1998-01-15,       4.342,
1998-02-15,       3.908,
1998-03-15,       3.300,
1998-04-15,       7.153,
1998-05-15,       6.545,
1998-06-15,       7.307,
1998-07-15,       6.200,
1998-08-15,       3.657,
1998-09-15,       4.495,
1998-10-15,       2.267,
1998-11-15,       4.667,
1998-12-15,       6.150,
1999-01-15,       7.199,
1999-02-15,       8.155,
1999-03-15,       7.621,
1999-04-15,       5.354,
1999-05-15,       7.319,
1999-06-15,       7.896,
1999-07-15,       8.661,
1999-08-15,       7.207,
1999-09-15,       7.388,
1999-10-15,       7.647,
1999-11-15,       5.947,
1999-12-15,       6.063,
2000-01-15,       6.484,
2000-02-15,       5.702,
2000-03-15,       6.802,
2000-04-15,       9.104,
2000-05-15,       9.430,
2000-06-15,       9.149,
2000-07-15,       8.250,
2000-08-15,       8.049,
2000-09-15,       8.106,
2000-10-15,       8.086,
2000-11-15,       6.268,
2000-12-15,       6.012,
2001-01-15,       6.697,
2001-02-15,       6.470,
2001-03-15,       8.312,
2001-04-15,       9.022,
2001-05-15,       9.444,
2001-06-15,       9.526,
2001-07-15,       7.964,
2001-08-15,       7.848,
2001-09-15,       7.837,
2001-10-15,       7.077,
2001-11-15,       6.449,
2001-12-15,       4.460,
2002-01-15,       6.235,
2002-02-15,       5.783,
2002-03-15,       8.284,
2002-04-15,       8.498,
2002-05-15,       9.235,
2002-06-15,       9.443,
2002-07-15,       9.170,
2002-08-15,       8.377,
2002-09-15,       7.455,
2002-10-15,       6.919,
2002-11-15,       6.920,
2002-12-15,       5.015,
2003-01-15,       6.971,
2003-02-15,       7.847,
2003-03-15,       7.377,
2003-04-15,       8.997,
2003-05-15,       8.735,
2003-06-15,       8.738,
2003-07-15,       8.327,
2003-08-15,       6.782,
2003-09-15,       7.317,
2003-10-15,       7.373,
2003-11-15,       6.707,
2003-12-15,       4.969,
2004-01-15,       7.006,
2004-02-15,       6.440,
2004-03-15,       7.412,
2004-04-15,       9.034,
2004-05-15,       9.132,
2004-06-15,       8.982,
2004-07-15,       7.378,
2004-08-15,       7.500,
2004-09-15,       7.868,
2004-10-15,       7.167,
2004-11-15,       5.082,
2004-12-15,       6.271,
2005-01-15,       5.897,
2005-02-15,       6.903,
2005-03-15,       7.356,
2005-04-15,       9.548,
2005-05-15,       8.813,
2005-06-15,       8.437,
2005-07-15,       8.451,
2005-08-15,       7.392,
2005-09-15,       7.663,
2005-10-15,       6.786,
2005-11-15,       6.566,
2005-12-15,       5.151,
2006-01-15,       6.599,
2006-02-15,       6.893,
2006-03-15,       7.497,
2006-04-15,       9.473,
2006-05-15,       9.052,
2006-06-15,       9.304,
2006-07-15,       8.557,
2006-08-15,       7.539,
2006-09-15,       6.983,
2006-10-15,       7.213,
2006-11-15,       5.370,
2006-12-15,       5.976,
2007-01-15,       5.373,
2007-02-15,       7.243,
2007-03-15,       8.447,
2007-04-15,       9.378,
