"Year","Temperature","Net_Primary_Production","Sea_Surface_Salinity","Chlorophyll","Currents","Windspeed"
"1998-02-15",20.636,485.587,36.052,3.3575,-0.057,1.5335
"1998-04-15",20.2925,1237.569,35.889,3.358,0.178,2.4405
"1999-02-15",17.9995,772.449,35.947,2.4945,0.073,1.25975
"1999-09-15",25.6385,534.475,36.058,5.0085,-0.0515,0.63075
"1999-10-15",24.6835,786.954,36.057,4.131,0.037,1.039
"1999-11-15",22.84,406.11,36.036,5.274,-0.115,0.99725
"2000-03-15",20.416,772.989,36.004,4.527,-0.098,1.11225
"2000-04-15",20.2505,751.564,35.969,4.19,-0.058,2.08875
"2001-01-15",19.287,661.253,36.029,3.5355,0.0495,1.1085
"2001-02-15",18.697,640.782,35.998,3.307,0.093,1.26975
"2001-03-15",20.341,960.325,35.947,3.1825,0.1525,3.18125
"2001-04-15",19.533,515.845,35.95,5.7695,0.0915,3.6505
"2001-08-15",26.6275,621.145,36.024,4.765,0.0855,1.5325
"2002-01-15",21.173,474.719,35.99,3.5785,-0.012,1.58675
"2002-02-15",19.9465,683.999,35.977,2.945,0.056,1.496
"2002-07-15",22.9775,394.717,36.099,7.2585,0.0515,2.22175
"2002-09-15",24.875,579.292,36.157,12.0685,-0.0115,1.42325
"2003-06-15",22.107,572.844,36.166,4.791,-0.138,1.41325
"2003-08-15",25.9435,676.972,36.194,8.084,-0.113,2.5185
"2003-12-15",20.642,228.258,36.176,5.442,-0.146,0.46675
"2004-04-15",20.172,803.639,36.006,3.4305,-0.1345,1.9345
"2004-05-15",20.339,616.352,36.046,4.2665,0.1645,1.379
"2004-06-15",21.7195,347.944,35.994,5.254,-0.12,2.013
"2004-10-15",24.7945,88.322,35.968,10.672,-0.352,1.794
"2004-11-15",23.5905,44.906,35.933,11.4075,0.124,1.14375
"2004-12-15",20.7625,126.208,35.944,9.1435,0.0195,2.615
"2005-03-15",20.375,851.592,35.912,3.154,0.2755,2.02
"2005-05-15",21.0875,549.287,36.006,3.8035,-0.077,1.10875
"2005-06-15",22.7755,312.899,36.045,6.4395,0.066,2.6185
"2005-08-15",25.048,76.608,36.134,11.2325,0.09,2.1935
"2005-09-15",26.4975,86.888,36.109,9.784,0.1175,1.772
"2007-04-15",20.4875,395.232,36.123,8.0065,0.24,1.459
"2007-06-15",21.858,236.02,36.096,10.4455,0.195,1.84325
"2007-08-15",24.0765,164.917,36.145,11.886,0.1505,2.20575
"2009-03-15",19.7105,818.865,36.241,3.0945,0.003,2.3545
"2009-05-15",20.743,303.027,36.059,4.0275,0.018,2.61375
"2010-04-15",21.6175,279.216,36.243,8.494,-0.1135,2.12225
"2011-06-15",22.674,151.868,36.391,9.2695,-0.159,2.42575
"2011-08-15",24.96,31.669,36.338,10.082,-0.089,3.52575
"2011-11-15",21.5575,157.331,36.398,5.1715,0.0335,1.74675
"2012-01-15",18.773,81.662,36.311,5.568,-0.0255,0.84975
"2012-03-15",19.5795,513.234,36.077,6.82,-0.051,1.4145
"2012-11-15",23.632,397.918,36.172,3.417,0.035,2.34325
"2012-12-15",20.38,618.371,35.971,5.909,0.2085,1.70975
"2013-01-15",18.9935,607.507,36.072,2.8755,-0.0525,0.9915
"2013-05-15",21.314,1425.422,35.998,3.8475,0.1715,2.206
"2013-09-15",27.426,438.294,35.923,4.5175,0.091,4.65125
