DATE-YMD,CHLA= CbPM2 NPP (mg-C/m2/day),
1998-01-15,     534.436,
1998-02-15,     485.587,
1998-03-15,     685.186,
1998-04-15,    1237.569,
1998-05-15,     717.756,
1998-06-15,     258.883,
1998-07-15,     670.141,
1998-08-15,     896.528,
1998-09-15,     852.192,
1998-10-15,     396.043,
1998-11-15,     258.205,
1998-12-15,     330.358,
1999-01-15,     688.075,
1999-02-15,     772.449,
1999-03-15,    1168.606,
1999-04-15,    1220.424,
1999-05-15,     854.701,
1999-06-15,    1134.174,
1999-07-15,     613.887,
1999-08-15,     439.398,
1999-09-15,     534.475,
1999-10-15,     786.954,
1999-11-15,     406.110,
1999-12-15,     369.494,
2000-01-15,     484.735,
2000-02-15,     752.843,
2000-03-15,     772.989,
2000-04-15,     751.564,
2000-05-15,     841.627,
2000-06-15,     410.763,
2000-07-15,      81.713,
2000-08-15,     514.713,
2000-09-15,     638.539,
2000-10-15,     911.369,
2000-11-15,     626.103,
2000-12-15,     464.043,
2001-01-15,     661.253,
2001-02-15,     640.782,
2001-03-15,     960.325,
2001-04-15,     515.845,
2001-05-15,     517.779,
2001-06-15,     386.917,
2001-07-15,      99.171,
2001-08-15,     621.145,
2001-09-15,     456.845,
2001-10-15,     515.574,
2001-11-15,     750.231,
2001-12-15,     347.795,
2002-01-15,     474.719,
2002-02-15,     683.999,
2002-03-15,     645.465,
2002-04-15,    1045.481,
2002-05-15,     564.486,
2002-06-15,     111.788,
2002-07-15,     394.717,
2002-08-15,     444.991,
2002-09-15,     579.292,
2002-10-15,      73.572,
2002-11-15,     153.610,
2002-12-15,     132.405,
2003-01-15,     310.559,
2003-02-15,     372.230,
2003-03-15,     675.127,
2003-04-15,     855.961,
2003-05-15,     608.854,
2003-06-15,     572.844,
2003-07-15,    1173.372,
2003-08-15,     676.972,
2003-09-15,     131.840,
2003-10-15,     393.653,
2003-11-15,     403.099,
2003-12-15,     228.258,
2004-01-15,     366.768,
2004-02-15,     492.075,
2004-03-15,     569.071,
2004-04-15,     803.639,
2004-05-15,     616.352,
2004-06-15,     347.944,
2004-07-15,      92.676,
2004-08-15,     113.803,
2004-09-15,     354.607,
2004-10-15,      88.322,
2004-11-15,      44.906,
2004-12-15,     126.208,
2005-01-15,     102.685,
2005-02-15,     520.944,
2005-03-15,     851.592,
2005-04-15,     815.768,
2005-05-15,     549.287,
2005-06-15,     312.899,
2005-07-15,     196.314,
2005-08-15,      76.608,
2005-09-15,      86.888,
2005-10-15,     160.901,
2005-11-15,     267.423,
2005-12-15,      56.366,
2006-01-15,     296.745,
2006-02-15,     534.337,
2006-03-15,     624.472,
2006-04-15,     598.357,
2006-05-15,     719.488,
2006-06-15,     118.337,
2006-07-15,     358.894,
2006-08-15,      76.841,
2006-09-15,     153.109,
2006-10-15,      58.497,
2006-11-15,      63.978,
2006-12-15,     140.326,
2007-01-15,      63.733,
2007-02-15,     281.962,
2007-03-15,     259.414,
2007-04-15,     395.232,
2007-05-15,     359.909,
2007-06-15,     236.020,
2007-07-15,     203.620,
2007-08-15,     164.917,
2007-09-15,      76.799,
2007-10-15,     258.228,
2007-11-15,     307.752,
2007-12-15,     311.588,
2008-01-15,      59.485,
2008-02-15,     196.982,
2008-03-15,     132.157,
2008-04-15,     225.816,
2008-05-15,     676.456,
2008-06-15,     280.955,
2008-07-15,     207.935,
2008-08-15,     201.540,
2008-09-15,     221.968,
2008-10-15,     416.496,
2008-11-15,     314.124,
2008-12-15,     283.221,
2009-01-15,     484.605,
2009-02-15,     644.490,
2009-03-15,     818.865,
2009-04-15,     512.179,
2009-05-15,     303.027,
2009-06-15,     167.125,
2009-07-15,     250.623,
2009-08-15,      94.404,
2009-09-15,      86.624,
2009-10-15,     315.011,
2009-11-15,     251.314,
2009-12-15,     407.756,
2010-01-15,     460.524,
2010-02-15,     604.833,
2010-03-15,     689.567,
2010-04-15,     279.216,
2010-05-15,     185.141,
2010-06-15,      15.192,
2010-07-15,     114.085,
2010-08-15,     101.221,
2010-09-15,      23.172,
2010-10-15,      42.262,
2010-11-15,      25.819,
2010-12-15,      10.820,
2011-01-15,      39.386,
2011-02-15,      65.430,
2011-03-15,      56.947,
2011-04-15,      22.825,
2011-05-15,      28.115,
2011-06-15,     151.868,
2011-07-15,      24.717,
2011-08-15,      31.669,
2011-09-15,      66.179,
2011-10-15,      16.264,
2011-11-15,     157.331,
2011-12-15,     132.847,
2012-01-15,      81.662,
2012-02-15,     151.113,
2012-03-15,     513.234,
2012-04-15,     441.077,
2012-05-15,     311.195,
2012-06-15,     225.697,
2012-07-15,     191.682,
2012-08-15,      13.044,
2012-09-15,     465.906,
2012-10-15,     292.984,
2012-11-15,     397.918,
2012-12-15,     618.371,
2013-01-15,     607.507,
2013-02-15,     521.538,
2013-03-15,     909.417,
2013-04-15,    2018.840,
2013-05-15,    1425.422,
2013-06-15,     438.472,
2013-07-15,     442.648,
2013-08-15,    1310.305,
2013-09-15,     438.294,
2013-10-15,     688.427,
2013-11-15,     822.418,
2013-12-15,     618.569,
2014-01-15,    1035.069,
2014-02-15,     604.774,
2014-03-15,     773.393,
2014-04-15,    1476.055,
2014-05-15,     917.181,
2014-06-15,     694.379,
2014-07-15,     832.493,
2014-08-15,     691.391,
2014-09-15,    1409.901,
2014-10-15,     766.242,
2014-11-15,    1022.767,
2014-12-15,    1142.366,
2015-01-15,     751.392,
2015-02-15,     701.865,
2015-03-15,     501.220,
2015-04-15,     522.537,
2015-05-15,    2482.371,
2015-06-15,     759.789,
2015-07-15,    1016.409,
2015-08-15,    1010.659,
2015-09-15,     253.165,
2015-10-15,     750.243,
2015-11-15,     455.408,
2015-12-15,     282.436,
2016-01-15,     464.125,
2016-02-15,     688.309,
2016-03-15,     650.554,
2016-04-15,    1334.044,
2016-05-15,     737.918,
2016-06-15,     924.849,
2016-07-15,    1132.679,
2016-08-15,     664.992,
2016-09-15,    1041.464,
2016-10-15,     526.792,
2016-11-15,     895.429,
2016-12-15,    1287.347,
2017-01-15,     967.946,
2017-02-15,     567.405,
2017-03-15,     372.543,
2017-04-15,    1228.802,
2017-05-15,    1223.236,
2017-06-15,     899.814,
2017-07-15,     215.560,
2017-08-15,     954.007,
2017-09-15,    1193.206,
2017-10-15,    1729.107,
2017-11-15,     829.565,
2017-12-15,     660.986,
2018-01-15,     526.679,
2018-02-15,     568.419,
2018-03-15,     636.121,
2018-04-15,     930.244,
2018-05-15,    1063.305,
2018-06-15,     334.964,
2018-07-15,     224.984,
2018-08-15,    1210.887,
2018-09-15,    1717.354,
2018-10-15,     819.387,
2018-11-15,     614.820,
2018-12-15,      50.725,
2019-01-15,     131.487,
2019-02-15,     202.712,
2019-03-15,     240.558,
2019-04-15,     416.162,
2019-05-15,     340.461,
2019-06-15,     252.845,
2019-07-15,      94.264,
2019-08-15,     158.574,
2019-09-15,     513.403,
2019-10-15,     217.819,
2019-11-15,     191.058,
2019-12-15,     117.035,
2020-01-15,      73.246,
2020-02-15,     281.740,
2020-03-15,     392.457,
2020-04-15,     998.069,
2020-05-15,     406.393,
2020-06-15,     672.695,
2020-07-15,    1406.144,
2020-10-15,     188.975,
2020-11-15,     220.394,
2020-12-15,     247.923,
