DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1950-01-15,      35.965,
1950-02-15,      35.956,
1950-03-15,      35.920,
1950-04-15,      35.920,
1950-05-15,      35.924,
1950-06-15,      35.945,
1950-07-15,      35.996,
1950-08-15,      36.005,
1950-09-15,      35.984,
1950-10-15,      35.963,
1950-11-15,      35.609,
1950-12-15,      35.648,
1951-01-15,      35.695,
1951-02-15,      35.718,
1951-03-15,      35.705,
1951-04-15,      35.709,
1951-05-15,      35.736,
1951-06-15,      35.774,
1951-07-15,      35.842,
1951-08-15,      35.873,
1951-09-15,      35.869,
1951-10-15,      35.855,
1951-11-15,      35.835,
1951-12-15,      35.852,
1952-01-15,      35.881,
1952-02-15,      35.993,
1952-03-15,      35.947,
1952-04-15,      35.929,
1952-05-15,      35.934,
1952-06-15,      35.951,
1952-07-15,      36.002,
1952-08-15,      36.026,
1952-09-15,      36.006,
1952-10-15,      35.976,
1952-11-15,      35.942,
1952-12-15,      35.948,
1953-01-15,      35.968,
1953-02-15,      35.958,
1953-03-15,      35.921,
1953-04-15,      35.907,
1953-05-15,      35.920,
1953-06-15,      35.941,
1953-07-15,      35.993,
1953-08-15,      36.011,
1953-09-15,      35.994,
1953-10-15,      35.967,
1953-11-15,      35.935,
1953-12-15,      35.942,
1954-01-15,      35.961,
1954-02-15,      35.954,
1954-03-15,      35.917,
1954-04-15,      35.903,
1954-05-15,      35.908,
1954-06-15,      35.930,
1954-07-15,      35.981,
1954-08-15,      35.996,
1954-09-15,      35.979,
1954-10-15,      35.954,
1954-11-15,      35.923,
1954-12-15,      35.931,
1955-01-15,      35.953,
1955-02-15,      35.945,
1955-03-15,      35.909,
1955-04-15,      35.895,
1955-05-15,      35.903,
1955-06-15,      35.926,
1955-07-15,      35.979,
1955-08-15,      36.011,
1955-09-15,      35.993,
1955-10-15,      35.966,
1955-11-15,      35.935,
1955-12-15,      35.942,
1956-01-15,      35.957,
1956-02-15,      35.946,
1956-03-15,      35.911,
1956-04-15,      35.897,
1956-05-15,      35.910,
1956-06-15,      35.931,
1956-07-15,      35.983,
1956-08-15,      35.998,
1956-09-15,      35.986,
1956-10-15,      35.961,
1956-11-15,      35.930,
1956-12-15,      35.937,
1957-01-15,      35.956,
1957-02-15,      35.853,
1957-03-15,      35.832,
1957-04-15,      35.825,
1957-05-15,      35.894,
1957-06-15,      35.917,
1957-07-15,      35.960,
1957-08-15,      35.887,
1957-09-15,      35.778,
1957-10-15,      35.894,
1957-11-15,      35.819,
1957-12-15,      35.780,
1958-01-15,      35.724,
1958-02-15,      35.735,
1958-03-15,      35.943,
1958-04-15,      35.872,
1958-05-15,      35.875,
1958-06-15,      35.813,
1958-07-15,      35.884,
1958-08-15,      35.914,
1958-09-15,      35.583,
1958-10-15,      35.371,
1958-11-15,      35.142,
1958-12-15,      35.625,
1959-01-15,      35.949,
1959-02-15,      35.950,
1959-03-15,      35.915,
1959-04-15,      35.899,
1959-05-15,      35.884,
1959-06-15,      35.885,
1959-07-15,      35.881,
1959-08-15,      35.989,
1959-09-15,      36.026,
1959-10-15,      35.898,
1959-11-15,      35.708,
1959-12-15,      35.852,
1960-01-15,      35.741,
1960-02-15,      35.757,
1960-03-15,      35.738,
1960-04-15,      35.676,
1960-05-15,      35.659,
1960-06-15,      35.716,
1960-07-15,      35.800,
1960-08-15,      35.841,
1960-09-15,      35.845,
1960-10-15,      35.847,
1960-11-15,      35.796,
1960-12-15,      35.807,
1961-01-15,      35.843,
1961-02-15,      35.993,
1961-03-15,      35.788,
1961-04-15,      35.778,
1961-05-15,      35.673,
1961-06-15,      35.872,
1961-07-15,      36.041,
1961-08-15,      36.013,
1961-09-15,      35.998,
1961-10-15,      35.969,
1961-11-15,      35.914,
1961-12-15,      35.923,
1962-01-15,      35.959,
1962-02-15,      35.942,
1962-03-15,      35.902,
1962-04-15,      35.889,
1962-05-15,      35.893,
1962-06-15,      35.952,
1962-07-15,      35.912,
1962-08-15,      35.963,
1962-09-15,      35.815,
1962-10-15,      35.689,
1962-11-15,      35.928,
1962-12-15,      35.874,
1963-01-15,      36.031,
1963-02-15,      36.075,
1963-03-15,      36.028,
1963-04-15,      36.030,
1963-05-15,      36.039,
1963-06-15,      36.045,
1963-07-15,      35.951,
1963-08-15,      35.862,
1963-09-15,      35.988,
1963-10-15,      35.872,
1963-11-15,      35.736,
1963-12-15,      35.771,
1964-01-15,      35.907,
1964-02-15,      35.902,
1964-03-15,      35.871,
1964-04-15,      35.886,
1964-05-15,      35.833,
1964-06-15,      35.789,
1964-07-15,      35.863,
1964-08-15,      35.868,
1964-09-15,      35.854,
1964-10-15,      35.817,
1964-11-15,      35.847,
1964-12-15,      35.852,
1965-01-15,      35.828,
1965-02-15,      35.922,
1965-03-15,      35.949,
1965-04-15,      35.793,
1965-05-15,      35.780,
1965-06-15,      35.785,
1965-07-15,      35.764,
1965-08-15,      35.819,
1965-09-15,      35.821,
1965-10-15,      35.687,
1965-11-15,      35.680,
1965-12-15,      35.726,
1966-01-15,      35.554,
1966-02-15,      35.780,
1966-03-15,      35.877,
1966-04-15,      35.785,
1966-05-15,      35.804,
1966-06-15,      35.814,
1966-07-15,      35.884,
1966-08-15,      35.785,
1966-09-15,      35.550,
1966-10-15,      35.213,
1966-11-15,      35.649,
1966-12-15,      35.823,
1967-01-15,      35.906,
1967-02-15,      35.860,
1967-03-15,      35.816,
1967-04-15,      35.791,
1967-05-15,      35.713,
1967-06-15,      35.790,
1967-07-15,      36.030,
1967-08-15,      36.001,
1967-09-15,      35.936,
1967-10-15,      35.572,
1967-11-15,      35.848,
1967-12-15,      35.961,
1968-01-15,      35.831,
1968-02-15,      35.738,
1968-03-15,      35.684,
1968-04-15,      35.632,
1968-05-15,      35.701,
1968-06-15,      35.712,
1968-07-15,      35.723,
1968-08-15,      35.657,
1968-09-15,      35.839,
1968-10-15,      35.919,
1968-11-15,      35.850,
1968-12-15,      35.754,
1969-01-15,      35.724,
1969-02-15,      35.828,
1969-03-15,      35.745,
1969-04-15,      35.708,
1969-05-15,      35.755,
1969-06-15,      35.808,
1969-07-15,      35.914,
1969-08-15,      35.698,
1969-09-15,      35.546,
1969-10-15,      35.842,
1969-11-15,      35.784,
1969-12-15,      35.902,
1970-01-15,      35.844,
1970-02-15,      35.585,
1970-03-15,      35.672,
1970-04-15,      35.668,
1970-05-15,      35.648,
1970-06-15,      35.874,
1970-07-15,      35.959,
1970-08-15,      36.003,
1970-09-15,      35.919,
1970-10-15,      35.939,
1970-11-15,      35.818,
1970-12-15,      35.867,
1971-01-15,      35.980,
1971-02-15,      36.045,
1971-03-15,      35.868,
1971-04-15,      35.651,
1971-05-15,      35.676,
1971-06-15,      35.787,
1971-07-15,      35.928,
1971-08-15,      35.977,
1971-09-15,      35.982,
1971-10-15,      36.065,
1971-11-15,      36.042,
1971-12-15,      35.840,
1972-01-15,      35.828,
1972-02-15,      35.744,
1972-03-15,      35.611,
1972-04-15,      35.742,
1972-05-15,      35.727,
1972-06-15,      35.786,
1972-07-15,      35.955,
1972-08-15,      35.965,
1972-09-15,      36.100,
1972-10-15,      36.071,
1972-11-15,      35.923,
1972-12-15,      35.850,
1973-01-15,      35.842,
1973-02-15,      35.845,
1973-03-15,      35.730,
1973-04-15,      35.772,
1973-05-15,      35.778,
1973-06-15,      35.848,
1973-07-15,      35.924,
1973-08-15,      36.022,
1973-09-15,      35.998,
1973-10-15,      35.875,
1973-11-15,      35.674,
1973-12-15,      35.822,
1974-01-15,      35.849,
1974-02-15,      35.954,
1974-03-15,      35.874,
1974-04-15,      35.868,
1974-05-15,      35.692,
1974-06-15,      35.855,
1974-07-15,      35.821,
1974-08-15,      35.941,
1974-09-15,      35.998,
1974-10-15,      35.888,
1974-11-15,      35.830,
1974-12-15,      35.852,
1975-01-15,      35.757,
1975-02-15,      35.878,
1975-03-15,      35.843,
1975-04-15,      35.854,
1975-05-15,      35.888,
1975-06-15,      35.809,
1975-07-15,      35.811,
1975-08-15,      35.749,
1975-09-15,      35.863,
