DATE-YMD,OTHR= SeaWinds scalar Windspeed (m/s),
1998-01-15,       4.734,
1998-02-15,       3.811,
1998-03-15,       4.853,
1998-04-15,       7.892,
1998-05-15,       6.987,
1998-06-15,       6.656,
1998-07-15,       5.475,
1998-08-15,       5.756,
1998-09-15,       5.912,
1998-10-15,       5.532,
1998-11-15,       4.255,
1998-12-15,       6.089,
1999-01-15,       5.893,
1999-02-15,       7.096,
1999-03-15,       7.328,
1999-04-15,       6.997,
1999-05-15,       7.278,
1999-06-15,       7.327,
1999-07-15,       6.386,
1999-08-15,       6.172,
1999-09-15,       6.603,
1999-10-15,       7.173,
1999-11-15,       5.723,
1999-12-15,       6.406,
2000-01-15,       6.249,
2000-02-15,       5.158,
2000-03-15,       5.686,
2000-04-15,       7.705,
2000-05-15,       8.029,
2000-06-15,       7.642,
2000-07-15,       7.621,
2000-08-15,       7.044,
2000-09-15,       7.285,
2000-10-15,       7.375,
2000-11-15,       6.211,
2000-12-15,       5.981,
2001-01-15,       6.509,
2001-02-15,       5.490,
2001-03-15,       7.194,
2001-04-15,       7.724,
2001-05-15,       8.192,
2001-06-15,       7.967,
2001-07-15,       7.085,
2001-08-15,       6.807,
2001-09-15,       6.944,
2001-10-15,       6.417,
2001-11-15,       6.526,
2001-12-15,       4.602,
2002-01-15,       6.393,
2002-02-15,       5.853,
2002-03-15,       6.752,
2002-04-15,       7.233,
2002-05-15,       8.024,
2002-06-15,       7.932,
2002-07-15,       8.000,
2002-08-15,       7.148,
2002-09-15,       6.482,
2002-10-15,       6.423,
2002-11-15,       6.468,
2002-12-15,       4.546,
2003-01-15,       6.934,
2003-02-15,       7.197,
2003-03-15,       6.262,
2003-04-15,       7.624,
2003-05-15,       7.390,
2003-06-15,       7.652,
2003-07-15,       6.928,
2003-08-15,       6.160,
2003-09-15,       6.266,
2003-10-15,       6.772,
2003-11-15,       6.191,
2003-12-15,       4.534,
2004-01-15,       6.556,
2004-02-15,       5.253,
2004-03-15,       6.500,
2004-04-15,       7.803,
2004-05-15,       7.803,
2004-06-15,       7.842,
2004-07-15,       6.529,
2004-08-15,       6.599,
2004-09-15,       7.089,
2004-10-15,       6.619,
2004-11-15,       4.738,
2004-12-15,       6.539,
2005-01-15,       5.944,
2005-02-15,       6.301,
2005-03-15,       6.331,
2005-04-15,       8.177,
2005-05-15,       7.939,
2005-06-15,       6.976,
2005-07-15,       7.702,
2005-08-15,       6.955,
2005-09-15,       6.810,
2005-10-15,       6.310,
2005-11-15,       6.397,
2005-12-15,       5.404,
2006-01-15,       6.992,
2006-02-15,       6.545,
2006-03-15,       6.455,
2006-04-15,       8.124,
2006-05-15,       7.698,
2006-06-15,       8.282,
2006-07-15,       7.258,
2006-08-15,       6.765,
2006-09-15,       6.268,
2006-10-15,       6.834,
2006-11-15,       4.953,
2006-12-15,       6.274,
2007-01-15,       5.273,
2007-02-15,       6.670,
2007-03-15,       7.504,
2007-04-15,       8.094,
2007-05-15,       7.490,
2007-06-15,       8.108,
