DATE-YMD,OTHR= SeaWinds Windspeed u-EW-component (m/s),
1998-01-15,      -2.274,
1998-02-15,      -1.163,
1998-03-15,      -1.078,
1998-04-15,      -0.450,
1998-05-15,       0.236,
1998-06-15,       1.339,
1998-07-15,       2.507,
1998-08-15,       2.083,
1998-09-15,       0.589,
1998-10-15,      -1.509,
1998-11-15,      -2.427,
1998-12-15,      -3.752,
1999-01-15,      -3.157,
1999-02-15,      -4.177,
1999-03-15,      -0.940,
1999-04-15,       0.148,
1999-05-15,       0.776,
1999-06-15,       0.229,
1999-07-15,       1.895,
1999-08-15,       2.243,
1999-09-15,       0.261,
1999-10-15,      -1.291,
1999-11-15,      -1.970,
1999-12-15,      -4.402,
2000-01-15,      -3.789,
2000-02-15,      -2.508,
2000-03-15,      -0.608,
2000-04-15,      -0.542,
2000-05-15,       1.039,
2000-06-15,       1.913,
2000-07-15,       2.691,
2000-08-15,       1.841,
2000-09-15,       0.657,
2000-10-15,      -1.997,
2000-11-15,      -2.596,
2000-12-15,      -3.477,
2001-01-15,      -3.793,
2001-02-15,      -2.730,
2001-03-15,      -0.391,
2001-04-15,       0.543,
2001-05-15,       0.537,
2001-06-15,       0.935,
2001-07-15,       1.842,
2001-08-15,       2.033,
2001-09-15,      -0.409,
2001-10-15,      -1.104,
2001-11-15,      -2.212,
2001-12-15,      -2.099,
2002-01-15,      -3.510,
2002-02-15,      -2.850,
2002-03-15,      -0.929,
2002-04-15,       0.108,
2002-05-15,       0.170,
2002-06-15,       0.554,
2002-07-15,       1.558,
2002-08-15,       1.512,
2002-09-15,       0.546,
2002-10-15,      -0.902,
2002-11-15,      -3.028,
2002-12-15,      -2.542,
2003-01-15,      -4.059,
2003-02-15,      -1.362,
2003-03-15,      -0.629,
2003-04-15,       0.281,
2003-05-15,       0.423,
2003-06-15,       1.590,
2003-07-15,       2.959,
2003-08-15,       2.477,
2003-09-15,       0.569,
2003-10-15,      -0.537,
2003-11-15,      -2.027,
2003-12-15,      -2.991,
2004-01-15,      -3.652,
2004-02-15,      -0.611,
2004-03-15,      -1.556,
2004-04-15,       0.556,
2004-05-15,       0.188,
2004-06-15,       1.175,
2004-07-15,       2.213,
2004-08-15,       1.828,
2004-09-15,      -0.040,
2004-10-15,      -0.516,
2004-11-15,      -1.713,
2004-12-15,      -3.407,
2005-01-15,      -3.745,
2005-02-15,      -1.516,
2005-03-15,      -0.402,
2005-04-15,       0.234,
2005-05-15,       0.098,
2005-06-15,       1.733,
2005-07-15,       1.740,
2005-08-15,       2.045,
2005-09-15,      -0.007,
2005-10-15,      -0.706,
2005-11-15,      -1.896,
2005-12-15,      -2.634,
2006-01-15,      -4.381,
2006-02-15,      -2.334,
2006-03-15,      -1.112,
2006-04-15,       0.866,
2006-05-15,       0.631,
2006-06-15,       0.607,
2006-07-15,       2.378,
2006-08-15,       1.547,
2006-09-15,       0.381,
2006-10-15,      -0.552,
2006-11-15,      -2.470,
2006-12-15,      -4.773,
2007-01-15,      -3.061,
2007-02-15,      -3.006,
2007-03-15,      -2.103,
2007-04-15,      -0.046,
2007-05-15,      -0.218,
2007-06-15,       0.825,
2007-07-15,       2.986,
2007-08-15,       2.433,
2007-09-15,       0.329,
2007-10-15,      -0.396,
2007-11-15,      -1.731,
2007-12-15,      -3.439,
2008-01-15,      -4.484,
2008-02-15,      -0.839,
2008-03-15,      -0.007,
2008-04-15,       0.181,
2008-05-15,       1.645,
2008-06-15,       0.747,
2008-07-15,       2.220,
2008-08-15,       3.404,
2008-09-15,       0.779,
2008-10-15,      -1.705,
2008-11-15,      -2.570,
2008-12-15,      -3.780,
2009-01-15,      -3.608,
2009-02-15,      -0.365,
2009-03-15,       0.513,
2009-04-15,      -0.808,
2009-05-15,       0.355,
2009-06-15,       0.912,
2009-07-15,       2.656,
2009-08-15,       3.055,
2009-09-15,      -0.296,
2009-10-15,      -0.792,
2009-11-15,      -2.326,
2009-12-15,      -1.396,
2010-01-15,      -2.676,
2010-02-15,       0.234,
2010-03-15,      -0.822,
2010-04-15,       1.328,
2010-05-15,       0.507,
2010-06-15,       1.287,
2010-07-15,       2.701,
2010-08-15,       2.593,
2010-09-15,       0.539,
2010-10-15,      -1.287,
2010-11-15,      -1.673,
2010-12-15,      -1.024,
2011-01-15,      -2.394,
2011-02-15,      -4.122,
2011-03-15,      -0.590,
2011-04-15,       0.529,
2011-05-15,       1.394,
2011-06-15,       1.971,
2011-07-15,       2.208,
2011-08-15,       1.878,
2011-09-15,       0.469,
2011-10-15,       0.561,
2011-11-15,      -1.415,
2011-12-15,      -4.303,
2012-01-15,      -3.868,
2012-02-15,      -2.616,
2012-03-15,      -0.478,
2012-04-15,       0.756,
2012-05-15,       1.165,
2012-06-15,       1.840,
2012-07-15,       3.186,
2012-08-15,       3.854,
2012-09-15,       1.074,
2012-10-15,       0.614,
2012-11-15,      -0.195,
2012-12-15,      -3.575,
2013-01-15,      -3.343,
2013-02-15,      -1.500,
2013-03-15,       0.472,
2013-04-15,       1.122,
2013-05-15,       0.515,
2013-06-15,       1.884,
2013-07-15,       2.898,
2013-08-15,       2.746,
2013-09-15,       0.743,
2013-10-15,       0.466,
2013-11-15,      -1.387,
2013-12-15,      -1.989,
2014-01-15,      -2.107,
2014-02-15,      -2.324,
2014-03-15,      -0.188,
2014-04-15,       0.937,
2014-05-15,       1.904,
2014-06-15,       1.201,
2014-07-15,       2.427,
2014-08-15,       3.169,
2014-09-15,       1.798,
2014-10-15,       0.813,
2014-11-15,       0.293,
2014-12-15,      -3.675,
2015-01-15,      -2.959,
2015-02-15,      -1.040,
2015-03-15,      -0.678,
2015-04-15,       1.520,
2015-05-15,       0.821,
2015-06-15,       1.068,
2015-07-15,       3.454,
2015-08-15,       2.077,
2015-09-15,       1.291,
2015-10-15,       0.037,
2015-11-15,      -2.819,
2015-12-15,      -2.653,
2016-01-15,      -2.407,
2016-02-15,      -2.816,
2016-03-15,      -0.205,
2016-04-15,       0.669,
2016-05-15,       1.317,
2016-06-15,       1.601,
2016-07-15,       2.552,
2016-08-15,       2.421,
2016-09-15,       1.245,
2016-10-15,       0.157,
2016-11-15,      -1.027,
2016-12-15,      -3.665,
2017-01-15,      -2.682,
2017-02-15,      -1.358,
2017-03-15,      -0.242,
2017-04-15,       0.649,
2017-05-15,       1.161,
2017-06-15,       1.730,
2017-07-15,       3.637,
2017-08-15,       2.566,
2017-09-15,       1.259,
2017-10-15,      -0.006,
2017-11-15,      -0.734,
2017-12-15,      -4.948,
2018-01-15,      -3.283,
2018-02-15,      -0.796,
2018-03-15,      -0.295,
2018-04-15,       0.458,
2018-05-15,       1.642,
