DATE-YMD,OTHR= OSCAR surface currents u-EW-component (m/s),
1993-01-15,       0.065,
1993-02-15,      -0.034,
1993-03-15,       0.046,
1993-04-15,       0.037,
1993-05-15,       0.139,
1993-06-15,      -0.003,
1993-07-15,       0.169,
1993-08-15,       0.008,
1993-09-15,       0.010,
1993-10-15,       0.066,
1993-11-15,       0.130,
1993-12-15,      -0.094,
1994-01-15,       0.224,
1994-02-15,      -0.078,
1994-03-15,       0.194,
1994-04-15,      -0.015,
1994-05-15,       0.200,
1994-06-15,       0.098,
1994-07-15,       0.251,
1994-08-15,       0.008,
1994-09-15,       0.275,
1994-10-15,      -0.035,
1994-11-15,       0.088,
1994-12-15,      -0.054,
1995-01-15,       0.142,
1995-02-15,      -0.012,
1995-03-15,       0.126,
1995-04-15,      -0.057,
1995-05-15,       0.184,
1995-06-15,       0.013,
1995-07-15,       0.063,
1995-08-15,       0.056,
1995-09-15,       0.146,
1995-10-15,       0.022,
1995-11-15,      -0.042,
1995-12-15,      -0.013,
1996-01-15,      -0.111,
1996-02-15,       0.094,
1996-03-15,       0.036,
1996-04-15,      -0.014,
1996-05-15,       0.078,
1996-06-15,      -0.019,
1996-07-15,       0.087,
1996-08-15,       0.137,
1996-09-15,      -0.051,
1996-10-15,       0.106,
1996-11-15,      -0.016,
1996-12-15,      -0.095,
1997-01-15,      -0.016,
1997-02-15,       0.226,
1997-03-15,      -0.115,
1997-04-15,       0.179,
1997-05-15,      -0.121,
1997-06-15,       0.227,
1997-07-15,      -0.094,
1997-08-15,       0.283,
1997-09-15,      -0.086,
1997-10-15,       0.182,
1997-11-15,      -0.052,
1997-12-15,       0.146,
1998-01-15,      -0.020,
1998-02-15,       0.208,
1998-03-15,      -0.033,
1998-04-15,       0.078,
1998-05-15,       0.095,
1998-06-15,       0.197,
1998-07-15,       0.134,
1998-08-15,       0.164,
1998-09-15,      -0.009,
1998-10-15,       0.150,
1998-11-15,      -0.146,
1998-12-15,       0.061,
1999-01-15,      -0.058,
1999-02-15,      -0.005,
1999-03-15,       0.043,
1999-04-15,       0.116,
1999-05-15,       0.021,
1999-06-15,       0.207,
1999-07-15,       0.049,
1999-08-15,       0.056,
1999-09-15,       0.040,
1999-10-15,      -0.051,
1999-11-15,      -0.025,
1999-12-15,      -0.079,
2000-01-15,       0.066,
2000-02-15,      -0.107,
2000-03-15,       0.084,
2000-04-15,      -0.174,
2000-05-15,       0.017,
2000-06-15,       0.113,
2000-07-15,       0.072,
2000-08-15,       0.042,
2000-09-15,      -0.008,
2000-10-15,      -0.173,
2000-11-15,       0.005,
2000-12-15,      -0.008,
2001-01-15,       0.058,
2001-02-15,       0.091,
2001-03-15,       0.145,
2001-04-15,       0.014,
2001-05-15,       0.208,
2001-06-15,       0.129,
2001-07-15,       0.096,
2001-08-15,       0.082,
2001-09-15,       0.056,
2001-10-15,       0.018,
2001-11-15,       0.130,
2001-12-15,      -0.100,
2002-01-15,       0.113,
2002-02-15,      -0.016,
2002-03-15,       0.073,
2002-04-15,       0.005,
2002-05-15,       0.268,
2002-06-15,       0.015,
2002-07-15,       0.207,
2002-08-15,       0.046,
2002-09-15,       0.185,
2002-10-15,      -0.103,
2002-11-15,       0.064,
2002-12-15,      -0.085,
2003-01-15,       0.285,
2003-02-15,      -0.122,
2003-03-15,       0.075,
2003-04-15,       0.109,
2003-05-15,       0.173,
2003-06-15,      -0.027,
2003-07-15,       0.410,
2003-08-15,      -0.117,
2003-09-15,       0.525,
2003-10-15,      -0.116,
2003-11-15,       0.193,
2003-12-15,       0.002,
2004-01-15,       0.224,
2004-02-15,      -0.131,
2004-03-15,       0.171,
2004-04-15,      -0.137,
2004-05-15,       0.307,
2004-06-15,      -0.058,
2004-07-15,       0.170,
2004-08-15,      -0.241,
2004-09-15,       0.203,
2004-10-15,      -0.197,
2004-11-15,       0.113,
2004-12-15,       0.030,
2005-01-15,       0.019,
2005-02-15,      -0.151,
2005-03-15,       0.159,
2005-04-15,      -0.035,
2005-05-15,       0.089,
2005-06-15,       0.276,
2005-07-15,       0.031,
2005-08-15,       0.265,
2005-09-15,       0.036,
2005-10-15,       0.095,
2005-11-15,       0.025,
2005-12-15,       0.173,
2006-01-15,      -0.281,
2006-02-15,       0.298,
2006-03-15,      -0.287,
2006-04-15,       0.227,
2006-05-15,       0.001,
2006-06-15,       0.349,
2006-07-15,      -0.039,
2006-08-15,       0.368,
2006-09-15,      -0.133,
2006-10-15,       0.184,
2006-11-15,      -0.160,
2006-12-15,       0.213,
2007-01-15,      -0.153,
2007-02-15,       0.294,
2007-03-15,      -0.160,
2007-04-15,       0.275,
2007-05-15,      -0.143,
2007-06-15,       0.272,
2007-07-15,      -0.090,
2007-08-15,       0.239,
2007-09-15,      -0.077,
2007-10-15,       0.357,
2007-11-15,      -0.285,
2007-12-15,       0.160,
2009-01-15,       0.197,
2009-02-15,      -0.097,
2009-03-15,       0.216,
2009-04-15,      -0.124,
2009-05-15,       0.218,
2009-06-15,      -0.012,
2009-07-15,       0.071,
2009-08-15,       0.028,
2009-09-15,       0.168,
2009-10-15,      -0.081,
2009-11-15,      -0.039,
2009-12-15,      -0.101,
2010-01-15,      -0.021,
2010-02-15,      -0.193,
2010-03-15,       0.188,
2010-04-15,      -0.344,
2010-05-15,       0.091,
2010-06-15,      -0.064,
2010-07-15,       0.045,
2010-08-15,      -0.024,
2010-09-15,      -0.094,
2010-10-15,      -0.201,
2010-11-15,       0.159,
2010-12-15,      -0.327,
2011-01-15,       0.095,
2011-02-15,      -0.161,
2011-03-15,      -0.081,
2011-04-15,      -0.150,
2011-05-15,       0.024,
2011-06-15,      -0.124,
2011-07-15,       0.153,
2011-08-15,      -0.187,
2011-09-15,       0.200,
2011-10-15,      -0.159,
2011-11-15,       0.050,
2011-12-15,      -0.068,
2012-01-15,       0.008,
2012-02-15,      -0.028,
2012-03-15,       0.012,
2012-04-15,       0.059,
2012-05-15,       0.126,
2012-06-15,      -0.121,
2012-07-15,       0.173,
2012-08-15,      -0.189,
2012-09-15,       0.070,
2012-10-15,      -0.189,
2012-11-15,       0.094,
2012-12-15,       0.179,
2013-01-15,       0.060,
2013-02-15,      -0.065,
2013-03-15,      -0.062,
2013-04-15,      -0.123,
2013-05-15,      -0.028,
2013-06-15,      -0.030,
2013-07-15,       0.027,
2013-08-15,      -0.017,
2013-09-15,       0.070,
2013-10-15,      -0.061,
2013-11-15,       0.000,
2013-12-15,      -0.060,
2014-01-15,      -0.009,
2014-02-15,      -0.067,
2014-03-15,      -0.142,
2014-04-15,       0.089,
2014-05-15,      -0.217,
2014-06-15,       0.155,
2014-07-15,      -0.157,
2014-08-15,       0.190,
2014-09-15,      -0.129,
2014-10-15,       0.024,
2014-11-15,      -0.189,
2014-12-15,       0.311,
2015-01-15,      -0.199,
2015-02-15,       0.282,
2015-03-15,      -0.056,
2015-04-15,      -0.007,
2015-05-15,      -0.116,
2015-06-15,       0.250,
2015-07-15,      -0.107,
2015-08-15,       0.382,
2015-09-15,      -0.309,
2015-10-15,       0.095,
2015-11-15,      -0.127,
2015-12-15,       0.153,
2016-01-15,      -0.155,
2016-02-15,       0.168,
2016-03-15,      -0.188,
2016-04-15,      -0.055,
2016-05-15,      -0.158,
2016-06-15,      -0.114,
2016-07-15,      -0.014,
2016-08-15,      -0.065,
2016-09-15,      -0.017,
2016-10-15,      -0.087,
2016-11-15,      -0.089,
2016-12-15,      -0.055,
2017-01-15,      -0.079,
2017-02-15,      -0.065,
2017-03-15,      -0.090,
2017-04-15,      -0.219,
2017-05-15,       0.004,
2017-06-15,       0.006,
2017-07-15,       0.102,
2017-08-15,      -0.076,
2017-09-15,       0.042,
2017-10-15,      -0.047,
2017-11-15,      -0.039,
2017-12-15,      -0.179,
2018-01-15,       0.238,
2018-02-15,      -0.224,
2018-03-15,       0.157,
2018-04-15,      -0.144,
2018-05-15,       0.043,
2018-06-15,      -0.115,
2018-07-15,      -0.040,
2018-08-15,       0.017,
2018-09-15,      -0.096,
2018-10-15,      -0.107,
2018-11-15,       0.066,
2018-12-15,      -0.111,
2019-01-15,      -0.034,
2019-02-15,      -0.034,
2019-03-15,      -0.074,
2019-04-15,      -0.080,
2019-05-15,      -0.017,
2019-06-15,       0.020,
2019-07-15,       0.016,
2019-08-15,      -0.068,
2019-09-15,      -0.073,
2019-10-15,      -0.169,
2019-11-15,      -0.098,
2019-12-15,       0.001,
2020-01-15,      -0.048,
2020-02-15,      -0.040,
2020-03-15,      -0.086,
2020-04-15,      -0.002,
2020-05-15,       0.015,
2020-06-15,       0.003,
2020-07-15,       0.056,
2020-08-15,      -0.079,
2020-09-15,      -0.115,
2020-10-15,      -0.086,
2020-11-15,      -0.058,
2020-12-15,       0.015,
2021-01-15,      -0.100,
2021-02-15,      -0.104,
2021-03-15,      -0.057,
2021-04-15,       0.048,
2021-05-15,      -0.004,
2021-06-15,      -0.000,
2021-07-15,      -0.056,
2021-08-15,      -0.015,
2021-09-15,      -0.076,
2021-10-15,      -0.061,
2021-11-15,      -0.159,
2021-12-15,      -0.077,
