DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1960-01-15,      12.020,
1960-02-15,       5.830,
1960-03-15,       6.990,
1960-04-15,       7.380,
1960-05-15,       8.090,
1960-06-15,       8.020,
1960-07-15,       7.160,
1960-08-15,       8.100,
1960-09-15,       6.610,
1960-10-15,       6.680,
1960-11-15,       6.580,
1960-12-15,      12.510,
1961-01-15,       7.360,
1961-02-15,       6.070,
1961-03-15,       5.740,
1961-04-15,       8.080,
1961-05-15,       8.000,
1961-06-15,       8.410,
1961-07-15,       2.660,
1961-08-15,       5.540,
1961-09-15,       6.410,
1961-10-15,       7.620,
1961-11-15,       4.990,
1961-12-15,       4.590,
1962-01-15,       5.680,
1962-02-15,       6.540,
1962-03-15,       6.930,
1962-04-15,       8.090,
1962-05-15,       7.870,
1962-06-15,       9.030,
1962-07-15,       7.480,
1962-08-15,       5.920,
1962-09-15,       7.250,
1962-10-15,       5.900,
1962-11-15,       5.100,
1962-12-15,       3.980,
1963-01-15,       5.470,
1963-02-15,       8.810,
1963-03-15,       7.520,
1963-04-15,       7.850,
1963-05-15,       8.210,
1963-06-15,       7.530,
1963-07-15,       6.320,
1963-08-15,       6.650,
1963-09-15,       7.630,
1963-10-15,       5.840,
1963-11-15,       5.400,
1963-12-15,       3.460,
1964-01-15,       2.770,
1964-02-15,       5.340,
1964-03-15,       6.160,
1964-04-15,       8.070,
1964-05-15,       7.660,
1964-06-15,       8.250,
1964-07-15,       7.260,
1964-08-15,       7.370,
1964-09-15,       6.510,
1964-10-15,       7.620,
1964-11-15,       5.860,
1964-12-15,       5.680,
1965-01-15,       6.490,
1965-02-15,       6.790,
1965-03-15,       6.060,
1965-04-15,       8.160,
1965-05-15,       6.600,
1965-06-15,       7.510,
1965-07-15,       3.890,
1965-08-15,       5.550,
1965-09-15,       6.510,
1965-10-15,       5.350,
1965-11-15,       5.120,
1965-12-15,       4.950,
1966-01-15,       3.090,
1966-02-15,       6.160,
1966-03-15,       2.070,
1966-04-15,       5.810,
1966-05-15,       5.290,
1966-06-15,       7.840,
1966-07-15,       6.900,
1966-08-15,       6.510,
1966-09-15,       5.130,
1966-10-15,       1.970,
1966-11-15,       6.040,
1966-12-15,       5.130,
1967-01-15,       3.540,
1967-02-15,       5.580,
1967-03-15,       6.090,
1967-04-15,       6.070,
1967-05-15,       8.230,
1967-06-15,       7.890,
1967-07-15,       5.290,
1967-08-15,       6.670,
1967-09-15,       5.440,
1967-10-15,       4.910,
1967-11-15,       4.680,
1967-12-15,       4.520,
1968-01-15,       4.870,
1968-02-15,       5.580,
1968-03-15,       4.830,
1968-04-15,       5.200,
1968-05-15,       6.250,
1968-06-15,       5.860,
1968-07-15,       5.950,
1968-08-15,       6.910,
1968-09-15,       5.480,
1968-10-15,       4.160,
1968-11-15,       4.060,
1968-12-15,       4.510,
1969-01-15,       2.820,
1969-02-15,       5.680,
1969-03-15,       5.370,
1969-04-15,       4.680,
1969-05-15,       7.170,
1969-06-15,       6.270,
1969-07-15,       5.420,
1969-08-15,       5.720,
1969-09-15,       6.840,
1969-10-15,       4.540,
1969-11-15,       4.800,
1969-12-15,       4.650,
1970-01-15,       5.550,
1970-02-15,       5.860,
1970-03-15,       4.470,
1970-04-15,       6.350,
1970-05-15,       7.530,
1970-06-15,       7.640,
1970-07-15,       7.640,
1970-08-15,       5.040,
1970-09-15,       7.130,
1970-10-15,       4.400,
1970-11-15,       5.580,
1970-12-15,       5.910,
1971-01-15,       5.400,
1971-02-15,       6.200,
1971-03-15,       7.030,
1971-04-15,       7.360,
1971-05-15,       6.150,
1971-06-15,       7.180,
1971-07-15,       5.490,
1971-08-15,       5.430,
1971-09-15,       7.780,
1971-10-15,       5.880,
1971-11-15,       4.850,
1971-12-15,       5.450,
1972-01-15,       7.200,
1972-02-15,       6.720,
1972-03-15,       6.450,
1972-04-15,       7.390,
1972-05-15,       7.760,
1972-06-15,       6.960,
1972-07-15,       7.550,
1972-08-15,       6.440,
1972-09-15,       6.680,
1972-10-15,       7.540,
1972-11-15,       6.490,
1972-12-15,       8.590,
1973-01-15,       7.780,
1973-02-15,       5.180,
1973-03-15,       6.690,
1973-04-15,       6.400,
1973-05-15,       8.530,
1973-06-15,       7.430,
1973-07-15,       8.250,
1973-08-15,       6.760,
1973-09-15,       5.970,
1973-10-15,       6.590,
1973-11-15,       5.480,
1973-12-15,       6.350,
1974-01-15,       7.770,
1974-02-15,       6.090,
1974-03-15,       6.450,
1974-04-15,       7.000,
1974-05-15,       6.370,
1974-06-15,       5.730,
1974-07-15,       4.820,
1974-08-15,       4.690,
1974-09-15,       6.150,
1974-10-15,       3.720,
1974-11-15,       6.630,
1974-12-15,       4.460,
1975-01-15,       5.010,
1975-02-15,       6.110,
1975-03-15,       6.970,
1975-04-15,       5.280,
1975-05-15,       7.110,
1975-06-15,       7.150,
1975-07-15,       5.120,
1975-08-15,       7.520,
1975-09-15,       6.710,
1975-10-15,       5.350,
1975-11-15,       5.110,
1975-12-15,       4.010,
1976-01-15,       5.820,
1976-02-15,       4.840,
1976-03-15,       5.870,
1976-04-15,       8.060,
1976-05-15,       8.660,
1976-06-15,       8.220,
1976-07-15,       6.770,
1976-08-15,       5.150,
1976-09-15,       7.810,
1976-10-15,       6.600,
1976-11-15,       4.420,
1976-12-15,       3.390,
1977-01-15,       7.290,
