DATE-YMD,CHLA= NASA-combo satellite Chlorophyll (mg/m3),
1998-01-15,       3.407,
1998-02-15,       3.320,
1998-03-15,       4.021,
1998-04-15,       3.796,
1998-05-15,       3.388,
1998-06-15,       3.411,
1998-08-15,       3.277,
1998-09-15,       3.615,
1998-10-15,       4.997,
1998-11-15,       5.703,
1998-12-15,       3.400,
1999-01-15,       3.206,
1999-02-15,       3.250,
1999-03-15,       2.943,
1999-04-15,       3.202,
1999-05-15,       3.280,
1999-08-15,       3.418,
1999-09-15,       5.374,
1999-10-15,       3.740,
1999-11-15,       3.963,
1999-12-15,       3.391,
2000-01-15,       2.889,
2000-02-15,       3.178,
2000-03-15,       3.136,
2000-04-15,       3.687,
2000-05-15,       3.704,
2000-08-15,       4.928,
2000-09-15,       4.859,
2000-10-15,       3.728,
2000-11-15,       3.518,
2000-12-15,       3.245,
2001-01-15,       3.232,
2001-02-15,       3.590,
2001-03-15,       3.271,
2001-04-15,       4.290,
2001-05-15,       3.086,
2001-08-15,       4.334,
2001-09-15,       4.628,
2001-10-15,       4.574,
2001-11-15,       3.500,
2001-12-15,       3.392,
2002-01-15,       3.613,
2002-02-15,       3.763,
2002-03-15,       3.767,
2002-04-15,       3.845,
2002-05-15,       3.574,
2002-06-15,       4.563,
2002-07-15,       6.321,
2002-08-15,      16.584,
2002-09-15,       6.809,
2002-10-15,      11.139,
2002-11-15,       8.139,
2002-12-15,       6.268,
2003-01-15,       5.018,
2003-02-15,       3.682,
2003-03-15,       3.735,
2003-04-15,       3.510,
2003-05-15,       3.952,
2003-06-15,      11.896,
2003-08-15,       7.872,
2003-09-15,      10.837,
2003-10-15,       5.939,
2003-11-15,       4.398,
2003-12-15,       4.177,
2004-01-15,       4.064,
2004-02-15,       4.003,
2004-03-15,       4.031,
2004-04-15,       3.831,
2004-05-15,       4.206,
2004-06-15,       9.859,
2004-07-15,       8.503,
2004-08-15,       9.457,
2004-09-15,      12.346,
2004-10-15,       9.673,
2004-11-15,       8.749,
2004-12-15,       9.169,
2005-01-15,       7.545,
2005-02-15,       3.683,
2005-03-15,       3.504,
2005-04-15,       3.850,
2005-05-15,       3.860,
2005-06-15,       3.650,
2005-07-15,       4.925,
2005-08-15,       6.759,
2005-09-15,      11.964,
2005-10-15,       9.634,
2005-11-15,       5.237,
2005-12-15,       6.378,
2006-01-15,       4.458,
2006-02-15,       3.591,
2006-03-15,       3.616,
2006-04-15,       3.395,
2006-05-15,       3.411,
2006-07-15,       4.824,
2006-08-15,       5.868,
2006-09-15,       5.827,
2006-10-15,       7.930,
2006-11-15,       5.363,
2006-12-15,       4.129,
2007-01-15,       4.678,
2007-02-15,       5.501,
2007-03-15,       5.473,
2007-04-15,       4.068,
2007-05-15,       4.387,
2007-06-15,       4.797,
2007-07-15,       7.006,
2007-08-15,       6.364,
2007-09-15,       7.536,
2007-10-15,       6.084,
2007-11-15,       5.066,
2007-12-15,       5.075,
2008-01-15,       7.322,
2008-02-15,       5.691,
2008-03-15,       6.583,
2008-04-15,       4.337,
2008-05-15,       3.728,
2008-06-15,       3.449,
2008-07-15,       3.803,
2008-08-15,       4.117,
2008-09-15,      10.646,
2008-10-15,       4.635,
2008-11-15,       4.894,
2008-12-15,       5.062,
2009-01-15,       3.982,
2009-02-15,       3.487,
2009-03-15,       3.781,
2009-04-15,       3.743,
2009-05-15,       3.539,
2009-07-15,       5.798,
2009-08-15,       7.556,
2009-09-15,       7.373,
2009-10-15,       5.062,
2009-11-15,       4.885,
2009-12-15,       3.658,
2010-01-15,       4.125,
2010-02-15,       4.169,
2010-03-15,       4.300,
2010-04-15,       5.544,
2010-05-15,       6.006,
2010-06-15,       6.643,
2010-07-15,       3.690,
2010-08-15,       8.863,
2010-09-15,       7.603,
2010-10-15,       8.339,
2010-11-15,       8.598,
2010-12-15,       9.591,
2011-01-15,      11.449,
2011-02-15,       6.502,
