DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
1982-01-15,      19.312,
1982-02-15,      17.630,
1982-03-15,      19.088,
1982-04-15,      20.358,
1982-05-15,      18.779,
1982-06-15,      20.037,
1982-07-15,      22.285,
1982-08-15,      23.210,
1982-09-15,      23.258,
1982-10-15,      23.563,
1982-11-15,      20.902,
1982-12-15,      18.371,
1983-01-15,      18.101,
1983-02-15,      18.439,
1983-03-15,      20.927,
1983-04-15,      19.733,
1983-05-15,      18.770,
1983-06-15,      20.382,
1983-07-15,      22.707,
1983-08-15,      23.292,
1983-09-15,      24.286,
1983-10-15,      24.799,
1983-11-15,      22.433,
1983-12-15,      20.272,
1984-01-15,      17.588,
1984-02-15,      18.420,
1984-03-15,      19.821,
1984-04-15,      20.574,
1984-05-15,      19.925,
1984-06-15,      20.453,
1984-07-15,      22.488,
1984-08-15,      23.078,
1984-09-15,      23.338,
1984-10-15,      23.381,
1984-11-15,      21.389,
1984-12-15,      19.755,
1985-01-15,      18.371,
1985-02-15,      18.680,
1985-03-15,      18.512,
1985-04-15,      18.877,
1985-05-15,      18.226,
1985-06-15,      19.245,
1985-07-15,      21.449,
1985-08-15,      23.532,
1985-09-15,      25.183,
1985-10-15,      24.746,
1985-11-15,      22.204,
1985-12-15,      19.533,
1986-01-15,      17.138,
1986-02-15,      17.927,
1986-03-15,      18.790,
1986-04-15,      18.808,
1986-05-15,      18.681,
1986-06-15,      20.168,
1986-07-15,      21.969,
1986-08-15,      24.178,
1986-09-15,      26.000,
1986-10-15,      23.520,
1986-11-15,      21.056,
1986-12-15,      19.062,
1987-01-15,      18.100,
1987-02-15,      18.816,
1987-03-15,      20.424,
1987-04-15,      20.463,
1987-05-15,      19.403,
1987-06-15,      21.238,
1987-07-15,      22.104,
1987-08-15,      24.271,
1987-09-15,      24.679,
1987-10-15,      23.947,
1987-11-15,      22.629,
1987-12-15,      21.104,
1988-01-15,      18.288,
1988-02-15,      17.950,
1988-03-15,      19.948,
1988-04-15,      19.639,
1988-05-15,      19.600,
1988-06-15,      19.928,
1988-07-15,      21.951,
1988-08-15,      24.410,
1988-09-15,      25.895,
1988-10-15,      23.341,
1988-11-15,      22.237,
1988-12-15,      20.009,
1989-01-15,      18.211,
1989-02-15,      18.640,
1989-03-15,      19.616,
1989-04-15,      18.887,
1989-05-15,      19.259,
1989-06-15,      20.531,
1989-07-15,      23.952,
1989-08-15,      26.291,
1989-09-15,      25.572,
1989-10-15,      23.929,
1989-11-15,      22.518,
1989-12-15,      21.284,
1990-01-15,      18.053,
1990-02-15,      19.753,
1990-03-15,      19.971,
1990-04-15,      20.047,
1990-05-15,      19.798,
1990-06-15,      20.043,
1990-07-15,      22.846,
1990-08-15,      25.434,
1990-09-15,      25.742,
1990-10-15,      24.793,
1990-11-15,      22.255,
1990-12-15,      19.614,
1991-01-15,      18.304,
1991-02-15,      18.463,
1991-03-15,      19.212,
1991-04-15,      19.486,
1991-05-15,      19.365,
1991-06-15,      20.403,
1991-07-15,      22.225,
1991-08-15,      23.922,
1991-09-15,      25.616,
1991-10-15,      24.779,
1991-11-15,      22.894,
1991-12-15,      21.025,
1992-01-15,      19.752,
1992-02-15,      19.515,
1992-03-15,      19.059,
1992-04-15,      19.237,
1992-05-15,      19.704,
1992-06-15,      20.017,
1992-07-15,      22.235,
1992-08-15,      24.165,
1992-09-15,      24.955,
1992-10-15,      23.552,
1992-11-15,      21.206,
1992-12-15,      19.578,
1993-01-15,      18.091,
1993-02-15,      18.683,
1993-03-15,      19.487,
1993-04-15,      19.856,
1993-05-15,      19.300,
1993-06-15,      20.439,
1993-07-15,      22.726,
1993-08-15,      25.043,
1993-09-15,      24.789,
1993-10-15,      22.890,
1993-11-15,      21.241,
1993-12-15,      18.517,
1994-01-15,      17.456,
1994-02-15,      17.972,
1994-03-15,      18.716,
1994-04-15,      20.169,
1994-05-15,      19.518,
1994-06-15,      20.589,
1994-07-15,      22.819,
1994-08-15,      24.501,
1994-09-15,      24.574,
1994-10-15,      24.863,
1994-11-15,      22.225,
1994-12-15,      20.438,
1995-01-15,      18.299,
1995-02-15,      18.155,
1995-03-15,      19.000,
