DATE-YMD,CHLA= NASA-combo satellite Chlorophyll (mg/m3),
1998-01-15,       5.155,
1998-02-15,       5.323,
1998-03-15,       4.506,
1998-04-15,       4.669,
1998-05-15,       4.883,
1998-06-15,       6.412,
1998-09-15,       5.019,
1998-10-15,       8.138,
1998-11-15,       5.859,
1998-12-15,       4.043,
1999-01-15,       3.751,
1999-02-15,       3.850,
1999-03-15,       3.161,
1999-04-15,       4.431,
1999-05-15,       4.680,
1999-08-15,       8.357,
1999-09-15,       8.247,
1999-10-15,       4.605,
1999-11-15,       6.875,
1999-12-15,       4.664,
2000-01-15,       4.776,
2000-02-15,       5.045,
2000-03-15,       5.706,
2000-04-15,       5.384,
2000-05-15,       5.753,
2000-08-15,       5.491,
2000-09-15,       4.871,
2000-10-15,       3.976,
2000-11-15,       4.334,
2000-12-15,       4.701,
2001-01-15,       3.777,
2001-02-15,       4.131,
2001-03-15,       3.677,
2001-04-15,       5.273,
2001-05-15,       7.388,
2001-08-15,       4.964,
2001-09-15,       4.110,
2001-10-15,       7.358,
2001-11-15,       5.954,
2001-12-15,       4.604,
2002-01-15,       4.634,
2002-02-15,       5.917,
2002-03-15,       4.979,
2002-04-15,       6.178,
2002-05-15,       7.545,
2002-06-15,      11.257,
2002-07-15,       9.749,
2002-09-15,       4.105,
2002-10-15,       7.146,
2002-11-15,       5.451,
2002-12-15,       7.328,
2003-01-15,       5.700,
2003-02-15,       4.405,
2003-03-15,       5.563,
2003-04-15,       6.117,
2003-05-15,       7.002,
2003-06-15,      11.521,
2003-08-15,      12.262,
2003-09-15,      14.706,
2003-10-15,       6.623,
2003-11-15,       6.181,
2003-12-15,       7.060,
2004-01-15,       5.336,
2004-02-15,       5.536,
2004-03-15,       4.892,
2004-04-15,       6.305,
2004-05-15,       8.980,
2004-06-15,      15.845,
2004-07-15,      10.418,
2004-08-15,       8.278,
2004-09-15,      10.389,
2004-10-15,      10.095,
2004-11-15,       7.246,
2004-12-15,       6.293,
2005-01-15,       7.644,
2005-02-15,       5.219,
2005-03-15,       5.741,
2005-04-15,       6.464,
2005-05-15,       6.309,
2005-06-15,       7.377,
2005-07-15,      11.844,
2005-08-15,       6.404,
2005-09-15,      11.159,
2005-10-15,      13.812,
2005-11-15,       8.816,
2005-12-15,       9.271,
2006-01-15,       5.364,
2006-02-15,       4.219,
2006-03-15,       4.848,
2006-04-15,       6.146,
2006-05-15,       5.629,
2006-06-15,       5.432,
2006-08-15,       7.064,
2006-09-15,       5.484,
2006-10-15,       9.846,
2006-11-15,       8.767,
2006-12-15,       6.894,
2007-01-15,       6.510,
2007-02-15,       5.114,
2007-03-15,       4.801,
2007-04-15,       5.701,
2007-05-15,       6.112,
2007-06-15,       8.347,
2007-07-15,      11.006,
2007-08-15,      11.360,
2007-09-15,      10.936,
2007-10-15,       7.061,
2007-11-15,       7.221,
2007-12-15,       4.594,
2008-01-15,       5.602,
2008-02-15,       4.433,
2008-03-15,      21.079,
2008-04-15,       4.182,
2008-05-15,       5.086,
2008-06-15,       7.335,
2008-07-15,       5.326,
2008-08-15,       5.548,
2008-09-15,       9.138,
2008-10-15,       9.951,
2008-11-15,       7.749,
2008-12-15,       9.014,
2009-01-15,       5.541,
2009-02-15,       4.548,
2009-03-15,       5.602,
2009-04-15,       7.962,
2009-05-15,       8.485,
2009-06-15,       9.345,
2009-07-15,      10.895,
2009-09-15,       8.365,
2009-10-15,       8.904,
2009-11-15,       9.874,
2009-12-15,       6.400,
2010-01-15,       6.620,
2010-02-15,       5.957,
2010-03-15,       6.038,
2010-04-15,       7.551,
2010-05-15,       7.546,
2010-06-15,       8.887,
2010-08-15,      13.366,
2010-09-15,      12.185,
2010-10-15,      12.115,
2010-11-15,       9.499,
2010-12-15,       7.659,
2011-01-15,       8.572,
2011-02-15,       7.297,
2011-03-15,       6.289,
2011-04-15,       8.188,
2011-05-15,       9.902,
2011-06-15,       8.522,
2011-07-15,      22.702,
2011-08-15,      12.032,
2011-09-15,       8.419,
2011-10-15,       8.341,
2011-11-15,       6.397,
2011-12-15,       8.301,
2012-01-15,      12.925,
2012-02-15,       8.391,
2012-03-15,       8.287,
2012-04-15,       5.259,
2012-05-15,       5.514,
2012-06-15,       7.593,
2012-08-15,      18.610,
2012-09-15,      10.251,
2012-10-15,      10.303,
2012-11-15,       7.734,
2012-12-15,       7.091,
2013-01-15,       6.484,
2013-02-15,       5.620,
2013-03-15,       4.363,
2013-04-15,       5.627,
2013-05-15,       6.712,
2013-06-15,       8.968,
2013-07-15,      17.778,
2013-08-15,      19.030,
2013-09-15,      11.868,
2013-10-15,       9.033,
2013-11-15,       6.501,
2013-12-15,       8.694,
2014-01-15,       5.450,
2014-02-15,       3.762,
2014-03-15,       4.304,
2014-04-15,       5.813,
2014-05-15,       5.880,
2014-06-15,      12.565,
2014-07-15,       5.793,
2014-08-15,       7.321,
2014-09-15,      10.985,
2014-10-15,       7.817,
2014-11-15,       6.546,
2014-12-15,       7.275,
2015-01-15,      10.614,
2015-02-15,       4.975,
2015-03-15,       4.711,
2015-04-15,       7.259,
2015-05-15,       5.044,
2015-06-15,       9.495,
2015-07-15,       6.804,
2015-08-15,       9.991,
2015-09-15,      13.306,
2015-10-15,       8.487,
2015-11-15,      14.563,
2015-12-15,       7.680,
2016-01-15,       6.839,
2016-02-15,       6.214,
2016-03-15,       5.729,
2016-04-15,       4.555,
2016-05-15,       9.335,
2016-06-15,       7.889,
2016-07-15,       7.944,
2016-08-15,      12.879,
2016-09-15,      12.742,
2016-10-15,       9.795,
2016-11-15,       7.319,
2016-12-15,       8.699,
2017-01-15,       8.391,
2017-02-15,       5.798,
2017-03-15,       5.815,
2017-04-15,       5.533,
2017-05-15,       7.655,
2017-06-15,       4.847,
2017-07-15,       9.730,
2017-09-15,       7.827,
2017-10-15,      18.195,
2017-11-15,      10.290,
2017-12-15,       6.889,
2018-01-15,       6.076,
2018-02-15,       4.131,
2018-03-15,       4.630,
2018-04-15,       5.706,
2018-05-15,       6.266,
2018-06-15,       8.385,
2018-08-15,      13.436,
2018-09-15,       9.190,
2018-10-15,      11.984,
2018-11-15,       7.703,
2018-12-15,       9.214,
2019-01-15,      10.083,
2019-02-15,       9.321,
2019-03-15,       5.788,
2019-04-15,       6.925,
2019-05-15,       7.596,
2019-06-15,       5.163,
2019-07-15,       8.197,
2019-09-15,       4.801,
2019-10-15,      11.948,
2019-11-15,       6.978,
2019-12-15,       5.892,
2020-01-15,       6.538,
2020-02-15,       7.709,
2020-03-15,       7.317,
2020-04-15,       7.349,
2020-05-15,       8.431,
2020-07-15,      13.320,
2020-09-15,       7.827,
2020-10-15,      10.922,
2020-11-15,       7.637,
2020-12-15,       7.292,
2021-01-15,       5.701,
2021-02-15,       5.754,
2021-03-15,       9.413,
2021-04-15,       8.251,
2021-05-15,       8.600,
2021-08-15,       7.569,
2021-09-15,      12.065,
2021-10-15,      12.986,
2021-11-15,      16.813,
2021-12-15,       9.823,
