DATE-YMD,OTHR= CMEMS Mixed Layer Depth (m),
1993-01-15,       9.713,
1993-02-15,       9.277,
1993-03-15,       9.239,
1993-04-15,       9.310,
1993-05-15,       9.189,
1993-06-15,       8.988,
1993-07-15,       8.497,
1993-08-15,       8.567,
1993-09-15,       8.847,
1993-10-15,       8.843,
1993-11-15,       9.393,
1993-12-15,      10.194,
1994-01-15,      10.022,
1994-02-15,       9.364,
1994-03-15,       9.646,
1994-04-15,       9.042,
1994-05-15,       9.241,
1994-06-15,       8.835,
1994-07-15,       8.422,
1994-08-15,       8.451,
1994-09-15,       8.425,
1994-10-15,       8.662,
1994-11-15,       8.619,
1994-12-15,       9.470,
1995-01-15,      10.284,
1995-02-15,       9.799,
1995-03-15,       9.296,
1995-04-15,       9.139,
1995-05-15,       9.122,
1995-06-15,       8.625,
1995-07-15,       8.492,
1995-08-15,       8.386,
1995-09-15,       8.757,
1995-10-15,       8.457,
1995-11-15,       8.760,
1995-12-15,       9.306,
1996-01-15,       9.989,
1996-02-15,      10.015,
1996-03-15,       9.265,
1996-04-15,       9.272,
1996-05-15,       8.942,
1996-06-15,       8.860,
1996-07-15,       8.548,
1996-08-15,       8.538,
1996-09-15,       8.872,
1996-10-15,       8.906,
1996-11-15,       9.624,
1996-12-15,       9.818,
1997-01-15,       9.851,
1997-02-15,       9.648,
1997-03-15,       9.570,
1997-04-15,       9.189,
1997-05-15,       8.967,
1997-06-15,       8.704,
1997-07-15,       8.748,
1997-08-15,       8.377,
1997-09-15,       8.624,
1997-10-15,       8.399,
1997-11-15,       8.785,
1997-12-15,       9.331,
1998-01-15,       9.567,
1998-02-15,       8.882,
1998-03-15,       9.224,
1998-04-15,      10.014,
1998-05-15,       9.151,
1998-06-15,       8.773,
1998-07-15,       8.602,
1998-08-15,       8.389,
1998-09-15,       8.640,
1998-10-15,       8.841,
1998-11-15,       8.817,
1998-12-15,       9.802,
1999-01-15,      10.059,
1999-02-15,      10.204,
1999-03-15,       9.301,
1999-04-15,       9.378,
1999-05-15,       9.311,
1999-06-15,       9.116,
1999-07-15,       8.562,
1999-08-15,       8.335,
1999-09-15,       8.483,
1999-10-15,       8.790,
1999-11-15,       9.045,
1999-12-15,       9.908,
2000-01-15,       9.879,
2000-02-15,       9.238,
2000-03-15,       8.992,
2000-04-15,       9.815,
2000-05-15,       9.241,
2000-06-15,       8.738,
2000-07-15,       8.820,
2000-08-15,       8.712,
2000-09-15,       8.776,
2000-10-15,       9.139,
2000-11-15,       9.207,
2000-12-15,       9.305,
2001-01-15,      10.053,
2001-02-15,       9.369,
2001-03-15,       9.291,
2001-04-15,       9.523,
2001-05-15,       9.294,
2001-06-15,       8.802,
2001-07-15,       8.588,
2001-08-15,       8.634,
2001-09-15,       8.568,
2001-10-15,       8.735,
2001-11-15,       9.017,
2001-12-15,       8.977,
2002-01-15,      10.139,
2002-02-15,       9.635,
2002-03-15,       9.655,
2002-04-15,       9.330,
2002-05-15,       9.395,
2002-06-15,       8.995,
2002-07-15,       8.852,
2002-08-15,       8.635,
2002-09-15,       8.494,
2002-10-15,       8.678,
2002-11-15,       9.127,
2002-12-15,       9.111,
2003-01-15,      10.336,
2003-02-15,       9.844,
2003-03-15,       9.142,
2003-04-15,       9.273,
2003-05-15,       9.220,
2003-06-15,       8.877,
2003-07-15,       8.526,
2003-08-15,       8.517,
2003-09-15,       8.618,
2003-10-15,       8.757,
2003-11-15,       9.073,
2003-12-15,       9.469,
2004-01-15,      10.092,
2004-02-15,       9.229,
