DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      20.020,
1900-02-15,      19.230,
1900-03-15,      19.320,
1900-04-15,      18.815,
1900-05-15,      18.765,
1900-06-15,      19.560,
1900-07-15,      21.745,
1900-08-15,      23.455,
1900-09-15,      23.725,
1900-10-15,      22.955,
1900-11-15,      21.890,
1900-12-15,      19.910,
1901-01-15,      19.025,
1901-02-15,      19.105,
1901-03-15,      19.435,
1901-04-15,      19.315,
1901-05-15,      19.680,
1901-06-15,      20.275,
1901-07-15,      22.805,
1901-08-15,      24.050,
1901-09-15,      24.195,
1901-10-15,      23.040,
1901-11-15,      21.765,
1901-12-15,      20.600,
1902-01-15,      19.465,
1902-02-15,      19.065,
1902-03-15,      19.315,
1902-04-15,      19.040,
1902-05-15,      19.180,
1902-06-15,      19.830,
1902-07-15,      21.775,
1902-08-15,      23.930,
1902-09-15,      24.485,
1902-10-15,      23.400,
1902-11-15,      22.060,
1902-12-15,      20.520,
1903-01-15,      19.400,
1903-02-15,      19.055,
1903-03-15,      18.155,
1903-04-15,      19.510,
1903-05-15,      18.595,
1903-06-15,      19.970,
1903-07-15,      21.945,
1903-08-15,      23.675,
1903-09-15,      23.425,
1903-10-15,      22.680,
1903-11-15,      21.945,
1903-12-15,      20.200,
1904-01-15,      18.520,
1904-02-15,      18.425,
1904-03-15,      18.875,
1904-04-15,      18.525,
1904-05-15,      18.605,
1904-06-15,      20.170,
1904-07-15,      21.870,
1904-08-15,      24.705,
1904-09-15,      24.630,
1904-10-15,      23.795,
1904-11-15,      22.820,
1904-12-15,      20.860,
1905-01-15,      19.295,
1905-02-15,      18.255,
1905-03-15,      18.645,
1905-04-15,      18.880,
1905-05-15,      19.100,
1905-06-15,      20.110,
1905-07-15,      21.865,
1905-08-15,      24.745,
1905-09-15,      24.400,
1905-10-15,      23.625,
1905-11-15,      21.840,
1905-12-15,      19.930,
1906-01-15,      19.565,
1906-02-15,      18.285,
1906-03-15,      18.390,
1906-04-15,      18.980,
1906-05-15,      19.105,
1906-06-15,      21.215,
1906-07-15,      23.600,
1906-08-15,      25.385,
1906-09-15,      25.325,
1906-10-15,      23.845,
1906-11-15,      22.555,
1906-12-15,      21.210,
1907-01-15,      19.165,
1907-02-15,      18.005,
1907-03-15,      17.980,
1907-04-15,      18.320,
1907-05-15,      19.155,
1907-06-15,      19.950,
1907-07-15,      22.190,
1907-08-15,      23.895,
1907-09-15,      24.925,
1907-10-15,      23.715,
1907-11-15,      21.885,
1907-12-15,      20.220,
1908-01-15,      18.685,
1908-02-15,      18.140,
1908-03-15,      17.890,
1908-04-15,      18.020,
1908-05-15,      18.655,
1908-06-15,      19.945,
1908-07-15,      22.130,
1908-08-15,      23.735,
1908-09-15,      24.605,
1908-10-15,      23.525,
1908-11-15,      23.250,
1908-12-15,      21.700,
1909-01-15,      19.230,
1909-02-15,      18.550,
1909-03-15,      18.975,
1909-04-15,      19.160,
1909-05-15,      19.865,
1909-06-15,      20.210,
1909-07-15,      22.440,
1909-08-15,      25.025,
1909-09-15,      24.785,
1909-10-15,      23.975,
1909-11-15,      22.645,
1909-12-15,      21.405,
1910-01-15,      19.465,
1910-02-15,      18.205,
1910-03-15,      17.875,
1910-04-15,      18.680,
1910-05-15,      18.935,
1910-06-15,      19.430,
1910-07-15,      21.910,
1910-08-15,      24.160,
1910-09-15,      25.880,
