DATE-YMD,OTHR= SeaWinds scalar Windspeed (m/s),
1998-01-15,       5.554,
1998-02-15,       4.900,
1998-03-15,       5.815,
1998-04-15,       8.884,
1998-05-15,       7.160,
1998-06-15,       7.806,
1998-07-15,       6.329,
1998-08-15,       6.444,
1998-09-15,       6.848,
1998-10-15,       6.314,
1998-11-15,       4.410,
1998-12-15,       6.607,
1999-01-15,       8.013,
1999-02-15,       8.659,
1999-03-15,       8.524,
1999-04-15,       7.680,
1999-05-15,       8.340,
1999-06-15,       9.820,
1999-07-15,       8.102,
1999-08-15,       7.449,
1999-09-15,       7.938,
1999-10-15,       7.252,
1999-11-15,       6.022,
1999-12-15,       6.732,
2000-01-15,       7.195,
2000-02-15,       6.356,
2000-03-15,       6.471,
2000-04-15,       8.551,
2000-05-15,       8.559,
2000-06-15,       9.172,
2000-07-15,       8.687,
2000-08-15,       8.710,
2000-09-15,       8.218,
2000-10-15,       8.081,
2000-11-15,       7.031,
2000-12-15,       6.032,
2001-01-15,       8.010,
2001-02-15,       6.839,
2001-03-15,       7.884,
2001-04-15,       8.626,
2001-05-15,       9.350,
2001-06-15,       9.658,
2001-07-15,       8.654,
2001-08-15,       8.427,
2001-09-15,       7.807,
2001-10-15,       7.006,
2001-11-15,       6.856,
2001-12-15,       4.897,
2002-01-15,       7.022,
2002-02-15,       6.284,
2002-03-15,       7.399,
2002-04-15,       7.534,
2002-05-15,       9.131,
2002-06-15,       9.484,
2002-07-15,       8.681,
2002-08-15,       9.061,
2002-09-15,       7.777,
2002-10-15,       6.608,
2002-11-15,       7.026,
2002-12-15,       5.322,
2003-01-15,       8.215,
2003-02-15,       8.557,
2003-03-15,       7.070,
2003-04-15,       8.211,
2003-05-15,       8.262,
2003-06-15,       8.736,
2003-07-15,       8.647,
2003-08-15,       7.047,
2003-09-15,       7.245,
2003-10-15,       6.670,
2003-11-15,       6.451,
2003-12-15,       5.253,
2004-01-15,       8.020,
2004-02-15,       5.560,
2004-03-15,       7.705,
2004-04-15,       8.080,
2004-05-15,       8.581,
2004-06-15,       8.750,
2004-07-15,       7.565,
2004-08-15,       7.165,
2004-09-15,       8.346,
2004-10-15,       6.402,
2004-11-15,       4.666,
2004-12-15,       7.829,
2005-01-15,       6.595,
2005-02-15,       6.661,
2005-03-15,       7.206,
2005-04-15,       9.104,
2005-05-15,       9.085,
2005-06-15,       7.673,
2005-07-15,       8.879,
2005-08-15,       8.435,
2005-09-15,       8.152,
2005-10-15,       6.665,
2005-11-15,       6.384,
2005-12-15,       5.941,
2006-01-15,       7.453,
2006-02-15,       7.685,
2006-03-15,       7.491,
2006-04-15,       9.109,
2006-05-15,       8.644,
2006-06-15,       9.209,
2006-07-15,       8.268,
2006-08-15,       7.915,
2006-09-15,       7.315,
2006-10-15,       6.554,
2006-11-15,       5.421,
2006-12-15,       7.126,
2007-01-15,       6.484,
2007-02-15,       8.225,
2007-03-15,       8.329,
2007-04-15,       8.375,
2007-05-15,       8.401,
2007-06-15,       8.977,
2007-07-15,       7.405,
2007-08-15,       8.365,
2007-09-15,       7.601,
2007-10-15,       7.515,
2007-11-15,       6.108,
2007-12-15,       6.351,
2008-01-15,       5.932,
2008-02-15,       6.336,
2008-03-15,       7.186,
2008-04-15,       8.149,
2008-05-15,       8.625,
2008-06-15,       8.990,
2008-07-15,       8.533,
2008-08-15,       7.599,
2008-09-15,       7.849,
2008-10-15,       7.906,
2008-11-15,       6.746,
2008-12-15,       6.831,
2009-01-15,       7.977,
2009-02-15,       7.297,
2009-03-15,       6.944,
2009-04-15,       9.559,
2009-05-15,       9.377,
2009-06-15,       7.326,
2009-07-15,       7.558,
2009-08-15,       8.560,
2009-09-15,       7.856,
2009-10-15,       7.296,
2009-11-15,       6.288,
2009-12-15,       5.100,
2010-01-15,       5.526,
2010-02-15,       5.172,
2010-03-15,       8.168,
2010-04-15,       7.656,
2010-05-15,       8.722,
2010-06-15,       8.506,
2010-07-15,       8.020,
2010-08-15,       7.132,
2010-09-15,       7.432,
2010-10-15,       6.870,
2010-11-15,       4.626,
2010-12-15,       5.848,
2011-01-15,       5.248,
2011-02-15,       7.493,
2011-03-15,       8.594,
2011-04-15,       7.527,
2011-05-15,       7.819,
2011-06-15,       8.072,
2011-07-15,       8.843,
2011-08-15,       7.541,
2011-09-15,       9.093,
2011-10-15,       5.437,
2011-11-15,       6.679,
2011-12-15,       6.917,
2012-01-15,       5.706,
2012-02-15,       8.913,
2012-03-15,       5.513,
2012-04-15,       8.648,
2012-05-15,       8.584,
2012-06-15,       8.289,
2012-07-15,       7.647,
2012-08-15,       6.484,
2012-09-15,       6.713,
2012-10-15,       7.212,
2012-11-15,       6.926,
2012-12-15,       5.644,
2013-01-15,       7.513,
2013-02-15,       7.048,
2013-03-15,       7.693,
2013-04-15,       7.770,
2013-05-15,       8.502,
2013-06-15,       8.971,
2013-07-15,       8.480,
2013-08-15,       6.585,
2013-09-15,       8.019,
2013-10-15,       8.543,
2013-11-15,       6.735,
2013-12-15,       6.763,
2014-01-15,       6.693,
2014-02-15,       8.274,
2014-03-15,       8.238,
2014-04-15,       6.287,
2014-05-15,       8.124,
2014-06-15,       8.984,
2014-07-15,       8.682,
2014-08-15,       7.465,
2014-09-15,       6.339,
2014-10-15,       6.359,
2014-11-15,       5.339,
2014-12-15,       6.915,
2015-01-15,       8.425,
2015-02-15,       8.403,
2015-03-15,       8.196,
2015-04-15,       9.305,
2015-05-15,       7.429,
2015-06-15,       8.104,
2015-07-15,       5.176,
2015-08-15,       7.338,
2015-09-15,       7.181,
2015-10-15,       6.128,
2015-11-15,       6.332,
2015-12-15,       4.533,
2016-01-15,       4.968,
2016-02-15,       7.525,
2016-03-15,       8.145,
2016-04-15,       7.425,
2016-05-15,       6.922,
2016-06-15,       6.783,
2016-07-15,       7.223,
2016-08-15,       5.431,
2016-09-15,       6.835,
2016-10-15,       5.905,
2016-11-15,       5.448,
2016-12-15,       6.126,
2017-01-15,       3.950,
2017-02-15,       7.093,
2017-03-15,       8.205,
2017-04-15,       7.224,
2017-05-15,       7.603,
2017-06-15,       6.209,
2017-07-15,       6.648,
2017-08-15,       3.318,
2017-09-15,       8.924,
2017-10-15,       6.770,
2017-11-15,       6.327,
2017-12-15,       6.644,
2018-01-15,       7.619,
2018-02-15,       9.727,
2018-03-15,       8.421,
2018-04-15,       9.220,
2018-05-15,      10.246,
2018-06-15,       8.720,
2018-07-15,       7.774,
2018-08-15,       6.992,
2018-09-15,       6.505,
