DATE-YMD,OTHR= SeaWinds Windspeed u-EW-component (m/s),
1998-01-15,      -2.552,
1998-02-15,      -1.426,
1998-03-15,      -1.816,
1998-04-15,      -1.509,
1998-05-15,      -0.196,
1998-06-15,       0.357,
1998-07-15,       1.626,
1998-08-15,       0.595,
1998-09-15,      -1.000,
1998-10-15,      -2.075,
1998-11-15,      -2.693,
1998-12-15,      -4.661,
1999-01-15,      -4.593,
1999-02-15,      -4.733,
1999-03-15,      -1.959,
1999-04-15,      -1.881,
1999-05-15,      -0.115,
1999-06-15,      -2.057,
1999-07-15,       0.334,
1999-08-15,       0.732,
1999-09-15,      -1.104,
1999-10-15,      -1.884,
1999-11-15,      -2.526,
1999-12-15,      -4.806,
2000-01-15,      -4.755,
2000-02-15,      -3.718,
2000-03-15,      -1.282,
2000-04-15,      -1.166,
2000-05-15,       0.386,
2000-06-15,       0.389,
2000-07-15,       1.353,
2000-08-15,       0.391,
2000-09-15,      -0.624,
2000-10-15,      -2.755,
2000-11-15,      -3.358,
2000-12-15,      -3.515,
2001-01-15,      -4.836,
2001-02-15,      -3.766,
2001-03-15,      -1.080,
2001-04-15,      -0.387,
2001-05-15,      -0.538,
2001-06-15,      -0.459,
2001-07-15,       0.401,
2001-08-15,       0.773,
2001-09-15,      -1.392,
2001-10-15,      -1.784,
2001-11-15,      -3.018,
2001-12-15,      -2.102,
2002-01-15,      -4.056,
2002-02-15,      -3.356,
2002-03-15,      -1.270,
2002-04-15,      -0.319,
2002-05-15,      -0.778,
2002-06-15,      -0.426,
2002-07-15,       0.187,
2002-08-15,       0.006,
2002-09-15,      -0.652,
2002-10-15,      -1.503,
2002-11-15,      -3.571,
2002-12-15,      -3.015,
2003-01-15,      -4.933,
2003-02-15,      -2.231,
2003-03-15,      -1.487,
2003-04-15,      -0.252,
2003-05-15,      -0.583,
2003-06-15,       0.485,
2003-07-15,       1.445,
2003-08-15,       1.198,
2003-09-15,      -0.678,
2003-10-15,      -0.997,
2003-11-15,      -2.419,
2003-12-15,      -3.491,
2004-01-15,      -4.533,
2004-02-15,      -1.055,
2004-03-15,      -2.425,
2004-04-15,       0.026,
2004-05-15,      -0.399,
2004-06-15,       0.281,
2004-07-15,       1.020,
2004-08-15,       0.878,
2004-09-15,      -1.134,
2004-10-15,      -0.648,
2004-11-15,      -2.001,
2004-12-15,      -4.278,
2005-01-15,      -4.447,
2005-02-15,      -1.820,
2005-03-15,      -0.597,
2005-04-15,      -0.661,
2005-05-15,      -0.838,
2005-06-15,       0.680,
2005-07-15,       0.228,
2005-08-15,       0.570,
2005-09-15,      -1.295,
2005-10-15,      -1.074,
2005-11-15,      -2.198,
2005-12-15,      -2.890,
2006-01-15,      -4.698,
2006-02-15,      -2.796,
2006-03-15,      -1.527,
2006-04-15,       0.251,
2006-05-15,       0.014,
2006-06-15,       0.138,
2006-07-15,       1.106,
2006-08-15,       0.520,
2006-09-15,      -0.246,
2006-10-15,      -1.223,
2006-11-15,      -2.963,
2006-12-15,      -5.178,
2007-01-15,      -3.419,
2007-02-15,      -4.405,
2007-03-15,      -2.846,
2007-04-15,      -1.232,
2007-05-15,      -0.927,
2007-06-15,      -0.044,
2007-07-15,       1.557,
2007-08-15,       1.176,
2007-09-15,      -0.803,
2007-10-15,      -0.731,
2007-11-15,      -1.878,
2007-12-15,      -3.907,
2008-01-15,      -4.891,
2008-02-15,      -1.148,
2008-03-15,      -0.982,
2008-04-15,      -0.382,
2008-05-15,       0.780,
2008-06-15,      -0.285,
2008-07-15,       0.828,
2008-08-15,       1.679,
2008-09-15,      -0.005,
2008-10-15,      -2.210,
2008-11-15,      -3.309,
2008-12-15,      -4.071,
2009-01-15,      -3.970,
2009-02-15,      -0.423,
2009-03-15,      -0.222,
2009-04-15,      -1.744,
2009-05-15,      -0.340,
2009-06-15,       0.356,
2009-07-15,       1.021,
2009-08-15,       1.127,
2009-09-15,      -1.386,
2009-10-15,      -1.187,
2009-11-15,      -2.566,
2009-12-15,      -1.793,
2010-01-15,      -3.524,
2010-02-15,       0.482,
2010-03-15,      -0.612,
2010-04-15,       0.518,
2010-05-15,       0.297,
2010-06-15,       0.542,
2010-07-15,       0.790,
2010-08-15,       1.603,
2010-09-15,       0.013,
2010-10-15,      -1.554,
2010-11-15,      -2.191,
2010-12-15,      -0.414,
2011-01-15,      -2.404,
2011-02-15,      -4.469,
2011-03-15,      -0.478,
2011-04-15,      -0.096,
2011-05-15,       1.555,
2011-06-15,       1.433,
2011-07-15,       1.029,
2011-08-15,       0.902,
2011-09-15,      -0.914,
2011-10-15,      -0.856,
2011-11-15,      -2.823,
2011-12-15,      -5.399,
2012-01-15,      -3.924,
2012-02-15,      -3.834,
2012-03-15,      -0.830,
2012-04-15,      -1.027,
2012-05-15,      -0.866,
2012-06-15,      -0.572,
2012-07-15,       0.377,
2012-08-15,       1.311,
2012-09-15,      -0.518,
2012-10-15,      -0.826,
2012-11-15,      -1.891,
2012-12-15,      -4.116,
2013-01-15,      -4.207,
2013-02-15,      -2.303,
2013-03-15,      -1.810,
2013-04-15,      -0.141,
2013-05-15,      -0.999,
2013-06-15,      -0.060,
2013-07-15,      -0.128,
2013-08-15,       1.445,
2013-09-15,      -0.157,
2013-10-15,      -1.636,
2013-11-15,      -1.780,
2013-12-15,      -2.635,
2014-01-15,      -2.955,
2014-02-15,      -3.790,
2014-03-15,      -1.703,
2014-04-15,      -0.434,
2014-05-15,       0.207,
2014-06-15,      -0.611,
2014-07-15,      -0.426,
2014-08-15,       0.791,
2014-09-15,      -0.457,
2014-10-15,      -0.122,
2014-11-15,      -0.678,
2014-12-15,      -3.817,
2015-01-15,      -4.978,
2015-02-15,      -3.216,
2015-03-15,      -3.104,
2015-04-15,       0.124,
2015-05-15,      -0.589,
2015-06-15,      -0.277,
2015-07-15,       1.383,
2015-08-15,      -0.491,
2015-09-15,       0.251,
2015-10-15,      -0.921,
2015-11-15,      -3.797,
2015-12-15,      -3.655,
2016-01-15,      -3.171,
2016-02-15,      -4.055,
2016-03-15,      -1.661,
2016-04-15,      -0.608,
2016-05-15,      -0.172,
2016-06-15,      -0.540,
2016-07-15,       0.367,
2016-08-15,       0.774,
2016-09-15,      -0.336,
2016-10-15,      -0.301,
2016-11-15,      -1.274,
2016-12-15,      -3.209,
2017-01-15,      -2.350,
2017-02-15,      -0.535,
2017-03-15,      -0.283,
2017-04-15,      -2.153,
2017-05-15,       1.217,
2017-06-15,      -0.645,
2017-07-15,       0.662,
2017-08-15,       1.694,
