DATE-YMD,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3),
1998-01-15,       3.316,
1998-02-15,       3.371,
1998-03-15,       4.326,
1998-04-15,       3.802,
1998-05-15,       3.739,
1998-06-15,       3.120,
1998-08-15,       3.160,
1998-09-15,       3.792,
1998-10-15,       4.769,
1998-11-15,       4.152,
1998-12-15,       3.124,
1999-01-15,       3.012,
1999-02-15,       3.464,
1999-03-15,       2.845,
1999-04-15,       3.426,
1999-05-15,       3.190,
1999-08-15,       3.613,
1999-09-15,       4.201,
1999-10-15,       3.428,
1999-11-15,       3.629,
1999-12-15,       3.133,
2000-01-15,       2.643,
2000-02-15,       3.415,
2000-03-15,       3.349,
2000-04-15,       4.905,
2000-05-15,       4.081,
2000-09-15,       3.977,
2000-10-15,       3.448,
2000-11-15,       3.084,
2000-12-15,       3.144,
2001-01-15,       3.243,
2001-02-15,       4.418,
2001-03-15,       3.357,
2001-04-15,       5.806,
2001-05-15,       3.072,
2001-08-15,       4.239,
2001-09-15,       4.398,
2001-10-15,       3.949,
2001-11-15,       3.462,
2001-12-15,       3.161,
2002-01-15,       3.434,
2002-02-15,       3.677,
2002-03-15,       3.827,
2002-04-15,       4.208,
2002-05-15,       3.894,
2002-06-15,       4.839,
2002-07-15,       6.896,
2002-08-15,       8.193,
2002-09-15,       9.774,
2002-10-15,       7.557,
2002-11-15,       6.717,
2002-12-15,       4.533,
2003-01-15,       4.017,
2003-02-15,       3.613,
2003-03-15,       3.627,
2003-04-15,       3.818,
2003-05-15,       3.371,
2003-06-15,       4.336,
2003-07-15,       6.618,
2003-08-15,       7.505,
2003-09-15,       6.336,
2003-10-15,       4.792,
2003-11-15,       3.873,
2003-12-15,       3.478,
2004-01-15,       3.459,
2004-02-15,       3.610,
2004-03-15,       3.873,
2004-04-15,       3.703,
2004-05-15,       3.759,
2004-06-15,       4.512,
2004-07-15,       7.444,
2004-08-15,       8.062,
2004-09-15,       9.645,
2004-10-15,       7.636,
2004-11-15,       5.961,
2004-12-15,       5.706,
2005-01-15,       4.488,
2005-02-15,       3.434,
2005-03-15,       3.872,
2005-04-15,       3.659,
2005-05-15,       4.203,
2005-06-15,       3.803,
2005-07-15,       5.309,
2005-08-15,       8.153,
2005-09-15,       9.983,
2005-10-15,       6.230,
2005-11-15,       3.946,
2005-12-15,       4.119,
2006-01-15,       3.878,
2006-02-15,       3.476,
2006-03-15,       3.669,
2006-04-15,       3.437,
2006-05-15,       3.262,
2006-06-15,       4.598,
2006-07-15,       6.191,
2006-08-15,       6.701,
2006-09-15,       6.970,
2006-10-15,       5.724,
2006-11-15,       4.150,
2006-12-15,       3.624,
2007-01-15,       3.814,
2007-02-15,       4.498,
2007-03-15,       4.282,
2007-04-15,       3.665,
2007-05-15,       4.159,
2007-06-15,       4.083,
2007-07-15,       6.532,
2007-08-15,       7.242,
2007-09-15,       5.611,
2007-10-15,       4.381,
2007-11-15,       3.806,
2007-12-15,       3.574,
2008-01-15,       3.507,
2008-02-15,       3.558,
2008-03-15,       3.938,
2008-04-15,       4.575,
2008-05-15,       3.583,
2008-06-15,       3.985,
2008-07-15,       5.142,
2008-08-15,       6.078,
2008-09-15,       7.782,
2008-10-15,       4.131,
2008-11-15,       4.044,
2008-12-15,       3.427,
2009-01-15,       3.382,
2009-02-15,       3.616,
2009-03-15,       3.855,
2009-04-15,       3.734,
2009-05-15,       3.589,
2009-06-15,       4.819,
2009-07-15,       5.261,
2009-08-15,       5.463,
2009-09-15,       5.975,
2009-10-15,       4.625,
2009-11-15,       3.866,
2009-12-15,       3.498,
2010-01-15,       3.652,
2010-02-15,       3.980,
2010-03-15,       4.409,
2010-04-15,       5.055,
2010-05-15,       5.384,
2010-06-15,       5.703,
2010-07-15,       6.890,
2010-08-15,       7.481,
2010-09-15,       8.815,
2010-10-15,       6.337,
2010-11-15,       6.324,
2010-12-15,       6.818,
2011-01-15,       6.467,
2011-02-15,       4.810,
2011-03-15,       4.719,
2011-04-15,       5.211,
2011-05-15,       5.806,
2011-06-15,       4.748,
