DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      20.250,
1900-02-15,      19.380,
1900-03-15,      19.450,
1900-04-15,      18.940,
1900-05-15,      18.940,
1900-06-15,      20.050,
1900-07-15,      22.630,
1900-08-15,      24.360,
1900-09-15,      24.660,
1900-10-15,      23.800,
1900-11-15,      22.530,
1900-12-15,      20.310,
1901-01-15,      19.240,
1901-02-15,      19.240,
1901-03-15,      19.560,
1901-04-15,      19.430,
1901-05-15,      19.860,
1901-06-15,      20.770,
1901-07-15,      23.690,
1901-08-15,      24.950,
1901-09-15,      25.150,
1901-10-15,      23.890,
1901-11-15,      22.410,
1901-12-15,      21.030,
1902-01-15,      19.700,
1902-02-15,      19.210,
1902-03-15,      19.450,
1902-04-15,      19.150,
1902-05-15,      19.350,
1902-06-15,      20.330,
1902-07-15,      22.640,
1902-08-15,      24.820,
1902-09-15,      25.430,
1902-10-15,      24.250,
1902-11-15,      22.700,
1902-12-15,      20.950,
1903-01-15,      19.620,
1903-02-15,      19.200,
1903-03-15,      18.280,
1903-04-15,      19.650,
1903-05-15,      18.770,
1903-06-15,      20.490,
1903-07-15,      22.810,
1903-08-15,      24.580,
1903-09-15,      24.370,
1903-10-15,      23.540,
1903-11-15,      22.590,
1903-12-15,      20.640,
1904-01-15,      18.730,
1904-02-15,      18.570,
1904-03-15,      19.020,
1904-04-15,      18.650,
1904-05-15,      18.760,
1904-06-15,      20.670,
1904-07-15,      22.700,
1904-08-15,      25.590,
1904-09-15,      25.560,
1904-10-15,      24.640,
1904-11-15,      23.450,
1904-12-15,      21.300,
1905-01-15,      19.520,
1905-02-15,      18.390,
1905-03-15,      18.800,
1905-04-15,      19.000,
1905-05-15,      19.280,
1905-06-15,      20.590,
1905-07-15,      22.690,
1905-08-15,      25.640,
1905-09-15,      25.340,
1905-10-15,      24.470,
1905-11-15,      22.480,
1905-12-15,      20.330,
1906-01-15,      19.780,
1906-02-15,      18.440,
1906-03-15,      18.520,
1906-04-15,      19.110,
1906-05-15,      19.280,
1906-06-15,      21.690,
1906-07-15,      24.490,
1906-08-15,      26.310,
1906-09-15,      26.280,
1906-10-15,      24.660,
1906-11-15,      23.190,
1906-12-15,      21.660,
1907-01-15,      19.410,
1907-02-15,      18.160,
1907-03-15,      18.100,
1907-04-15,      18.460,
1907-05-15,      19.340,
1907-06-15,      20.420,
1907-07-15,      23.070,
1907-08-15,      24.760,
1907-09-15,      25.830,
1907-10-15,      24.550,
1907-11-15,      22.510,
1907-12-15,      20.640,
