DATE-YMD,OTHR= SeaWinds Windspeed v-NS-component (m/s),
1998-01-15,      -2.916,
1998-02-15,      -2.899,
1998-03-15,      -4.071,
1998-04-15,      -7.581,
1998-05-15,      -6.739,
1998-06-15,      -6.261,
1998-07-15,      -4.199,
1998-08-15,      -4.654,
1998-09-15,      -4.700,
1998-10-15,      -4.717,
1998-11-15,      -2.858,
1998-12-15,      -4.429,
1999-01-15,      -3.729,
1999-02-15,      -5.125,
1999-03-15,      -6.702,
1999-04-15,      -6.557,
1999-05-15,      -6.909,
1999-06-15,      -6.894,
1999-07-15,      -5.446,
1999-08-15,      -4.901,
1999-09-15,      -5.840,
1999-10-15,      -6.606,
1999-11-15,      -4.724,
1999-12-15,      -4.050,
2000-01-15,      -4.372,
2000-02-15,      -3.172,
2000-03-15,      -4.889,
2000-04-15,      -7.395,
2000-05-15,      -7.700,
2000-06-15,      -6.876,
2000-07-15,      -6.614,
2000-08-15,      -5.882,
2000-09-15,      -6.421,
2000-10-15,      -6.539,
2000-11-15,      -5.049,
2000-12-15,      -4.244,
2001-01-15,      -4.909,
2001-02-15,      -3.938,
2001-03-15,      -6.470,
2001-04-15,      -7.112,
2001-05-15,      -7.925,
2001-06-15,      -7.543,
2001-07-15,      -6.165,
2001-08-15,      -5.847,
2001-09-15,      -6.448,
2001-10-15,      -5.749,
2001-11-15,      -5.541,
2001-12-15,      -3.071,
2002-01-15,      -2.257,
2002-02-15,      -4.073,
2002-03-15,      -5.922,
2002-04-15,      -6.676,
2002-05-15,      -7.742,
2002-06-15,      -7.553,
2002-07-15,      -7.442,
2002-08-15,      -6.562,
2002-09-15,      -5.789,
2002-10-15,      -5.671,
2002-11-15,      -5.073,
2002-12-15,      -3.035,
2003-01-15,      -5.150,
2003-02-15,      -6.468,
2003-03-15,      -5.520,
2003-04-15,      -7.277,
2003-05-15,      -6.903,
2003-06-15,      -7.080,
2003-07-15,      -5.643,
2003-08-15,      -4.622,
2003-09-15,      -5.535,
2003-10-15,      -6.207,
2003-11-15,      -5.382,
2003-12-15,      -2.907,
2004-01-15,      -4.956,
2004-02-15,      -3.520,
2004-03-15,      -4.886,
2004-04-15,      -7.420,
2004-05-15,      -7.529,
2004-06-15,      -7.375,
2004-07-15,      -5.539,
2004-08-15,      -5.705,
