DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
1982-01-15,      18.298,
1982-02-15,      17.237,
1982-03-15,      17.778,
1982-04-15,      18.406,
1982-05-15,      17.711,
1982-06-15,      19.131,
1982-07-15,      20.409,
1982-08-15,      21.595,
1982-09-15,      21.924,
1982-10-15,      20.764,
1982-11-15,      19.426,
1982-12-15,      17.265,
1983-01-15,      17.695,
1983-02-15,      17.723,
1983-03-15,      18.816,
1983-04-15,      18.082,
1983-05-15,      17.884,
1983-06-15,      19.547,
1983-07-15,      20.726,
1983-08-15,      20.924,
1983-09-15,      21.586,
1983-10-15,      22.241,
1983-11-15,      20.735,
1983-12-15,      18.318,
1984-01-15,      17.095,
1984-02-15,      17.513,
1984-03-15,      18.053,
1984-04-15,      18.709,
1984-05-15,      17.809,
1984-06-15,      19.255,
1984-07-15,      20.852,
1984-08-15,      21.689,
1984-09-15,      20.571,
1984-10-15,      20.581,
1984-11-15,      18.844,
1984-12-15,      18.032,
1985-01-15,      17.893,
1985-02-15,      18.319,
1985-03-15,      18.268,
1985-04-15,      18.078,
1985-05-15,      17.484,
1985-06-15,      18.747,
1985-07-15,      20.709,
1985-08-15,      21.811,
1985-09-15,      23.886,
1985-10-15,      23.428,
1985-11-15,      20.862,
1985-12-15,      18.916,
1986-01-15,      16.712,
1986-02-15,      17.697,
1986-03-15,      17.809,
1986-04-15,      17.549,
1986-05-15,      18.244,
1986-06-15,      19.027,
1986-07-15,      20.805,
1986-08-15,      22.776,
1986-09-15,      24.710,
1986-10-15,      22.317,
1986-11-15,      19.714,
1986-12-15,      18.134,
1987-01-15,      17.229,
1987-02-15,      18.096,
1987-03-15,      19.931,
1987-04-15,      19.572,
1987-05-15,      18.491,
1987-06-15,      19.982,
1987-07-15,      20.714,
1987-08-15,      22.253,
1987-09-15,      23.392,
1987-10-15,      22.695,
1987-11-15,      21.079,
1987-12-15,      20.157,
1988-01-15,      18.041,
1988-02-15,      17.855,
1988-03-15,      19.635,
1988-04-15,      18.665,
1988-05-15,      18.569,
1988-06-15,      19.009,
1988-07-15,      20.347,
1988-08-15,      22.987,
1988-09-15,      24.218,
1988-10-15,      21.938,
1988-11-15,      21.380,
1988-12-15,      19.161,
1989-01-15,      17.736,
1989-02-15,      18.072,
1989-03-15,      18.603,
