DATE-YMD,OTHR= SeaWinds Windspeed v-NS-component (m/s),
1998-01-15,      -3.258,
1998-02-15,      -3.999,
1998-03-15,      -4.656,
1998-04-15,      -8.440,
1998-05-15,      -6.851,
1998-06-15,      -7.578,
1998-07-15,      -5.719,
1998-08-15,      -5.841,
1998-09-15,      -6.046,
1998-10-15,      -5.579,
1998-11-15,      -2.588,
1998-12-15,      -4.326,
1999-01-15,      -5.269,
1999-02-15,      -6.705,
1999-03-15,      -7.799,
1999-04-15,      -6.830,
1999-05-15,      -8.003,
1999-06-15,      -9.281,
1999-07-15,      -7.592,
1999-08-15,      -6.831,
1999-09-15,      -7.421,
1999-10-15,      -6.601,
1999-11-15,      -4.824,
1999-12-15,      -4.146,
2000-01-15,      -4.718,
2000-02-15,      -3.690,
2000-03-15,      -5.381,
2000-04-15,      -8.109,
2000-05-15,      -8.286,
2000-06-15,      -8.766,
2000-07-15,      -8.220,
2000-08-15,      -8.181,
2000-09-15,      -7.723,
2000-10-15,      -7.117,
2000-11-15,      -5.586,
2000-12-15,      -4.153,
2001-01-15,      -5.976,
2001-02-15,      -4.760,
2001-03-15,      -6.987,
2001-04-15,      -8.034,
2001-05-15,      -9.076,
2001-06-15,      -9.347,
2001-07-15,      -8.218,
2001-08-15,      -7.871,
2001-09-15,      -7.308,
2001-10-15,      -6.188,
2001-11-15,      -5.601,
2001-12-15,      -2.978,
2002-01-15,      -2.352,
2002-02-15,      -4.259,
2002-03-15,      -6.147,
2002-04-15,      -6.833,
2002-05-15,      -8.804,
2002-06-15,      -9.140,
2002-07-15,      -8.337,
2002-08-15,      -8.702,
2002-09-15,      -7.352,
2002-10-15,      -5.774,
2002-11-15,      -5.366,
2002-12-15,      -3.258,
2003-01-15,      -6.014,
2003-02-15,      -7.577,
2003-03-15,      -6.076,
2003-04-15,      -7.769,
2003-05-15,      -7.820,
2003-06-15,      -8.368,
2003-07-15,      -8.114,
2003-08-15,      -6.077,
2003-09-15,      -6.732,
2003-10-15,      -6.047,
2003-11-15,      -5.435,
2003-12-15,      -3.309,
2004-01-15,      -6.022,
2004-02-15,      -3.323,
2004-03-15,      -5.772,
2004-04-15,      -7.647,
2004-05-15,      -8.231,
2004-06-15,      -8.399,
2004-07-15,      -7.030,
2004-08-15,      -6.629,
2004-09-15,      -7.841,
2004-10-15,      -5.991,
2004-11-15,      -3.116,
2004-12-15,      -5.257,
2005-01-15,      -3.833,
2005-02-15,      -4.990,
2005-03-15,      -5.956,
2005-04-15,      -8.653,
2005-05-15,      -8.784,
2005-06-15,      -7.328,
2005-07-15,      -8.241,
2005-08-15,      -7.610,
2005-09-15,      -6.949,
2005-10-15,      -6.112,
2005-11-15,      -5.421,
2005-12-15,      -3.965,
2006-01-15,      -4.425,
2006-02-15,      -6.057,
2006-03-15,      -6.439,
2006-04-15,      -8.728,
2006-05-15,      -8.304,
2006-06-15,      -8.988,
2006-07-15,      -7.731,
2006-08-15,      -7.462,
2006-09-15,      -6.557,
2006-10-15,      -5.817,
2006-11-15,      -3.670,
2006-12-15,      -4.413,
2007-01-15,      -3.150,
2007-02-15,      -6.293,
2007-03-15,      -7.034,
2007-04-15,      -7.913,
2007-05-15,      -7.718,
2007-06-15,      -8.670,
2007-07-15,      -6.652,
2007-08-15,      -7.766,
2007-09-15,      -7.151,
2007-10-15,      -7.126,
2007-11-15,      -4.957,
2007-12-15,      -3.784,
2008-01-15,      -2.575,
2008-02-15,      -5.298,
2008-03-15,      -6.431,
2008-04-15,      -7.267,
2008-05-15,      -8.015,
2008-06-15,      -8.504,
2008-07-15,      -8.069,
2008-08-15,      -6.879,
2008-09-15,      -7.434,
2008-10-15,      -7.161,
2008-11-15,      -5.332,
2008-12-15,      -4.794,
2009-01-15,      -6.250,
2009-02-15,      -6.262,
2009-03-15,      -6.030,
2009-04-15,      -8.848,
2009-05-15,      -9.023,
2009-06-15,      -7.060,
2009-07-15,      -6.720,
2009-08-15,      -7.919,
2009-09-15,      -7.182,
