DATE-YMD,OTHR= OSCAR surface currents v-NS-component (m/s),
1993-01-15,      -0.178,
1993-02-15,       0.082,
1993-03-15,      -0.145,
1993-04-15,      -0.025,
1993-05-15,      -0.189,
1993-06-15,      -0.088,
1993-07-15,      -0.155,
1993-08-15,       0.016,
1993-09-15,      -0.164,
1993-10-15,       0.002,
1993-11-15,      -0.176,
1993-12-15,      -0.045,
1994-01-15,       0.066,
1994-02-15,      -0.052,
1994-03-15,       0.053,
1994-04-15,      -0.111,
1994-05-15,      -0.090,
1994-06-15,      -0.088,
1994-07-15,      -0.059,
1994-08-15,       0.001,
1994-09-15,      -0.106,
1994-10-15,       0.029,
1994-11-15,      -0.061,
1994-12-15,      -0.121,
1995-01-15,       0.054,
1995-02-15,      -0.186,
1995-03-15,       0.119,
1995-04-15,      -0.022,
1995-05-15,       0.043,
1995-06-15,      -0.259,
1995-07-15,      -0.103,
1995-08-15,      -0.131,
1995-09-15,       0.164,
1995-10-15,      -0.085,
1995-11-15,      -0.071,
1995-12-15,      -0.037,
1996-01-15,       0.124,
1996-02-15,      -0.188,
1996-03-15,       0.067,
1996-04-15,      -0.093,
1996-05-15,       0.112,
1996-06-15,      -0.228,
1996-07-15,      -0.162,
1996-08-15,      -0.051,
1996-09-15,       0.269,
1996-10-15,      -0.280,
1996-11-15,       0.033,
1996-12-15,       0.020,
1997-01-15,       0.071,
1997-02-15,      -0.160,
1997-03-15,       0.097,
1997-04-15,      -0.021,
1997-05-15,       0.066,
1997-06-15,       0.136,
1997-07-15,       0.017,
1997-08-15,      -0.104,
1997-09-15,       0.041,
1997-10-15,       0.078,
1997-11-15,       0.016,
1997-12-15,       0.006,
1998-01-15,      -0.096,
1998-02-15,      -0.174,
1998-03-15,       0.030,
1998-04-15,       0.201,
1998-05-15,      -0.182,
1998-06-15,      -0.018,
1998-07-15,      -0.037,
1998-08-15,      -0.011,
1998-09-15,      -0.065,
1998-10-15,      -0.097,
1998-11-15,      -0.134,
1998-12-15,       0.035,
1999-01-15,      -0.184,
1999-02-15,       0.140,
1999-03-15,      -0.121,
1999-04-15,       0.083,
1999-05-15,      -0.363,
1999-06-15,      -0.099,
1999-07-15,      -0.027,
1999-08-15,       0.019,
1999-09-15,      -0.089,
1999-10-15,       0.080,
1999-11-15,      -0.062,
1999-12-15,      -0.024,
2000-01-15,       0.188,
2000-02-15,      -0.156,
2000-03-15,      -0.149,
2000-04-15,      -0.043,
2000-05-15,       0.010,
2000-06-15,      -0.007,
2000-07-15,      -0.124,
2000-08-15,      -0.182,
2000-09-15,       0.019,
2000-10-15,      -0.017,
2000-11-15,      -0.031,
2000-12-15,       0.087,
2001-01-15,       0.131,
2001-02-15,       0.069,
2001-03-15,       0.106,
2001-04-15,       0.055,
2001-05-15,       0.054,
2001-06-15,      -0.121,
2001-07-15,      -0.318,
2001-08-15,       0.029,
2001-09-15,      -0.136,
2001-10-15,      -0.119,
2001-11-15,      -0.054,
2001-12-15,      -0.104,
2002-01-15,      -0.045,
2002-02-15,       0.055,
2002-03-15,      -0.185,
2002-04-15,      -0.013,
2002-05-15,      -0.064,
2002-06-15,      -0.088,
2002-07-15,      -0.035,
2002-08-15,       0.001,
2002-09-15,      -0.042,
2002-10-15,       0.047,
2002-11-15,      -0.043,
2002-12-15,      -0.056,
2003-01-15,       0.094,
2003-02-15,       0.059,
2003-03-15,       0.077,
2003-04-15,       0.023,
2003-05-15,      -0.148,
2003-06-15,      -0.046,
2003-07-15,      -0.023,
2003-08-15,      -0.076,
2003-09-15,       0.138,
2003-10-15,       0.034,
2003-11-15,       0.034,
2003-12-15,      -0.162,
2004-01-15,       0.138,
2004-02-15,      -0.150,
2004-03-15,       0.177,
2004-04-15,       0.024,
2004-05-15,       0.004,
2004-06-15,      -0.028,
2004-07-15,       0.086,
2004-08-15,      -0.341,
2004-09-15,       0.135,
2004-10-15,      -0.217,
2004-11-15,      -0.037,
2004-12-15,       0.034,
2005-01-15,       0.160,
2005-02-15,      -0.197,
2005-03-15,       0.224,
2005-04-15,      -0.132,
2005-05-15,      -0.175,
2005-06-15,      -0.149,
2005-07-15,       0.082,
2005-08-15,      -0.117,
2005-09-15,       0.045,
2005-10-15,      -0.170,
2005-11-15,       0.024,
2005-12-15,      -0.062,
2006-01-15,       0.184,
2006-02-15,       0.016,
2006-03-15,      -0.033,
2006-04-15,       0.120,
2006-05-15,       0.038,
2006-06-15,      -0.133,
2006-07-15,      -0.001,
2006-08-15,      -0.050,
2006-09-15,      -0.131,
2006-10-15,       0.067,
2006-11-15,      -0.127,
2006-12-15,      -0.151,
2007-01-15,      -0.065,
2007-02-15,       0.214,
2007-03-15,      -0.039,
2007-04-15,       0.031,
2007-05-15,      -0.016,
2007-06-15,       0.008,
2007-07-15,      -0.047,
2007-08-15,       0.087,
2007-09-15,      -0.290,
2007-10-15,       0.107,
2007-11-15,      -0.017,
2007-12-15,       0.124,
2009-01-15,       0.074,
2009-02-15,       0.083,
2009-03-15,      -0.023,
2009-04-15,      -0.043,
2009-05-15,      -0.102,
2009-06-15,      -0.034,
2009-07-15,      -0.424,
2009-08-15,       0.033,
2009-09-15,      -0.118,
2009-10-15,      -0.019,
2009-11-15,      -0.089,
2009-12-15,       0.040,
2010-01-15,      -0.006,
2010-02-15,       0.014,
2010-03-15,      -0.025,
2010-04-15,       0.000,
2010-05-15,       0.062,
2010-06-15,       0.016,
2010-07-15,      -0.189,
2010-08-15,      -0.158,
2010-09-15,       0.011,
2010-10-15,      -0.063,
2010-11-15,      -0.102,
2010-12-15,       0.001,
2011-01-15,       0.153,
2011-02-15,       0.076,
2011-03-15,       0.235,
2011-04-15,       0.012,
2011-05-15,      -0.061,
2011-06-15,      -0.095,
2011-07-15,      -0.066,
2011-08-15,      -0.063,
2011-09-15,      -0.053,
2011-10-15,      -0.000,
2011-11-15,       0.062,
2011-12-15,      -0.034,
2012-01-15,       0.063,
2012-02-15,       0.131,
2012-03-15,      -0.101,
2012-04-15,      -0.104,
2012-05-15,      -0.016,
2012-06-15,      -0.198,
2012-07-15,      -0.174,
2012-08-15,      -0.375,
2012-09-15,      -0.131,
2012-10-15,      -0.179,
2012-11-15,      -0.104,
2012-12-15,       0.132,
2013-01-15,      -0.204,
2013-02-15,       0.151,
2013-03-15,       0.056,
2013-04-15,      -0.143,
2013-05-15,       0.103,
2013-06-15,       0.069,
2013-07-15,      -0.105,
2013-08-15,      -0.148,
2013-09-15,       0.072,
2013-10-15,      -0.045,
2013-11-15,      -0.083,
2013-12-15,       0.057,
2014-01-15,      -0.102,
