DATE-YMD,OTHR= SeaWinds Windspeed u-EW-component (m/s),
1998-01-15,      -3.157,
1998-02-15,      -1.761,
1998-03-15,      -2.926,
1998-04-15,       0.221,
1998-05-15,       0.281,
1998-06-15,       1.720,
1998-07-15,       2.100,
1998-08-15,       2.628,
1998-09-15,      -0.757,
1998-10-15,       0.425,
1998-11-15,      -1.559,
1998-12-15,      -4.757,
1999-01-15,       0.378,
1999-02-15,      -4.912,
1999-03-15,      -0.489,
1999-04-15,       0.709,
1999-05-15,       1.156,
1999-06-15,       0.311,
1999-07-15,       1.893,
1999-08-15,       2.409,
1999-09-15,       0.155,
1999-10-15,      -1.347,
1999-11-15,      -2.013,
1999-12-15,      -4.146,
2000-01-15,      -3.958,
2000-02-15,      -2.880,
2000-03-15,      -0.835,
2000-04-15,      -0.558,
2000-05-15,       1.394,
2000-06-15,       2.007,
2000-07-15,       3.089,
2000-08-15,       1.979,
2000-09-15,       0.582,
2000-10-15,      -2.316,
2000-11-15,      -2.653,
2000-12-15,      -3.445,
2001-01-15,      -4.182,
2001-02-15,      -3.199,
2001-03-15,      -0.379,
2001-04-15,       0.794,
2001-05-15,       0.436,
2001-06-15,       1.090,
2001-07-15,       2.015,
2001-08-15,       2.058,
2001-09-15,      -0.306,
2001-10-15,      -1.425,
2001-11-15,      -2.063,
2001-12-15,      -1.900,
2002-01-15,      -3.550,
2002-02-15,      -2.776,
2002-03-15,      -0.858,
2002-04-15,       0.345,
2002-05-15,       0.379,
2002-06-15,       0.682,
2002-07-15,       1.724,
2002-08-15,       1.557,
2002-09-15,       0.389,
2002-10-15,      -0.947,
2002-11-15,      -3.255,
2002-12-15,      -2.748,
2003-01-15,      -4.175,
2003-02-15,      -1.633,
2003-03-15,      -0.707,
2003-04-15,       0.533,
2003-05-15,       0.584,
2003-06-15,       1.975,
2003-07-15,       3.768,
2003-08-15,       3.148,
2003-09-15,       0.501,
2003-10-15,      -0.556,
2003-11-15,      -2.065,
2003-12-15,      -3.305,
2004-01-15,      -3.928,
2004-02-15,      -0.744,
2004-03-15,      -1.458,
2004-04-15,       0.858,
2004-05-15,       0.148,
2004-06-15,       1.271,
2004-07-15,       2.490,
2004-08-15,       2.346,
2004-09-15,      -0.365,
2004-10-15,      -0.270,
2004-11-15,      -1.672,
2004-12-15,      -3.464,
2005-01-15,      -3.559,
2005-02-15,      -1.415,
2005-03-15,      -0.359,
2005-04-15,       0.485,
2005-05-15,       0.045,
2005-06-15,       2.052,
2005-07-15,       1.704,
2005-08-15,       2.040,
2005-09-15,      -0.352,
2005-10-15,      -0.582,
2005-11-15,      -1.710,
2005-12-15,      -2.361,
2006-01-15,      -3.859,
2006-02-15,      -2.248,
2006-03-15,      -1.063,
2006-04-15,       1.200,
2006-05-15,       0.989,
2006-06-15,       0.974,
2006-07-15,       2.953,
2006-08-15,       1.689,
2006-09-15,       0.963,
2006-10-15,      -0.416,
2006-11-15,      -2.719,
2006-12-15,      -4.613,
2007-01-15,      -3.248,
2007-02-15,      -3.326,
2007-03-15,      -2.214,
2007-04-15,       0.221,
2007-05-15,      -0.149,
2007-06-15,       1.124,
2007-07-15,       3.917,
2007-08-15,       2.789,
2007-09-15,       0.362,
2007-10-15,      -0.347,
2007-11-15,      -1.690,
2007-12-15,      -3.283,
2008-01-15,      -4.320,
2008-02-15,      -0.496,
2008-03-15,      -0.290,
2008-04-15,       0.057,
2008-05-15,       1.870,
2008-06-15,       0.869,
2008-07-15,       2.770,
2008-08-15,       3.759,
2008-09-15,       0.787,
2008-10-15,      -1.675,
2008-11-15,      -2.679,
2008-12-15,      -3.683,
2009-01-15,      -3.447,
2009-02-15,       0.090,
2009-03-15,       0.340,
2009-04-15,      -0.859,
2009-05-15,       0.356,
2009-06-15,       1.228,
2009-07-15,       2.507,
2009-08-15,       3.132,
2009-09-15,      -0.328,
2009-10-15,      -0.781,
2009-11-15,      -1.984,
2010-03-15,      -0.796,
2010-04-15,       1.254,
2010-07-15,       5.387,
2010-08-15,       3.717,
2010-09-15,      -0.991,
2011-04-15,      -0.075,
2011-05-15,       3.042,
2011-06-15,       3.493,
2011-07-15,       3.723,
2011-08-15,       2.015,
2011-09-15,       1.202,
2011-10-15,       0.376,
2011-11-15,      -4.795,
2011-12-15,      -3.895,
2012-01-15,      -1.184,
2012-02-15,      -1.565,
2012-03-15,       0.545,
2012-04-15,       1.555,
2012-05-15,       4.452,
2012-06-15,       2.072,
2012-07-15,       4.738,
2012-08-15,       4.560,
2012-09-15,       5.701,
2012-10-15,      -4.334,
2012-11-15,       0.169,
2012-12-15,      -3.022,
2013-01-15,      -4.320,
2013-02-15,      -0.477,
2013-03-15,       0.499,
2013-05-15,      -1.329,
2013-06-15,       0.882,
2013-07-15,       4.501,
2013-08-15,       4.810,
2013-09-15,       0.209,
2013-11-15,      -1.249,
2013-12-15,       0.932,
2014-01-15,      -2.741,
2014-02-15,      -2.163,
2014-03-15,       2.648,
2014-04-15,       1.464,
2014-05-15,       0.921,
2014-06-15,       0.605,
2014-08-15,       3.126,
2014-09-15,       3.284,
2014-10-15,       1.543,
2014-11-15,       2.285,
2014-12-15,      -4.802,
2015-01-15,      -5.410,
