DATE-YMD,OTHR= OSCAR surface currents v-NS-component (m/s),
1993-01-15,      -0.126,
1993-02-15,      -0.098,
1993-03-15,      -0.170,
1993-04-15,      -0.167,
1993-05-15,      -0.249,
1993-06-15,      -0.060,
1993-07-15,      -0.110,
1993-08-15,      -0.054,
1993-09-15,      -0.122,
1993-10-15,      -0.122,
1993-11-15,      -0.316,
1993-12-15,      -0.126,
1994-01-15,       0.020,
1994-02-15,      -0.320,
1994-03-15,      -0.042,
1994-04-15,      -0.239,
1994-05-15,      -0.017,
1994-06-15,      -0.050,
1994-07-15,       0.006,
1994-08-15,       0.072,
1994-09-15,      -0.020,
1994-10-15,      -0.031,
1994-11-15,      -0.134,
1994-12-15,      -0.108,
1995-01-15,      -0.013,
1995-02-15,      -0.289,
1995-03-15,       0.038,
1995-04-15,      -0.103,
1995-05-15,       0.011,
1995-06-15,      -0.201,
1995-07-15,      -0.171,
1995-08-15,      -0.044,
1995-09-15,       0.144,
1995-10-15,      -0.209,
1995-11-15,       0.046,
1995-12-15,       0.098,
1996-01-15,      -0.081,
1996-02-15,      -0.404,
1996-03-15,      -0.014,
1996-04-15,      -0.214,
1996-05-15,       0.021,
1996-06-15,      -0.194,
1996-07-15,      -0.058,
1996-08-15,      -0.139,
1996-09-15,       0.249,
1996-10-15,      -0.300,
1996-11-15,      -0.033,
1996-12-15,       0.056,
1997-01-15,       0.001,
1997-02-15,      -0.195,
1997-03-15,       0.055,
1997-04-15,      -0.064,
1997-05-15,      -0.087,
1997-06-15,       0.153,
1997-07-15,       0.021,
1997-08-15,       0.006,
1997-09-15,       0.024,
1997-10-15,       0.035,
1997-11-15,      -0.082,
1997-12-15,      -0.050,
1998-01-15,      -0.088,
1998-02-15,      -0.213,
1998-03-15,      -0.030,
1998-04-15,       0.087,
1998-05-15,      -0.230,
1998-06-15,      -0.001,
1998-07-15,       0.047,
1998-08-15,      -0.021,
1998-09-15,      -0.246,
1998-10-15,       0.005,
1998-11-15,      -0.297,
1998-12-15,       0.005,
1999-01-15,      -0.209,
1999-02-15,       0.138,
1999-03-15,      -0.341,
1999-04-15,       0.111,
1999-05-15,      -0.435,
1999-06-15,      -0.047,
1999-07-15,      -0.034,
1999-08-15,      -0.002,
1999-09-15,      -0.169,
1999-10-15,       0.094,
1999-11-15,      -0.110,
1999-12-15,      -0.193,
2000-01-15,       0.194,
2000-02-15,      -0.169,
2000-03-15,      -0.282,
2000-04-15,      -0.126,
2000-05-15,      -0.106,
2000-06-15,       0.067,
2000-07-15,      -0.312,
2000-08-15,      -0.305,
2000-09-15,      -0.105,
2000-10-15,      -0.056,
2000-11-15,      -0.088,
2000-12-15,      -0.073,
2001-01-15,       0.080,
2001-02-15,       0.148,
2001-03-15,       0.110,
2001-04-15,      -0.063,
2001-05-15,       0.094,
2001-06-15,       0.031,
2001-07-15,      -0.197,
2001-08-15,      -0.006,
2001-09-15,      -0.081,
2001-10-15,      -0.230,
2001-11-15,      -0.014,
2001-12-15,      -0.205,
2002-01-15,      -0.133,
2002-02-15,       0.058,
2002-03-15,      -0.326,
2002-04-15,      -0.032,
2002-05-15,      -0.052,
2002-06-15,      -0.098,
2002-07-15,      -0.141,
2002-08-15,       0.109,
2002-09-15,       0.086,
2002-10-15,      -0.000,
2002-11-15,      -0.142,
2002-12-15,      -0.142,
2003-01-15,      -0.140,
2003-02-15,       0.019,
2003-03-15,       0.009,
2003-04-15,      -0.070,
2003-05-15,      -0.018,
2003-06-15,      -0.101,
2003-07-15,      -0.052,
2003-08-15,       0.089,
2003-09-15,       0.440,
2003-10-15,       0.002,
2003-11-15,       0.120,
2003-12-15,      -0.229,
2004-01-15,       0.018,
2004-02-15,      -0.185,
2004-03-15,       0.190,
2004-04-15,      -0.010,
2004-05-15,      -0.065,
2004-06-15,       0.153,
2004-07-15,       0.118,
2004-08-15,      -0.172,
2004-09-15,       0.141,
2004-10-15,      -0.283,
2004-11-15,      -0.095,
2004-12-15,      -0.005,
2005-01-15,       0.165,
2005-02-15,      -0.083,
2005-03-15,       0.333,
2005-04-15,      -0.139,
2005-05-15,      -0.125,
2005-06-15,      -0.096,
2005-07-15,       0.115,
2005-08-15,      -0.009,
2005-09-15,       0.051,
2005-10-15,      -0.194,
2005-11-15,       0.137,
2005-12-15,      -0.152,
2006-01-15,       0.006,
2006-02-15,       0.030,
2006-03-15,      -0.022,
2006-04-15,       0.195,
2006-05-15,      -0.013,
2006-06-15,      -0.102,
2006-07-15,       0.260,
2006-08-15,      -0.024,
2006-09-15,      -0.256,
2006-10-15,       0.104,
2006-11-15,      -0.071,
2006-12-15,      -0.332,
2007-01-15,       0.176,
2007-02-15,       0.139,
2007-03-15,      -0.116,
2007-04-15,      -0.020,
2007-05-15,      -0.068,
2007-06-15,       0.025,
2007-07-15,       0.048,
2007-08-15,       0.081,
2007-09-15,      -0.301,
2007-10-15,      -0.033,
2007-11-15,      -0.165,
2007-12-15,      -0.070,
2009-01-15,      -0.144,
2009-02-15,      -0.055,
2009-03-15,      -0.201,
2009-04-15,      -0.104,
2009-05-15,      -0.151,
2009-06-15,       0.015,
2009-07-15,      -0.402,
2009-08-15,       0.296,
2009-09-15,      -0.260,
2009-10-15,      -0.049,
2009-11-15,      -0.059,
2009-12-15,      -0.076,
2010-01-15,      -0.043,
2010-02-15,      -0.214,
2010-03-15,      -0.169,
2010-04-15,      -0.128,
2010-05-15,       0.059,
2010-06-15,      -0.046,
2010-07-15,      -0.124,
2010-08-15,      -0.052,
2010-09-15,       0.039,
2010-10-15,      -0.092,
2010-11-15,      -0.136,
2010-12-15,      -0.038,
2011-01-15,       0.048,
2011-02-15,      -0.171,
2011-03-15,       0.103,
2011-04-15,      -0.213,
2011-05-15,      -0.135,
2011-06-15,      -0.170,
